group,trial_id,candidate_id,scenario_id,seed
group1_zero_crossings_fail_other_stability_pass,C0A-v2-A1-SCREENING-A1-OC133-OO133-C0A-S-VU-2-POS-Z-2-D125-S41003,A1-OC133-OO133,C0A-S-VU-2,41003
group1_zero_crossings_fail_other_stability_pass,C0A-v2-A1-SCREENING-A1-OC100-OO100-C0A-S-VU-2-POS-Z-2-D125-S41002,A1-OC100-OO100,C0A-S-VU-2,41002
group1_zero_crossings_fail_other_stability_pass,C0A-v2-A1-SCREENING-A1-OC100-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC100-OO067,C0A-S-DIAG-1,41002
group1_zero_crossings_fail_other_stability_pass,C0A-v2-A1-SCREENING-A1-OC133-OO067-C0A-S-HX-3-POS-X-3-D125-S41003,A1-OC133-OO067,C0A-S-HX-3,41003
group1_zero_crossings_fail_other_stability_pass,C0A-v2-A1-SCREENING-A1-OC100-OO067-C0A-S-HX-3-NEG-X-3-D125-S41003,A1-OC100-OO067,C0A-S-HX-3,41003
group1_zero_crossings_fail_other_stability_pass,C0A-v2-A1-SCREENING-A1-OC133-OO100-C0A-S-HX-3-POS-X-3-D125-S41002,A1-OC133-OO100,C0A-S-HX-3,41002
group1_zero_crossings_fail_other_stability_pass,C0A-v2-A1-SCREENING-A1-OC100-OO100-C0A-S-HX-3-POS-X-3-D125-S41003,A1-OC100-OO100,C0A-S-HX-3,41003
group1_zero_crossings_fail_other_stability_pass,C0A-v2-A1-SCREENING-A1-OC100-OO117-C0A-S-HX-3-POS-X-3-D125-S41003,A1-OC100-OO117,C0A-S-HX-3,41003
group1_zero_crossings_fail_other_stability_pass,C0A-v2-A1-SCREENING-A1-OC133-OO100-C0A-S-HX-3-NEG-X-3-D125-S41001,A1-OC133-OO100,C0A-S-HX-3,41001
group1_zero_crossings_fail_other_stability_pass,C0A-v2-A1-SCREENING-A1-OC067-OO083-C0A-S-HX-3-NEG-X-3-D125-S41001,A1-OC067-OO083,C0A-S-HX-3,41001
group2_zero_crossings_pass,C0A-v2-A1-SCREENING-A1-OC133-OO067-C0A-S-VU-2-POS-Z-2-D125-S41002,A1-OC133-OO067,C0A-S-VU-2,41002
group2_zero_crossings_pass,C0A-v2-A1-SCREENING-A1-OC133-OO117-C0A-S-VU-2-POS-Z-2-D125-S41001,A1-OC133-OO117,C0A-S-VU-2,41001
group2_zero_crossings_pass,C0A-v2-A1-SCREENING-A1-OC133-OO100-C0A-S-VU-2-POS-Z-2-D125-S41003,A1-OC133-OO100,C0A-S-VU-2,41003
group2_zero_crossings_pass,C0A-v2-A1-SCREENING-A1-OC083-OO100-C0A-S-VU-2-POS-Z-2-D125-S41002,A1-OC083-OO100,C0A-S-VU-2,41002
group2_zero_crossings_pass,C0A-v2-A1-SCREENING-A1-OC133-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41001,A1-OC133-OO067,C0A-S-DIAG-1,41001
group3_growing_oscillation_fail,C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-NEG-X-3-D125-S41002,A1-OC067-OO067,C0A-S-HX-3,41002
group4_command_jerk_fail,C0A-v2-A1-SCREENING-A1-OC133-OO117-C0A-S-HX-3-NEG-X-3-D125-S41003,A1-OC133-OO117,C0A-S-HX-3,41003
group4_command_jerk_fail,C0A-v2-A1-SCREENING-A1-OC133-OO133-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC133-OO133,C0A-S-DIAG-1,41003
group4_command_jerk_fail,C0A-v2-A1-SCREENING-A1-OC117-OO133-C0A-S-VU-2-POS-Z-2-D125-S41002,A1-OC117-OO133,C0A-S-VU-2,41002
group4_command_jerk_fail,C0A-v2-A1-SCREENING-A1-OC067-OO133-C0A-S-VU-2-POS-Z-2-D125-S41001,A1-OC067-OO133,C0A-S-VU-2,41001
group4_command_jerk_fail,C0A-v2-A1-SCREENING-A1-OC117-OO133-C0A-S-HX-3-NEG-X-3-D125-S41002,A1-OC117-OO133,C0A-S-HX-3,41002
