trial_id,stage,candidate_id,scenario_id,repetition,seed,velocity,acceleration,jerk,duration_s,displacement
A_baseline_long_y_r1,A,baseline,long_y,1,20260836,5.0,5.0,10.0,4.127409061118283,"[0.0, 6.0, 0.0]"
B_B3_jerk_15_long_diagonal_r2,B,B3_jerk_15,long_diagonal,2,20260882,5.0,5.0,15.0,3.605623925768521,"[4.0, 4.0, 2.0]"
B_B2_acceleration_5_long_diagonal_r3,B,B2_acceleration_5,long_diagonal,3,20260871,5.0,5.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
A_baseline_medium_y_r1,A,baseline,medium_y,1,20260833,5.0,5.0,10.0,3.2759267427611203,"[0.0, 3.0, 0.0]"
B_B1_velocity_5_long_diagonal_r3,B,B1_velocity_5,long_diagonal,3,20260862,5.0,5.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
B_B3_jerk_5_long_diagonal_r1,B,B3_jerk_5,long_diagonal,1,20260875,5.0,5.0,5.0,5.20020955762976,"[4.0, 4.0, 2.0]"
B_B3_jerk_5_long_diagonal_r2,B,B3_jerk_5,long_diagonal,2,20260876,5.0,5.0,5.0,5.20020955762976,"[4.0, 4.0, 2.0]"
B_B2_acceleration_5_long_diagonal_r1,B,B2_acceleration_5,long_diagonal,1,20260869,5.0,5.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
A_baseline_medium_diagonal_r3,A,baseline,medium_diagonal,3,20260853,5.0,5.0,10.0,3.2759267427611203,"[2.0, 2.0, 1.0]"
A_baseline_medium_y_r3,A,baseline,medium_y,3,20260835,5.0,5.0,10.0,3.2759267427611203,"[0.0, 3.0, 0.0]"
A_baseline_short_z_r1,A,baseline,short_z,1,20260839,5.0,5.0,10.0,2.2714007410401744,"[0.0, 0.0, 1.0]"
A_baseline_medium_z_r3,A,baseline,medium_z,3,20260844,5.0,5.0,10.0,2.8617856063833296,"[0.0, 0.0, 2.0]"
B_B2_acceleration_7_long_diagonal_r3,B,B2_acceleration_7,long_diagonal,3,20260874,5.0,7.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
A_baseline_long_z_r2,A,baseline,long_z,2,20260846,5.0,5.0,10.0,3.605623925768521,"[0.0, 0.0, 4.0]"
A_baseline_medium_y_r2,A,baseline,medium_y,2,20260834,5.0,5.0,10.0,3.2759267427611203,"[0.0, 3.0, 0.0]"
B_B2_acceleration_3_long_diagonal_r3,B,B2_acceleration_3,long_diagonal,3,20260868,5.0,3.0,10.0,4.247610612117806,"[4.0, 4.0, 2.0]"
A_baseline_medium_x_r1,A,baseline,medium_x,1,20260824,5.0,5.0,10.0,3.2759267427611203,"[3.0, 0.0, 0.0]"
A_baseline_long_diagonal_r1,A,baseline,long_diagonal,1,20260854,5.0,5.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
B_B1_velocity_7_long_diagonal_r3,B,B1_velocity_7,long_diagonal,3,20260865,7.0,5.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
A_baseline_medium_x_r3,A,baseline,medium_x,3,20260826,5.0,5.0,10.0,3.2759267427611203,"[3.0, 0.0, 0.0]"
B_B3_jerk_15_long_diagonal_r1,B,B3_jerk_15,long_diagonal,1,20260881,5.0,5.0,15.0,3.605623925768521,"[4.0, 4.0, 2.0]"
B_B2_acceleration_5_long_diagonal_r2,B,B2_acceleration_5,long_diagonal,2,20260870,5.0,5.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
B_B1_velocity_3_long_diagonal_r3,B,B1_velocity_3,long_diagonal,3,20260859,3.0,5.0,10.0,4.6875,"[4.0, 4.0, 2.0]"
A_baseline_short_y_r2,A,baseline,short_y,2,20260831,5.0,5.0,10.0,2.2714007410401744,"[0.0, 1.0, 0.0]"
A_baseline_short_x_r1,A,baseline,short_x,1,20260821,5.0,5.0,10.0,2.2714007410401744,"[1.0, 0.0, 0.0]"
A_baseline_long_x_r3,A,baseline,long_x,3,20260829,5.0,5.0,10.0,4.127409061118283,"[6.0, 0.0, 0.0]"
A_baseline_short_x_r2,A,baseline,short_x,2,20260822,5.0,5.0,10.0,2.2714007410401744,"[1.0, 0.0, 0.0]"
B_B3_jerk_5_long_diagonal_r3,B,B3_jerk_5,long_diagonal,3,20260877,5.0,5.0,5.0,5.20020955762976,"[4.0, 4.0, 2.0]"
A_baseline_short_x_r3,A,baseline,short_x,3,20260823,5.0,5.0,10.0,2.2714007410401744,"[1.0, 0.0, 0.0]"
B_B1_velocity_5_long_diagonal_r2,B,B1_velocity_5,long_diagonal,2,20260861,5.0,5.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
B_B1_velocity_7_long_diagonal_r2,B,B1_velocity_7,long_diagonal,2,20260864,7.0,5.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
B_B2_acceleration_7_long_diagonal_r1,B,B2_acceleration_7,long_diagonal,1,20260872,5.0,7.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
A_baseline_long_z_r1,A,baseline,long_z,1,20260845,5.0,5.0,10.0,3.605623925768521,"[0.0, 0.0, 4.0]"
B_B1_velocity_3_long_diagonal_r1,B,B1_velocity_3,long_diagonal,1,20260857,3.0,5.0,10.0,4.6875,"[4.0, 4.0, 2.0]"
A_baseline_long_diagonal_r2,A,baseline,long_diagonal,2,20260855,5.0,5.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
A_baseline_short_diagonal_r3,A,baseline,short_diagonal,3,20260850,5.0,5.0,10.0,2.60010477881488,"[1.0, 1.0, 0.5]"
A_baseline_short_y_r1,A,baseline,short_y,1,20260830,5.0,5.0,10.0,2.2714007410401744,"[0.0, 1.0, 0.0]"
B_B1_velocity_3_long_diagonal_r2,B,B1_velocity_3,long_diagonal,2,20260858,3.0,5.0,10.0,4.6875,"[4.0, 4.0, 2.0]"
A_baseline_short_z_r3,A,baseline,short_z,3,20260841,5.0,5.0,10.0,2.2714007410401744,"[0.0, 0.0, 1.0]"
B_B1_velocity_5_long_diagonal_r1,B,B1_velocity_5,long_diagonal,1,20260860,5.0,5.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
A_baseline_medium_diagonal_r1,A,baseline,medium_diagonal,1,20260851,5.0,5.0,10.0,3.2759267427611203,"[2.0, 2.0, 1.0]"
A_baseline_long_x_r2,A,baseline,long_x,2,20260828,5.0,5.0,10.0,4.127409061118283,"[6.0, 0.0, 0.0]"
A_baseline_short_diagonal_r1,A,baseline,short_diagonal,1,20260848,5.0,5.0,10.0,2.60010477881488,"[1.0, 1.0, 0.5]"
A_baseline_medium_z_r2,A,baseline,medium_z,2,20260843,5.0,5.0,10.0,2.8617856063833296,"[0.0, 0.0, 2.0]"
A_baseline_medium_diagonal_r2,A,baseline,medium_diagonal,2,20260852,5.0,5.0,10.0,3.2759267427611203,"[2.0, 2.0, 1.0]"
A_baseline_long_x_r1,A,baseline,long_x,1,20260827,5.0,5.0,10.0,4.127409061118283,"[6.0, 0.0, 0.0]"
B_B2_acceleration_7_long_diagonal_r2,B,B2_acceleration_7,long_diagonal,2,20260873,5.0,7.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
A_baseline_medium_z_r1,A,baseline,medium_z,1,20260842,5.0,5.0,10.0,2.8617856063833296,"[0.0, 0.0, 2.0]"
B_B2_acceleration_3_long_diagonal_r2,B,B2_acceleration_3,long_diagonal,2,20260867,5.0,3.0,10.0,4.247610612117806,"[4.0, 4.0, 2.0]"
A_baseline_long_z_r3,A,baseline,long_z,3,20260847,5.0,5.0,10.0,3.605623925768521,"[0.0, 0.0, 4.0]"
B_B3_jerk_15_long_diagonal_r3,B,B3_jerk_15,long_diagonal,3,20260883,5.0,5.0,15.0,3.605623925768521,"[4.0, 4.0, 2.0]"
B_B2_acceleration_3_long_diagonal_r1,B,B2_acceleration_3,long_diagonal,1,20260866,5.0,3.0,10.0,4.247610612117806,"[4.0, 4.0, 2.0]"
A_baseline_short_y_r3,A,baseline,short_y,3,20260832,5.0,5.0,10.0,2.2714007410401744,"[0.0, 1.0, 0.0]"
B_B1_velocity_7_long_diagonal_r1,B,B1_velocity_7,long_diagonal,1,20260863,7.0,5.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
A_baseline_long_y_r2,A,baseline,long_y,2,20260837,5.0,5.0,10.0,4.127409061118283,"[0.0, 6.0, 0.0]"
A_baseline_short_z_r2,A,baseline,short_z,2,20260840,5.0,5.0,10.0,2.2714007410401744,"[0.0, 0.0, 1.0]"
A_baseline_long_diagonal_r3,A,baseline,long_diagonal,3,20260856,5.0,5.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
B_B3_jerk_10_long_diagonal_r3,B,B3_jerk_10,long_diagonal,3,20260880,5.0,5.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
A_baseline_long_y_r3,A,baseline,long_y,3,20260838,5.0,5.0,10.0,4.127409061118283,"[0.0, 6.0, 0.0]"
A_baseline_short_diagonal_r2,A,baseline,short_diagonal,2,20260849,5.0,5.0,10.0,2.60010477881488,"[1.0, 1.0, 0.5]"
B_B3_jerk_10_long_diagonal_r1,B,B3_jerk_10,long_diagonal,1,20260878,5.0,5.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
A_baseline_medium_x_r2,A,baseline,medium_x,2,20260825,5.0,5.0,10.0,3.2759267427611203,"[3.0, 0.0, 0.0]"
B_B3_jerk_10_long_diagonal_r2,B,B3_jerk_10,long_diagonal,2,20260879,5.0,5.0,10.0,4.127409061118283,"[4.0, 4.0, 2.0]"
