run_id,command_id,command_type,complexity,method,valid_json,schema_valid,compiled_success,prompt_tokens,completion_tokens,latency_ms,retry_count,error_type,matched_task_coverage,uav_set_accuracy,formation_accuracy,center_error,radius_error,duration_error,motion_style_accuracy,safety_factor_error,trigger_accuracy,field_accuracy,exact_task_accuracy,rejection_accuracy,normalized_response
minimax_m27_100x4,simple_01,simple,1,lfs_schema,True,True,True,285,310,4975,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[1,2,3,4,5],""F"":""Circle"",""c"":[2.0,9.0,3.0],""r"":3.0,""T"":12.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_100x4,simple_01,simple,1,few_shot_json,True,True,True,580,568,7759,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[1,2,3,4,5],""F"":""Circle"",""c"":[2.0,9.0,3.0],""r"":3.0,""T"":12.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_100x4,simple_01,simple,1,plain_json,True,True,True,222,513,7871,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[1,2,3,4,5],""F"":""Circle"",""c"":[2.0,9.0,3.0],""r"":3.0,""T"":12.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_100x4,simple_02,simple,2,plain_json,True,True,True,222,639,10266,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[1,2,3,4],""F"":""Line"",""c"":[0.0,0.0,4.0],""r"":2.0,""T"":8.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_100x4,simple_02,simple,2,few_shot_json,True,True,True,580,664,8793,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[1,2,3,4],""F"":""Line"",""c"":[0.0,0.0,4.0],""r"":2.0,""T"":8.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_100x4,simple_02,simple,2,lfs_schema,True,True,True,285,852,11004,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[1,2,3,4],""F"":""Line"",""c"":[0.0,0.0,4.0],""r"":2.0,""T"":8.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_100x4,simple_01,simple,1,dense_waypoints,True,True,True,277,1687,23850,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[1,2,3,4,5],""F"":""Circle"",""c"":[2.0,9.0,3.0],""r"":3.0,""T"":12.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_100x4,simple_03,simple,1,few_shot_json,True,True,True,583,923,11799,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[1,2,3,4,5,6],""F"":""Sphere"",""c"":[1.0,1.0,5.0],""r"":2.5,""T"":10.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_100x4,simple_03,simple,1,lfs_schema,True,True,True,288,688,8751,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[1,2,3,4,5,6],""F"":""Sphere"",""c"":[1.0,1.0,5.0],""r"":2.5,""T"":10.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
minimax_m27_100x4,simple_02,simple,2,dense_waypoints,True,True,True,277,1140,18786,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,"{""lfs_version"":""1.0"",""tasks"":[{""U"":[1,2,3,4],""F"":""Line"",""c"":[0.0,0.0,4.0],""r"":2.0,""T"":8.0,""m"":""normal"",""s"":1.0,""q"":""direct""}]}"
