scope,method,trials,mean_total_path_length,mean_avg_path_length,mean_xy_crossings,mean_proximity_crossings,mean_min_distance,median_min_distance,mean_safety_violation_count,mean_critical_violation_count,mean_arrival_time_variance,failed_assignment_ratio,critical_failed_assignment_ratio,mean_compute_time_ms
crossing-prone,random,100,54.804951,10.960990,4.780000,2.370000,1.624301,1.584016,134.030000,0.000000,0.311165,0.980000,0.000000,0.005305
crossing-prone,nearest_neighbor,100,54.786143,10.957229,5.090000,2.390000,1.584472,1.581543,126.760000,0.100000,0.326836,1.000000,0.010000,0.031654
crossing-prone,hungarian_distance,100,54.687846,10.937569,5.480000,2.680000,1.595073,1.588681,170.820000,0.000000,0.556791,1.000000,0.000000,0.011393
crossing-prone,hungarian_crossing_penalty,100,54.735029,10.947006,0.000000,4.000000,1.553429,1.560484,295.810000,0.610000,0.600861,1.000000,0.040000,7.392292
crossing-prone,safety_aware_local_swap,100,54.778947,10.955790,2.580000,1.040000,1.796022,1.945324,69.220000,0.230000,0.341802,0.620000,0.010000,9.549909
dense,random,100,32.662548,4.082818,6.320000,10.690000,0.251766,0.181598,466.360000,218.050000,3.283899,1.000000,1.000000,0.006559
dense,nearest_neighbor,100,14.207112,1.775889,0.290000,2.630000,0.979274,0.937909,150.820000,45.850000,1.496026,0.980000,0.760000,0.067122
dense,hungarian_distance,100,11.837418,1.479677,0.000000,1.370000,1.803632,1.844256,66.540000,2.510000,0.526797,0.880000,0.080000,0.013970
dense,hungarian_crossing_penalty,100,11.837418,1.479677,0.000000,1.370000,1.803632,1.844256,66.540000,2.510000,0.526797,0.880000,0.080000,27.874130
dense,safety_aware_local_swap,100,12.077220,1.509653,0.000000,1.160000,1.726366,1.808980,62.250000,5.860000,0.517288,0.880000,0.170000,34.560867
large,random,100,59.872824,7.484103,6.390000,5.660000,0.397130,0.236811,132.190000,71.030000,11.080929,1.000000,0.980000,0.005423
large,nearest_neighbor,100,32.153506,4.019188,0.680000,1.310000,1.371860,1.402146,41.190000,19.660000,6.874640,0.710000,0.550000,0.066838
large,hungarian_distance,100,26.929926,3.366241,0.000000,0.210000,2.400045,2.461346,7.990000,2.590000,3.105725,0.170000,0.080000,0.014276
large,hungarian_crossing_penalty,100,26.929926,3.366241,0.000000,0.210000,2.400045,2.461346,7.990000,2.590000,3.105725,0.170000,0.080000,27.635541
large,safety_aware_local_swap,100,27.158406,3.394801,0.030000,0.060000,2.541365,2.477366,1.650000,0.000000,2.911635,0.060000,0.000000,31.876530
medium,random,100,29.000772,5.800154,1.960000,2.150000,0.946537,0.726269,57.500000,30.800000,5.712689,0.860000,0.760000,0.004542
medium,nearest_neighbor,100,16.689292,3.337859,0.280000,0.650000,1.876336,1.862576,22.990000,11.760000,4.232580,0.540000,0.360000,0.032119
medium,hungarian_distance,100,14.354545,2.870909,0.000000,0.100000,2.714912,2.671204,3.910000,1.910000,2.063244,0.100000,0.070000,0.011350
medium,hungarian_crossing_penalty,100,14.354545,2.870909,0.000000,0.100000,2.714912,2.671204,3.910000,1.910000,2.063244,0.100000,0.070000,4.011363
medium,safety_aware_local_swap,100,14.453396,2.890679,0.010000,0.010000,2.836550,2.716805,0.330000,0.000000,1.781533,0.010000,0.000000,4.435228
small,random,100,12.024022,4.008007,0.580000,0.970000,1.643434,1.459588,31.050000,15.350000,2.277442,0.680000,0.530000,0.004435
small,nearest_neighbor,100,8.458387,2.819462,0.120000,0.280000,2.743270,2.826982,10.240000,4.750000,1.723966,0.260000,0.160000,0.015710
small,hungarian_distance,100,7.239565,2.413188,0.000000,0.040000,3.145508,3.106146,1.560000,0.170000,1.326231,0.040000,0.010000,0.009632
small,hungarian_crossing_penalty,100,7.239565,2.413188,0.000000,0.040000,3.145508,3.106146,1.560000,0.170000,1.326231,0.040000,0.010000,0.551886
small,safety_aware_local_swap,100,7.249851,2.416617,0.000000,0.010000,3.168102,3.106146,0.400000,0.000000,1.184830,0.010000,0.000000,0.557164
ALL,random,500,37.673023,6.467215,4.006000,4.368000,0.972634,0.719199,164.226000,67.046000,4.533225,0.904000,0.654000,0.005253
ALL,nearest_neighbor,500,25.258888,4.581925,1.292000,1.452000,1.711042,1.581543,70.400000,16.424000,2.930810,0.698000,0.368000,0.042689
ALL,hungarian_distance,500,23.009860,4.213517,1.096000,0.880000,2.331834,2.165293,50.164000,1.436000,1.515758,0.438000,0.048000,0.012124
ALL,hungarian_crossing_penalty,500,23.019296,4.215404,0.000000,1.144000,2.323505,2.165293,75.162000,1.558000,1.524572,0.438000,0.056000,13.493042
ALL,safety_aware_local_swap,500,23.143564,4.233508,0.524000,0.456000,2.413681,2.265095,26.770000,1.218000,1.347418,0.316000,0.036000,16.195940
