trial_id,scenario,scenario_seed,num_uav,method,assignment,total_path_length,avg_path_length,xy_crossings,proximity_crossings,min_distance,safety_cost,safety_violation_count,critical_violation_count,arrival_time_variance,failed_assignment,critical_failed_assignment,total_cost,compute_time_ms
0,small,1887462795,3,random,"[2,0,1]",11.701784,3.900595,0,1,1.213747,0.823216,31,17,1.073085,1,1,22.525001,0.017643
0,small,1887462795,3,nearest_neighbor,"[1,0,2]",5.304490,1.768163,0,0,4.137733,0.000000,0,0,0.818888,0,0,5.304490,0.018895
0,small,1887462795,3,hungarian_distance,"[1,0,2]",5.304490,1.768163,0,0,4.137733,0.000000,0,0,0.818888,0,0,5.304490,0.018013
0,small,1887462795,3,hungarian_crossing_penalty,"[1,0,2]",5.304490,1.768163,0,0,4.137733,0.000000,0,0,0.818888,0,0,5.304490,0.574019
0,small,1887462795,3,safety_aware_local_swap,"[1,0,2]",5.304490,1.768163,0,0,4.137733,0.000000,0,0,0.818888,0,0,5.304490,0.550063
1,small,144202666,3,random,"[0,1,2]",14.542539,4.847513,1,2,1.029640,1.714431,77,42,2.007589,1,1,46.256971,0.004549
1,small,144202666,3,nearest_neighbor,"[1,0,2]",8.808674,2.936225,0,0,2.215682,0.000000,0,0,1.142134,0,0,8.808674,0.016451
1,small,144202666,3,hungarian_distance,"[2,0,1]",8.383736,2.794579,0,0,2.004120,0.000000,0,0,3.033946,0,0,8.383736,0.010280
1,small,144202666,3,hungarian_crossing_penalty,"[2,0,1]",8.383736,2.794579,0,0,2.004120,0.000000,0,0,3.033946,0,0,8.383736,0.564010
1,small,144202666,3,safety_aware_local_swap,"[2,0,1]",8.383736,2.794579,0,0,2.004120,0.000000,0,0,3.033946,0,0,8.383736,0.543862
2,small,1363390165,3,random,"[0,1,2]",16.644715,5.548238,2,2,1.596750,1.172591,39,0,3.389426,1,0,57.817306,0.004458
2,small,1363390165,3,nearest_neighbor,"[1,2,0]",7.675404,2.558468,0,0,4.093936,0.000000,0,0,0.054452,0,0,7.675404,0.015560
2,small,1363390165,3,hungarian_distance,"[1,2,0]",7.675404,2.558468,0,0,4.093936,0.000000,0,0,0.054452,0,0,7.675404,0.009919
2,small,1363390165,3,hungarian_crossing_penalty,"[1,2,0]",7.675404,2.558468,0,0,4.093936,0.000000,0,0,0.054452,0,0,7.675404,0.558138
