bag_time_ns,actual_pos_x,actual_pos_y,actual_pos_z,arrival_time_error,elapsed_time,final_position_error,header_frame_id,header_stamp_nanosec,header_stamp_sec,integrated_squared_jerk,integrated_squared_jerk_valid,is_finished,is_hover_stable,max_acceleration,max_acceleration_valid,max_jerk,max_jerk_valid,max_velocity,max_velocity_valid,motion_style,path_length,reference_acceleration_x,reference_acceleration_y,reference_acceleration_z,reference_jerk_x,reference_jerk_y,reference_jerk_z,reference_pos_x,reference_pos_y,reference_pos_z,reference_velocity_x,reference_velocity_y,reference_velocity_z,requested_duration,safety_factor,start_pos_x,start_pos_y,start_pos_z,target_pos_x,target_pos_y,target_pos_z,trajectory_duration,trajectory_profile,uav_id
1785125208642439004,-0.00037804539897479117,14.976511733606458,-0.2740108072757721,nan,-1.401015043258667,12.601259231567383,world,642371900,1785125208,nan,False,False,False,nan,False,nan,False,nan,False,normal,12.597707748413086,0.0,0.0,0.0,0.0,0.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,0.0,0.0,0.0,8.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,11.23606798,12.80422607,5.0,8.0,step,5
1785125208742387180,0.0012479654978960752,14.97775093279779,-0.27377787232398987,nan,-1.3010271787643433,12.599925994873047,world,742359428,1785125208,nan,False,False,False,nan,False,nan,False,nan,False,normal,12.597707748413086,0.0,0.0,0.0,0.0,0.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,0.0,0.0,0.0,8.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,11.23606798,12.80422607,5.0,8.0,step,5
1785125208842396138,0.002299219137057662,14.97901702299714,-0.27528321743011475,nan,-1.2010265588760376,12.599837303161621,world,842360311,1785125208,nan,False,False,False,nan,False,nan,False,nan,False,normal,12.597707748413086,0.0,0.0,0.0,0.0,0.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,0.0,0.0,0.0,8.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,11.23606798,12.80422607,5.0,8.0,step,5
1785125208942388285,0.00225224532186985,14.979525888338685,-0.2810678482055664,nan,-1.1010342836380005,12.602389335632324,world,942352428,1785125208,nan,False,False,False,nan,False,nan,False,nan,False,normal,12.597707748413086,0.0,0.0,0.0,0.0,0.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,0.0,0.0,0.0,8.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,11.23606798,12.80422607,5.0,8.0,step,5
1785125209042388127,0.0013358211144804955,14.979308567941189,-0.2891784608364105,nan,-1.0010355710983276,12.606569290161133,world,42351259,1785125209,nan,False,False,False,nan,False,nan,False,nan,False,normal,12.597707748413086,0.0,0.0,0.0,0.0,0.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,0.0,0.0,0.0,8.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,11.23606798,12.80422607,5.0,8.0,step,5
1785125209142387150,0.0018629999831318855,14.980543039739132,-0.2898269295692444,nan,-0.9010367393493652,12.606585502624512,world,142349680,1785125209,nan,False,False,False,nan,False,nan,False,nan,False,normal,12.597707748413086,0.0,0.0,0.0,0.0,0.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,0.0,0.0,0.0,8.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,11.23606798,12.80422607,5.0,8.0,step,5
1785125209242377065,0.002016868209466338,14.981382781639695,-0.2921619117259979,nan,-0.8010413646697998,12.607572555541992,world,242344715,1785125209,nan,False,False,False,nan,False,nan,False,nan,False,normal,12.597707748413086,0.0,0.0,0.0,0.0,0.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,0.0,0.0,0.0,8.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,11.23606798,12.80422607,5.0,8.0,step,5
1785125209342375667,0.001348102348856628,14.981570463627577,-0.2985617518424988,nan,-0.7010420560836792,12.610888481140137,world,342344679,1785125209,nan,False,False,False,nan,False,nan,False,nan,False,normal,12.597707748413086,0.0,0.0,0.0,0.0,0.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,0.0,0.0,0.0,8.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,11.23606798,12.80422607,5.0,8.0,step,5
1785125209442374599,0.00019376547425054014,14.981195472180843,-0.30709347128868103,nan,-0.6010444164276123,12.615439414978027,world,442341818,1785125209,nan,False,False,False,nan,False,nan,False,nan,False,normal,12.597707748413086,0.0,0.0,0.0,0.0,0.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,0.0,0.0,0.0,8.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,11.23606798,12.80422607,5.0,8.0,step,5
1785125209542368151,0.0018243114463984966,14.98258044756949,-0.3073210120201111,nan,-0.5010458827018738,12.6143217086792,world,542340590,1785125209,nan,False,False,False,nan,False,nan,False,nan,False,normal,12.597707748413086,0.0,0.0,0.0,0.0,0.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,0.0,0.0,0.0,8.0,0.0,0.000331332121277228,14.978376302868128,-0.26626279950141907,11.23606798,12.80422607,5.0,8.0,step,5
