bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785125315515262743,8.0,world,514918545,1785125317,1,normal,0.0,14.0,9.0,5.0,3
1785125315604658871,8.0,world,514918545,1785125317,1,normal,0.0,14.0,9.0,5.0,3
1785125315605186949,8.0,world,514918545,1785125317,1,normal,0.0,14.0,9.0,5.0,3
1785125315704566317,8.0,world,514918545,1785125317,1,normal,0.0,14.0,9.0,5.0,3
1785125315705146933,8.0,world,514918545,1785125317,1,normal,0.0,14.0,9.0,5.0,3
1785125315804662734,8.0,world,514918545,1785125317,1,normal,0.0,14.0,9.0,5.0,3
1785125315805267774,8.0,world,514918545,1785125317,1,normal,0.0,14.0,9.0,5.0,3
1785125315904623929,8.0,world,514918545,1785125317,1,normal,0.0,14.0,9.0,5.0,3
1785125315905197932,8.0,world,514918545,1785125317,1,normal,0.0,14.0,9.0,5.0,3
1785125316005382672,8.0,world,514918545,1785125317,1,normal,0.0,14.0,9.0,5.0,3
