bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785138576666928831,[0.00298633 0.0013135  0.00046309],[4.3118696e-05 4.2429852e-05 3.3970758e-02],1,[-0.00707719  0.00403389  0.23698361],[0.12221329 0.12241196 0.09350114],[ 0.7042535  -0.00196334  0.00101067  0.70994526],0,6,1785138576652070,1785138576652070,[-0.02374165 -0.02698116  0.14001045],1,[0.01684484 0.01663956 0.00651563]
1785138576678824498,[5.6853634e-05 1.3135020e-03 1.2620343e-03],[4.3197368e-05 4.2502361e-05 3.3971388e-02],1,[-0.00734651  0.00383412  0.2381494 ],[0.12315653 0.12335645 0.09336957],[ 0.7042581  -0.00196332  0.00102188  0.7099406 ],0,6,1785138576668070,1785138576668070,[-0.02393464 -0.02746743  0.14062428],1,[0.01699285 0.01678376 0.00651475]
1785138576686957233,[-0.00207367  0.00078087  0.00126203],[4.3238189e-05 4.2540465e-05 3.3971705e-02],1,[-0.007483    0.00372489  0.23876062],[0.12363227 0.12383278 0.09365723],[ 0.7042541  -0.00197025  0.00101754  0.7099446 ],0,6,1785138576676070,1785138576676070,[-0.02392704 -0.02786945  0.14084204],1,[0.01706718 0.01685582 0.00652737]
1785138576698632232,[-0.00047578  0.0013135  -0.00113481],[4.3276166e-05 4.2580828e-05 3.3972014e-02],1,[-0.00762099  0.00361     0.23939015],[0.12411077 0.12431183 0.09394582],[ 0.70425797 -0.00197721  0.00101773  0.70994073],0,6,1785138576684070,1785138576684070,[-0.02397412 -0.02798689  0.1411484 ],1,[0.01714201 0.01692867 0.00653999]
1785138576706675127,[0.00058949 0.00157982 0.00152835],[4.3315009e-05 4.2617216e-05 3.3972330e-02],1,[-0.00776018  0.00349092  0.24003719],[0.12459204 0.12479364 0.09423535],[ 0.7042569  -0.00197931  0.00102589  0.7099418 ],0,6,1785138576692070,1785138576692070,[-0.02403702 -0.02802208  0.14125688],1,[0.01721709 0.01700168 0.00655261]
1785138576718802492,[-0.00287262 -0.00188229 -0.00273271],[4.3395008e-05 4.2697688e-05 3.3972953e-02],1,[-0.00804339  0.00324092  0.24138044],[0.12556298 0.12576556 0.09481727],[ 0.7042751  -0.00198158  0.0010155   0.7099238 ],0,6,1785138576708070,1785138576708070,[-0.02399393 -0.02837806  0.14166291],1,[0.01736794 0.0171487  0.00657789]
1785138576727045987,[ 0.00085492 -0.00028494  0.00045909],[4.3437685e-05 4.2737342e-05 3.3970166e-02],1,[-0.00817696  0.00311237  0.24207684],[0.1260399  0.12625092 0.09510964],[ 0.7042773  -0.00197877  0.00101283  0.70992154],0,6,1785138576716070,1785138576716070,[-0.02394073 -0.02873123  0.14195071],1,[0.01743087 0.01721677 0.00659054]
1785138576738788844,[ 0.0021865  -0.00188283  0.00179066],[4.3470805e-05 4.2775559e-05 3.3970486e-02],1,[-0.00831253  0.00297858  0.24273704],[0.12653223 0.1267438  0.09467234],[ 0.70427454 -0.00197071  0.00101473  0.70992434],0,6,1785138576724070,1785138576724070,[-0.02415936 -0.02886732  0.14229727],1,[0.01750677 0.01729093 0.00657612]
1785138576746840726,[ 0.00085492 -0.0013502  -0.0008725 ],[4.3508830e-05 4.2812255e-05 3.3970803e-02],1,[-0.00844955  0.00284045  0.24341512],[0.12702739 0.12723947 0.09496436],[ 0.7042785  -0.00196113  0.00101138  0.7099204 ],0,6,1785138576732070,1785138576732070,[-0.02397731 -0.02900074  0.14259018],1,[0.01758313 0.0173651  0.00658877]
1785138576758685677,[ 0.00085179 -0.00348481 -0.00033816],[4.1342089e-05 4.0766903e-05 3.3965874e-02],1,[-0.00860692  0.00271164  0.24375843],[0.10623826 0.10638027 0.08586606],[ 0.7042728  -0.00194159  0.00100138  0.7099261 ],0,6,1785138576748070,1785138576748070,[-0.02374069 -0.02930064  0.1428276 ],1,[0.0142009  0.01404191 0.00611454]
1785138576767094384,[-0.00021349  0.00024361 -0.00140343],[4.1380503e-05 4.0800693e-05 3.3966213e-02],1,[-0.00863187  0.00271754  0.24345064],[0.10661447 0.10675751 0.08612712],[ 0.7042798  -0.00194066  0.00100032  0.7099192 ],0,6,1785138576756070,1785138576756070,[-0.02383401 -0.02921033  0.14302918],1,[0.01426527 0.0141046  0.00612685]
1785138576778735910,[ 0.0011181  -0.00295218 -0.00246869],[4.1422431e-05 4.0836618e-05 3.3966511e-02],1,[-0.00866177  0.00271671  0.24318533],[0.10699292 0.10713698 0.08638905],[ 0.70428824 -0.00193333  0.00099515  0.70991087],0,6,1785138576764070,1785138576764070,[-0.02402413 -0.02926783  0.14313184],1,[0.01432993 0.01416739 0.00613916]
1785138576786945029,[ 0.00165072 -0.00241955 -0.00113711],[4.1458898e-05 4.0871677e-05 3.3966839e-02],1,[-0.00869664  0.00270953  0.24296024],[0.10737362 0.10751868 0.08665186],[ 0.7042951  -0.00192223  0.00099227  0.709904  ],0,6,1785138576772070,1785138576772070,[-0.02415099 -0.02919393  0.14298105],1,[0.01439483 0.01423051 0.00615147]
1785138576798772086,[-0.00127875 -0.00375113 -0.00033816],[4.1497195e-05 4.0909290e-05 3.3967152e-02],1,[-0.00873569  0.00269483  0.24276158],[0.10775658 0.10790262 0.08630873],[ 0.70430017 -0.00191298  0.00097849  0.7098991 ],0,6,1785138576780070,1785138576780070,[-0.02414279 -0.02951758  0.14286402],1,[0.01445973 0.01429395 0.00614189]
1785138576807035217,[-1.0129389e-03 -5.5520004e-04 -7.0631737e-05],[4.1570063e-05 4.0984105e-05 3.3964742e-02],1,[-0.00882103  0.00264078  0.24247795],[0.10852311 0.1086751  0.08683508],[ 0.7043047  -0.00191074  0.0009641   0.7098946 ],0,6,1785138576796070,1785138576796070,[-0.0246143  -0.02974969  0.14301598],1,[0.01458127 0.01441722 0.00616653]
1785138576818717511,[0.00058496 0.00290691 0.000462  ],[4.1608811e-05 4.1016261e-05 3.3965077e-02],1,[-0.00887014  0.00260352  0.24239266],[0.10891281 0.10906581 0.08709958],[ 0.70430577 -0.00191589  0.0009684   0.7098935 ],0,6,1785138576804070,1785138576804070,[-0.02446025 -0.02984104  0.14320944],1,[0.01464715 0.01448157 0.00617886]
1785138576826838002,[-0.0020782  -0.0005552  -0.00273379],[4.1648018e-05 4.1050949e-05 3.3965390e-02],1,[-0.00892126  0.00255958  0.24234484],[0.10930482 0.1094588  0.08736498],[ 0.70431364 -0.00192215  0.00096628  0.7098857 ],0,6,1785138576812070,1785138576812070,[-0.02426948 -0.02996421  0.14361323],1,[0.01471314 0.01454597 0.0061912 ]
1785138576838944578,[ 1.3839123e-03 -2.6857289e-03 -7.0633803e-05],[4.1726824e-05 4.1127430e-05 3.3966009e-02],1,[-0.00902612  0.00245464  0.24235864],[0.11009581 0.11025172 0.08789843],[ 0.7043125  -0.00191321  0.00096409  0.7098868 ],0,6,1785138576828070,1785138576828070,[-0.02372363 -0.0298312   0.14405777],1,[0.01484603 0.01467489 0.00621589]
1785138576846964719,[-0.00154557  0.00237428 -0.00353274],[4.1766929e-05 4.1166604e-05 3.3966321e-02],1,[-0.00908178  0.00239528  0.24241562],[0.11049483 0.11065167 0.08816649],[ 0.70432365 -0.00192062  0.00096462  0.70987576],0,6,1785138576836070,1785138576836070,[-0.02378397 -0.02974137  0.14403106],1,[0.01491271 0.01473976 0.00622825]
1785138576858826493,[ 0.0013839   0.00157533 -0.00033695],[4.1807831e-05 4.1201914e-05 3.3966631e-02],1,[-0.00914021  0.0023319   0.24246866],[0.11089621 0.11105396 0.08780728],[ 0.7043279  -0.00192429  0.00097048  0.70987153],0,6,1785138576844070,1785138576844070,[-0.02369387 -0.02951994  0.14409149],1,[0.01497976 0.01480503 0.00621783]
1785138576866780719,[ 0.00138391 -0.00082151 -0.00246748],[4.1845669e-05 4.1239273e-05 3.3966944e-02],1,[-0.00920106  0.00226497  0.24255401],[0.11129996 0.1114586  0.08807522],[ 0.70433515 -0.00191854  0.00097298  0.7098643 ],0,6,1785138576852070,1785138576852070,[-0.02366787 -0.0294165   0.14421292],1,[0.01504699 0.0148705  0.00623019]
1785138576878796373,[0.00111756 0.00104204 0.00072303],[4.1919058e-05 4.1317395e-05 3.3964537e-02],1,[-0.00932904  0.0021256   0.24281618],[0.11210723 0.11227234 0.08861378],[ 0.70434016 -0.00191076  0.00096974  0.70985943],0,6,1785138576868070,1785138576868070,[-0.02350397 -0.02944371  0.14414006],1,[0.01517237 0.01499709 0.00625493]
1785138576886929448,[ 0.00085124 -0.00082217  0.00045671],[4.1955715e-05 4.1351679e-05 3.3964850e-02],1,[-0.00939612  0.00204888  0.2429912 ],[0.11251804 0.11268407 0.08888441],[ 0.70434207 -0.00190612  0.00097039  0.7098575 ],0,6,1785138576876070,1785138576876070,[-0.02340685 -0.02939795  0.1442606 ],1,[0.01524019 0.01506329 0.0062673 ]
