bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785138993272593227,[ 0.02008276 -0.01732598  0.00078054],[2.7244096e-05 2.7726301e-05 1.5240686e-03],1,[0.12932618 0.11137845 0.12462597],[0.12700355 0.12705086 0.08973642],[0.9999836  0.00169517 0.00537751 0.0010297 ],0,6,1785138993266805,1785138993266805,[-0.09578525 -0.20469001  0.09546616],1,[0.02365038 0.02298728 0.00592876]
1785138993280801335,[ 0.02008277 -0.01892387  0.00078056],[2.7270755e-05 2.7752620e-05 1.5242007e-03],1,[0.12865631 0.10971553 0.12463654],[0.12753421 0.12757793 0.0899993 ],[0.99998385 0.0017724  0.00530091 0.00103975],0,6,1785138993274805,1785138993274805,[-0.09613475 -0.20370457  0.09604613],1,[0.02378589 0.02311427 0.00593938]
1785138993292605981,[ 0.01422342 -0.01199835 -0.00108405],[2.4123450e-05 2.4395889e-05 1.5178117e-03],1,[0.12724994 0.10636067 0.12237671],[0.10602096 0.10611723 0.08136548],[0.9999842  0.00192036 0.00518939 0.00103695],0,6,1785138993290805,1785138993290805,[-0.09744272 -0.20152786  0.09624024],1,[0.01834776 0.01791774 0.00553396]
1785138993300969703,[ 0.01954975 -0.01412887  0.00131281],[2.4147059e-05 2.4420284e-05 1.5179461e-03],1,[0.1265116  0.10466968 0.12016322],[0.10640354 0.10649927 0.08160057],[0.9999843  0.00199001 0.00513754 0.00104477],0,6,1785138993298805,1785138993298805,[-0.09813035 -0.20045866  0.09611628],1,[0.01845631 0.01802005 0.0055444 ]
1785138993312601162,[ 0.01608766 -0.01492781 -0.00268196],[2.4171170e-05 2.4444762e-05 1.5180806e-03],1,[0.12576726 0.1029874  0.11803541],[0.10678895 0.10688405 0.08183642],[0.99998444 0.00206017 0.00507615 0.00104294],0,6,1785138993306805,1785138993306805,[-0.09886875 -0.19926612  0.09590359],1,[0.01856541 0.01812276 0.00555484]
1785138993320898648,[ 0.01235936 -0.01546039 -0.00055102],[2.4190638e-05 2.4468554e-05 1.4902041e-03],1,[0.12501378 0.10131491 0.11599006],[0.10717635 0.10727151 0.08207304],[0.9999846  0.00211064 0.00501637 0.00104169],0,6,1785138993314805,1785138993314805,[-0.09952822 -0.19799873  0.09570064],1,[0.01867358 0.01822522 0.00556528]
1785138993332646668,[ 0.01981622 -0.01812354 -0.00028467],[2.4237992e-05 2.4518205e-05 1.4904733e-03],1,[0.12349335 0.09799757 0.11213923],[0.10796139 0.10805496 0.08254858],[0.9999851  0.00224624 0.00487453 0.00105701],0,6,1785138993330805,1785138993330805,[-0.10052068 -0.19570363  0.09544821],1,[0.01889396 0.0184325  0.00558619]
1785138993340787478,[ 0.01582149 -0.01359615 -0.00241523],[2.4262356e-05 2.4543320e-05 1.4906063e-03],1,[0.12272587 0.09635247 0.11033   ],[0.10835823 0.1084509  0.08278751],[0.9999852  0.0023143  0.00481857 0.00106027],0,6,1785138993338805,1785138993338805,[-0.10104644 -0.1945543   0.09538096],1,[0.01900512 0.01853705 0.00559664]
1785138993352639784,[ 0.01235936 -0.01785723 -0.0034805 ],[2.4287041e-05 2.4568573e-05 1.4907399e-03],1,[0.12195443 0.09471543 0.10859514],[0.108758   0.10884967 0.08302721],[0.99998546 0.00236477 0.00474932 0.00105334],0,6,1785138993346805,1785138993346805,[-0.10137715 -0.19356681  0.09522817],1,[0.01911682 0.01864192 0.00560709]
1785138993360865505,[ 0.01475621 -0.01492775  0.00078059],[2.4310822e-05 2.4593881e-05 1.4908740e-03],1,[0.1211793  0.09308776 0.10688517],[0.10916071 0.10925131 0.08271056],[0.9999855  0.00242065 0.00468805 0.0010633 ],0,6,1785138993354805,1785138993354805,[-0.101929   -0.19223042  0.09514993],1,[0.01922874 0.01874707 0.00559935]
1785138993372594930,[ 1.6087800e-02 -1.6259328e-02 -1.8366512e-05],[2.4360219e-05 2.4643656e-05 1.4911419e-03],1,[0.11961299 0.08986244 0.10368046],[0.10997502 0.11006324 0.08319059],[0.9999858  0.00253885 0.00456186 0.00108225],0,6,1785138993370805,1785138993370805,[-0.10312512 -0.18984829  0.09515307],1,[0.01945408 0.01895871 0.00562027]
1785138993380793489,[ 0.01395727 -0.01279722  0.00051426],[2.4384997e-05 2.4668412e-05 1.4912760e-03],1,[0.11882188 0.0882627  0.1021812 ],[0.11038667 0.11047357 0.08343177],[0.99998593 0.0025969  0.00450758 0.0010918 ],0,6,1785138993378805,1785138993378805,[-0.1037175  -0.18882605  0.09520897],1,[0.01956777 0.0190652  0.00563074]
1785138993392625778,[ 0.01102784 -0.01918884  0.0013133 ],[2.4406230e-05 2.4693456e-05 1.4650484e-03],1,[0.11802684 0.08667108 0.10075026],[0.11080039 0.11088676 0.08367372],[0.9999861  0.00264488 0.00443678 0.00110495],0,6,1785138993386805,1785138993386805,[-0.10393996 -0.18771853  0.09548336],1,[0.01968046 0.01917157 0.00564121]
1785138993400717745,[ 0.01448995 -0.01918884  0.00264494],[2.4432175e-05 2.4719515e-05 1.4651800e-03],1,[0.11722943 0.08509044 0.099386  ],[0.11121809 0.11130299 0.08391645],[0.99998623 0.00269557 0.0043596  0.00112492],0,6,1785138993394805,1785138993394805,[-0.10426277 -0.1861335   0.09577144],1,[0.01979521 0.01927919 0.00565168]
1785138993412632360,[ 1.1826787e-02 -1.9721478e-02 -1.8227556e-05],[2.4482379e-05 2.4769750e-05 1.4654468e-03],1,[0.115624   0.08196174 0.09680146],[0.11206273 0.1121444  0.08383188],[0.9999867  0.00278301 0.00420801 0.00113628],0,6,1785138993410805,1785138993410805,[-0.10496017 -0.18359992  0.09651309],1,[0.02002543 0.01949497 0.00565384]
1785138993420771106,[ 0.00969627 -0.02052042 -0.00188248],[2.4508094e-05 2.4795447e-05 1.4655798e-03],1,[0.11481676 0.0804114  0.09558072],[0.11248969 0.11256963 0.0840753 ],[0.9999868  0.00282568 0.00412665 0.00113935],0,6,1785138993418805,1785138993418805,[-0.10526586 -0.18258578  0.09707582],1,[0.02014142 0.01960376 0.00566432]
1785138993432651827,[ 0.00650046 -0.01945516 -0.00321405],[2.4534538e-05 2.4820753e-05 1.4657128e-03],1,[0.1140067  0.07886974 0.0944232 ],[0.11291979 0.1129979  0.08431949],[0.99998707 0.00285287 0.00404904 0.00113384],0,6,1785138993426805,1785138993426805,[-0.10560495 -0.18136413  0.09751952],1,[0.02025756 0.01971299 0.0056748 ]
1785138993440779271,[ 0.00996257 -0.02052043  0.00024808],[2.4559562e-05 2.4846704e-05 1.4658462e-03],1,[0.11319233 0.07733756 0.09332685],[0.11335304 0.11342923 0.08456448],[0.9999873  0.00288919 0.00396875 0.00114147],0,6,1785138993434805,1785138993434805,[-0.10615634 -0.18020967  0.09813102],1,[0.02037449 0.01982268 0.00568528]
1785138993452674169,[ 0.01156047 -0.01599305 -0.00055088],[2.4608506e-05 2.4896173e-05 1.4661176e-03],1,[0.11155234 0.07429922 0.0913137 ],[0.11422911 0.11430115 0.08505678],[0.9999877  0.00296449 0.00382579 0.00115636],0,6,1785138993450805,1785138993450805,[-0.10694513 -0.17809504  0.09917313],1,[0.02060984 0.02004295 0.00570627]
1785138993460873630,[ 0.00863091 -0.01838999  0.00157996],[2.4631119e-05 2.4920131e-05 1.4413870e-03],1,[0.11072678 0.07279368 0.09039378],[0.11467088 0.11474171 0.08530412],[0.99998784 0.00299928 0.0037535  0.00117055],0,6,1785138993458805,1785138993458805,[-0.10734943 -0.17684546  0.09977863],1,[0.02072741 0.02015317 0.00571677]
1785138993472632309,[ 0.00863092 -0.01466156 -0.00268108],[2.4656532e-05 2.4943738e-05 1.4415232e-03],1,[0.1098979  0.07129837 0.08953004],[0.11511696 0.11518548 0.08555225],[0.99998796 0.00303185 0.00369138 0.00117611],0,6,1785138993466805,1785138993466805,[-0.10765367 -0.17556572  0.10039545],1,[0.02084658 0.02026447 0.00572727]
1785138993481191460,[ 0.00969618 -0.01918894 -0.0026811 ],[2.4682744e-05 2.4968298e-05 1.4416574e-03],1,[0.10906724 0.069813   0.08869683],[0.1155663  0.11563243 0.08520975],[0.9999881  0.00306978 0.00362023 0.00117885],0,6,1785138993474805,1785138993474805,[-0.10769794 -0.17431821  0.10122301],1,[0.02096603 0.02037638 0.00571826]
1785138993492683115,[ 0.01156038 -0.01732473 -0.00161583],[2.4734913e-05 2.5019190e-05 1.4419253e-03],1,[0.10740246 0.06687094 0.08719659],[0.11647487 0.11653589 0.0857065 ],[0.9999883  0.00316064 0.00347581 0.00118564],0,6,1785138993490805,1785138993490805,[-0.10784191 -0.17209119  0.10271434],1,[0.02120628 0.02060111 0.00573927]
