bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785139042941608941,12.0,world,941291972,1785139044,1,normal,0.0,16.0,13.5,5.0,5
1785139043041783202,12.0,world,941291972,1785139044,1,normal,0.0,16.0,13.5,5.0,5
1785139043141872993,12.0,world,941291972,1785139044,1,normal,0.0,16.0,13.5,5.0,5
1785139043242003371,12.0,world,941291972,1785139044,1,normal,0.0,16.0,13.5,5.0,5
1785139043342137295,12.0,world,941291972,1785139044,1,normal,0.0,16.0,13.5,5.0,5
1785139043442268445,12.0,world,941291972,1785139044,1,normal,0.0,16.0,13.5,5.0,5
1785139043542371000,12.0,world,941291972,1785139044,1,normal,0.0,16.0,13.5,5.0,5
1785139043642473645,12.0,world,941291972,1785139044,1,normal,0.0,16.0,13.5,5.0,5
1785139043742608091,12.0,world,941291972,1785139044,1,normal,0.0,16.0,13.5,5.0,5
1785139043842847735,12.0,world,941291972,1785139044,1,normal,0.0,16.0,13.5,5.0,5
