bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785138490639848762,[ 0.00189724 -0.00190517  0.00128384],[4.2267911e-05 4.2174463e-05 3.4029257e-02],1,[-0.01114513 -0.0025006   0.2826412 ],[0.11164366 0.11179931 0.08802687],[ 7.0287102e-01 -1.6053556e-03  2.9013617e-04  7.1131551e-01],0,6,1785138490641466,1785138490641466,[-0.01627688 -0.03247228  0.15714493],1,[0.0149987  0.01481024 0.00617762]
1785138490647683238,[ 0.00322882 -0.00110622 -0.00217826],[4.2304720e-05 4.2206932e-05 3.4029596e-02],1,[-0.01104515 -0.00241859  0.2827614 ],[0.11205103 0.11220746 0.08829409],[ 7.0287532e-01 -1.5929848e-03  2.9122716e-04  7.1131122e-01],0,6,1785138490649466,1785138490649466,[-0.01639722 -0.03247207  0.15696698],1,[0.01506546 0.01487516 0.00618978]
1785138490659954476,[ 0.00083197  0.00075799 -0.00031405],[4.2341137e-05 4.2254374e-05 3.4029920e-02],1,[-0.0109506  -0.00234442  0.2829132 ],[0.11246078 0.11261799 0.08856218],[ 7.0287782e-01 -1.5889143e-03  2.9454671e-04  7.1130884e-01],0,6,1785138490657466,1785138490657466,[-0.0162524  -0.0322191   0.15687376],1,[0.01513257 0.01494027 0.00620194]
1785138490667581990,[-0.00076592  0.00155694 -0.001113  ],[4.2379084e-05 4.2294534e-05 3.4030240e-02],1,[-0.01085978 -0.00227777  0.28309667],[0.11287293 0.1130309  0.08883117],[ 7.0287991e-01 -1.5953679e-03  2.9405093e-04  7.1130675e-01],0,6,1785138490665466,1785138490665466,[-0.01599213 -0.03227117  0.15695241],1,[0.01519988 0.01500553 0.00621412]
1785138490679928380,[ 1.3645565e-03 -4.0827319e-05  2.3502053e-03],[4.2451524e-05 4.2369276e-05 3.4028158e-02],1,[-0.01068686 -0.00217015  0.28354028],[0.11369652 0.11386105 0.08873226],[ 7.0287645e-01 -1.5841586e-03  2.9099488e-04  7.1131021e-01],0,6,1785138490681466,1785138490681466,[-0.01563648 -0.03219385  0.15712869],1,[0.01532526 0.01513242 0.00621554]
1785138490687676753,[-1.032281e-03 -1.372409e-03 -4.663828e-05],[4.2489362e-05 4.2405700e-05 3.4028485e-02],1,[-0.01060608 -0.00212858  0.28380838],[0.11411582 0.11428112 0.08900198],[ 7.0287257e-01 -1.5841691e-03  2.8342658e-04  7.1131402e-01],0,6,1785138490689466,1785138490689466,[-0.01545763 -0.03222061  0.15737198],1,[0.01539353 0.01519851 0.00622771]
1785138490699958180,[-0.00209755 -0.00030714 -0.00244349],[4.252638e-05 4.244150e-05 3.402883e-02],1,[-0.01052906 -0.00209434  0.28410685],[0.11453758 0.11470362 0.08927258],[ 7.0288002e-01 -1.5860687e-03  2.7477575e-04  7.1130663e-01],0,6,1785138490697466,1785138490697466,[-0.01540232 -0.03206569  0.15746866],1,[0.0154619  0.01526473 0.0062399 ]
1785138490707537944,[-0.00156492 -0.00083977 -0.00057927],[4.2564985e-05 4.2480908e-05 3.4029149e-02],1,[-0.01045622 -0.00206741  0.28443447],[0.11496181 0.11512856 0.08954408],[ 7.0288217e-01 -1.5917318e-03  2.6469078e-04  7.1130455e-01],0,6,1785138490705466,1785138490705466,[-0.01524928 -0.03218106  0.15769784],1,[0.01553047 0.01533131 0.00625209]
1785138490719824090,[0.00242982 0.00075812 0.000486  ],[4.2642001e-05 4.2552347e-05 3.4029812e-02],1,[-0.01032363 -0.00203868  0.28517672],[0.11581772 0.11598583 0.09008976],[ 7.0287687e-01 -1.5733504e-03  2.4910760e-04  7.1130979e-01],0,6,1785138490721466,1785138490721466,[-0.01539048 -0.03242746  0.15803225],1,[0.01566808 0.01546499 0.0062765 ]
1785138490727623740,[ 0.0021635  -0.00137241 -0.00084559],[4.2679683e-05 4.2585998e-05 3.4030158e-02],1,[-0.01026414 -0.00203582  0.285529  ],[0.11624942 0.11641818 0.0897082 ],[ 7.0287853e-01 -1.5681892e-03  2.5176114e-04  7.1130812e-01],0,6,1785138490729466,1785138490729466,[-0.01520886 -0.03237412  0.15774336],1,[0.01573738 0.01553215 0.00626504]
