bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785138493377979871,12.0,world,377644396,1785138495,5,normal,0.0,10.0,7.5,5.0,1
1785138493477975738,12.0,world,377644396,1785138495,5,normal,0.0,10.0,7.5,5.0,1
1785138493578227369,12.0,world,377644396,1785138495,5,normal,0.0,10.0,7.5,5.0,1
1785138493678273632,12.0,world,377644396,1785138495,5,normal,0.0,10.0,7.5,5.0,1
1785138493778372033,12.0,world,377644396,1785138495,5,normal,0.0,10.0,7.5,5.0,1
1785138493878493257,12.0,world,377644396,1785138495,5,normal,0.0,10.0,7.5,5.0,1
1785138493978616245,12.0,world,377644396,1785138495,5,normal,0.0,10.0,7.5,5.0,1
1785138494078742088,12.0,world,377644396,1785138495,5,normal,0.0,10.0,7.5,5.0,1
1785138494178843554,12.0,world,377644396,1785138495,5,normal,0.0,10.0,7.5,5.0,1
1785138494278969756,12.0,world,377644396,1785138495,5,normal,0.0,10.0,7.5,5.0,1
