bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785137476481735323,[ 0.00086459 -0.00028549  0.00043203],[4.4265907e-05 4.3859643e-05 3.3984885e-02],1,[-0.022432   -0.01958011  0.24670145],[0.12604842 0.12624791 0.09462411],[ 7.0343071e-01 -1.8139888e-03  5.8726099e-04  7.1076131e-01],0,6,1785137476468786,1785137476468786,[-0.02488503 -0.03609391  0.14292468],1,[0.01744703 0.01721869 0.00657105]
1785137476489775515,[ 0.00059828 -0.00135075 -0.00089956],[4.4340355e-05 4.3934382e-05 3.3985540e-02],1,[-0.02271478 -0.01992915  0.24809715],[0.12703621 0.12723641 0.0952085 ],[ 7.0343554e-01 -1.7964187e-03  5.8499846e-04  7.1075654e-01],0,6,1785137476484786,1785137476484786,[-0.02492725 -0.03634782  0.143572  ],1,[0.01759954 0.01736707 0.00659634]
1785137476501570336,[ 0.00033196 -0.0021497   0.00309518],[4.4380609e-05 4.3974178e-05 3.3985861e-02],1,[-0.022857   -0.02011038  0.24881998],[0.1275344  0.1277349  0.09550212],[ 7.0343214e-01 -1.7923584e-03  5.8409834e-04  7.1076000e-01],0,6,1785137476492786,1785137476492786,[-0.02476847 -0.03645112  0.14377145],1,[0.0176762  0.01744145 0.006609  ]
1785137476509677717,[ 0.00032838 -0.00348741 -0.0003643 ],[4.2157677e-05 4.1882722e-05 3.3981510e-02],1,[-0.02285597 -0.02000374  0.24847807],[0.10624179 0.10637847 0.0860652 ],[ 7.0343316e-01 -1.7795914e-03  5.7159015e-04  7.1075898e-01],0,6,1785137476500786,1785137476500786,[-0.02464635 -0.03662956  0.14381324],1,[0.01421232 0.01404339 0.00612046]
1785137476521464483,[-0.00047114  0.00024097 -0.00142981],[4.2195628e-05 4.1916705e-05 3.3978719e-02],1,[-0.02285614 -0.01990761  0.24817993],[0.10661243 0.10675371 0.08632676],[ 7.0344198e-01 -1.7794294e-03  5.6877127e-04  7.1075028e-01],0,6,1785137476508786,1785137476508786,[-0.02474682 -0.03648358  0.14401461],1,[0.0142678  0.014102   0.00613276]
1785137476529631910,[ 0.00219202 -0.00242219 -0.00116349],[4.2273579e-05 4.1988547e-05 3.3979367e-02],1,[-0.0228743  -0.01974497  0.24770875],[0.10737148 0.10751475 0.08624657],[ 7.0346200e-01 -1.7591707e-03  5.6067860e-04  7.1073049e-01],0,6,1785137476524786,1785137476524786,[-0.02503111 -0.0363832   0.1439661 ],1,[0.01439738 0.01422786 0.00613556]
1785137476541420720,[-0.00127009 -0.00375377 -0.00036455],[4.2311956e-05 4.2025924e-05 3.3979688e-02],1,[-0.02289125 -0.01967916  0.24753086],[0.10775439 0.10789863 0.08650894],[ 7.0346844e-01 -1.7491922e-03  5.4670183e-04  7.1072412e-01],0,6,1785137476532786,1785137476532786,[-0.02500187 -0.03666875  0.1438508 ],1,[0.01446232 0.01429127 0.00614787]
1785137476549548561,[-0.00047114 -0.00135692 -0.00036455],[4.2350119e-05 4.2067604e-05 3.3980008e-02],1,[-0.02291333 -0.01962457  0.24739066],[0.10813958 0.10828477 0.08677219],[ 7.0347250e-01 -1.7445225e-03  5.3800317e-04  7.1072012e-01],0,6,1785137476540786,1785137476540786,[-0.02523089 -0.03673935  0.1438591 ],1,[0.01452748 0.01435475 0.00616019]
1785137476561320218,[-7.3745719e-04 -5.5797584e-04 -9.8229415e-05],[4.2386717e-05 4.2101059e-05 3.3980329e-02],1,[-0.02294184 -0.01957992  0.24728797],[0.10852706 0.10867318 0.08703632],[ 7.0347607e-01 -1.7447759e-03  5.3269544e-04  7.1071661e-01],0,6,1785137476548786,1785137476548786,[-0.02544278 -0.03682777  0.14402546],1,[0.01459322 0.01441868 0.00617251]
1785137476569361301,[-0.00206904 -0.00055798 -0.00276139],[4.2464664e-05 4.2165819e-05 3.3980977e-02],1,[-0.0230102  -0.0195196   0.24719465],[0.10930893 0.10945684 0.08756725],[ 7.0348817e-01 -1.7555436e-03  5.3376169e-04  7.1070468e-01],0,6,1785137476564786,1785137476564786,[-0.02508332 -0.03697296  0.14462633],1,[0.01472527 0.01454741 0.00619718]
