bag_time_ns,actual_pos_x,actual_pos_y,actual_pos_z,actual_velocity_x,actual_velocity_y,actual_velocity_z,arrival_time_error,elapsed_time,final_position_error,header_frame_id,header_stamp_nanosec,header_stamp_sec,integrated_squared_jerk,integrated_squared_jerk_valid,is_finished,is_hover_stable,ladrc_accel_feedforward_enabled,ladrc_acceleration_command_x,ladrc_acceleration_command_y,ladrc_acceleration_command_z,max_acceleration,max_acceleration_valid,max_jerk,max_jerk_valid,max_velocity,max_velocity_valid,mission_id,motion_style,path_length,reference_acceleration_x,reference_acceleration_y,reference_acceleration_z,reference_jerk_x,reference_jerk_y,reference_jerk_z,reference_pos_x,reference_pos_y,reference_pos_z,reference_velocity_x,reference_velocity_y,reference_velocity_z,requested_duration,safety_factor,start_pos_x,start_pos_y,start_pos_z,target_pos_x,target_pos_y,target_pos_z,tracking_error,trajectory_duration,trajectory_profile,uav_id
1785137479522939015,-0.0103261424228549,12.004684143234044,-0.388516902923584,-0.0365947000682354,0.015683749690651894,-0.18593136966228485,nan,-1.9058215618133545,6.8814826011657715,world,522876785,1785137479,nan,False,False,False,False,-0.03757947953622879,-0.01271564103528527,0.3233570721444243,nan,False,nan,False,nan,False,403,normal,6.8783345222473145,0.0,0.0,0.0,0.0,0.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,0.0,0.0,0.0,12.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,4.0,13.5,5.0,0.004802824463695288,12.0,step,4
1785137479622924791,-0.010781850665807724,12.00547464704141,-0.3964724540710449,-0.035630159080028534,0.018226977437734604,-0.18859507143497467,nan,-1.8058197498321533,6.887807369232178,world,622878051,1785137479,nan,False,False,False,False,-0.005102087006320114,-0.0418553227582934,0.7746006620307211,nan,False,nan,False,nan,False,403,normal,6.8783345222473145,0.0,0.0,0.0,0.0,0.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,0.0,0.0,0.0,12.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,4.0,13.5,5.0,0.012736065313220024,12.0,step,4
1785137479722922761,-0.011204587295651436,12.007192662451416,-0.4033786952495575,-0.035185202956199646,0.020946739241480827,-0.19011202454566956,nan,-1.7058178186416626,6.893093585968018,world,722879668,1785137479,nan,False,False,False,False,0.05631982848234107,-0.0762092082920997,1.166657646632851,nan,False,nan,False,nan,False,403,normal,6.8783345222473145,0.0,0.0,0.0,0.0,0.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,0.0,0.0,0.0,12.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,4.0,13.5,5.0,0.01979701966047287,12.0,step,4
1785137479822927874,-0.009671300649642944,12.01019148901105,-0.4012213349342346,-0.0348455049097538,0.024020686745643616,-0.1896168440580368,nan,-1.6058175563812256,6.889861106872559,world,822880253,1785137479,nan,False,False,False,False,-0.07194014275542526,-0.19067154991960333,0.23664999873293552,nan,False,nan,False,nan,False,403,normal,6.8783345222473145,0.0,0.0,0.0,0.0,0.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,0.0,0.0,0.0,12.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,4.0,13.5,5.0,0.018455125391483307,12.0,step,4
1785137479922937607,-0.009441155940294266,12.01346529647708,-0.4051341116428375,-0.033545296639204025,0.027054961770772934,-0.190022811293602,nan,-1.5058120489120483,6.892087936401367,world,922885386,1785137479,nan,False,False,False,False,-0.058362849539840556,-0.2504237561369645,0.7724113936964746,nan,False,nan,False,nan,False,403,normal,6.8783345222473145,0.0,0.0,0.0,0.0,0.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,0.0,0.0,0.0,12.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,4.0,13.5,5.0,0.023288695141673088,12.0,step,4
1785137480022939713,-0.01029813289642334,12.016526529565454,-0.4127119481563568,-0.03377562388777733,0.02818499132990837,-0.1916210949420929,nan,-1.4058014154434204,6.897871971130371,world,22895969,1785137480,nan,False,False,False,False,0.00615312281947238,-0.299769234273967,1.2640292824147625,nan,False,nan,False,nan,False,403,normal,6.8783345222473145,0.0,0.0,0.0,0.0,0.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,0.0,0.0,0.0,12.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,4.0,13.5,5.0,0.03141029551625252,12.0,step,4
1785137480122952234,-0.011072198860347271,12.018843714147806,-0.42003870010375977,-0.03321799263358116,0.030460456386208534,-0.19336147606372833,nan,-1.3057969808578491,6.903574466705322,world,122899983,1785137480,nan,False,False,False,False,0.0700332767599805,-0.3461493677035738,1.7206292492296835,nan,False,nan,False,nan,False,403,normal,6.8783345222473145,0.0,0.0,0.0,0.0,0.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,0.0,0.0,0.0,12.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,4.0,13.5,5.0,0.039056744426488876,12.0,step,4
1785137480222935688,-0.009504865854978561,12.018623610958457,-0.4192962646484375,-0.03181317076086998,0.031625352799892426,-0.19406889379024506,nan,-1.2057985067367554,6.90212869644165,world,222899980,1785137480,nan,False,False,False,False,-0.07423927364329208,-0.22728068202843663,0.9661958068839295,nan,False,nan,False,nan,False,403,normal,6.8783345222473145,0.0,0.0,0.0,0.0,0.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,0.0,0.0,0.0,12.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,4.0,13.5,5.0,0.03831974044442177,12.0,step,4
1785137480322937408,-0.009302807971835136,12.019355794414878,-0.42440083622932434,-0.03231501951813698,0.03314238041639328,-0.19490601122379303,nan,-1.1057958602905273,6.905862808227539,world,322901539,1785137480,nan,False,False,False,False,-0.06596616505022371,-0.24771699573674832,1.5372623372233187,nan,False,nan,False,nan,False,403,normal,6.8783345222473145,0.0,0.0,0.0,0.0,0.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,0.0,0.0,0.0,12.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,4.0,13.5,5.0,0.043348658829927444,12.0,step,4
1785137480422955690,-0.01019294187426567,12.020769463852048,-0.4327023923397064,-0.03271530196070671,0.034645892679691315,-0.19620221853256226,nan,-1.0057865381240845,6.912599086761475,world,422910573,1785137480,nan,False,False,False,False,0.002155673209631984,-0.3232262722303328,2.0759009529573422,nan,False,nan,False,nan,False,403,normal,6.8783345222473145,0.0,0.0,0.0,0.0,0.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,0.0,0.0,0.0,12.0,0.0,-0.01111704483628273,12.004286159295589,-0.3837963938713074,4.0,13.5,5.0,0.0516173429787159,12.0,step,4
