bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785138898003205745,12.0,world,2857036,1785138900,404,normal,0.0,16.0,13.5,5.0,5
1785138898103327854,12.0,world,2857036,1785138900,404,normal,0.0,16.0,13.5,5.0,5
1785138898203530355,12.0,world,2857036,1785138900,404,normal,0.0,16.0,13.5,5.0,5
1785138898303660309,12.0,world,2857036,1785138900,404,normal,0.0,16.0,13.5,5.0,5
1785138898403844695,12.0,world,2857036,1785138900,404,normal,0.0,16.0,13.5,5.0,5
1785138898503951445,12.0,world,2857036,1785138900,404,normal,0.0,16.0,13.5,5.0,5
1785138898604074215,12.0,world,2857036,1785138900,404,normal,0.0,16.0,13.5,5.0,5
1785138898704211814,12.0,world,2857036,1785138900,404,normal,0.0,16.0,13.5,5.0,5
1785138898804415867,12.0,world,2857036,1785138900,404,normal,0.0,16.0,13.5,5.0,5
1785138898904590375,12.0,world,2857036,1785138900,404,normal,0.0,16.0,13.5,5.0,5
