bag_time_ns,actual_pos_x,actual_pos_y,actual_pos_z,actual_velocity_x,actual_velocity_y,actual_velocity_z,arrival_time_error,elapsed_time,final_position_error,header_frame_id,header_stamp_nanosec,header_stamp_sec,integrated_squared_jerk,integrated_squared_jerk_valid,is_finished,is_hover_stable,ladrc_accel_feedforward_enabled,ladrc_acceleration_command_x,ladrc_acceleration_command_y,ladrc_acceleration_command_z,max_acceleration,max_acceleration_valid,max_jerk,max_jerk_valid,max_velocity,max_velocity_valid,mission_id,motion_style,path_length,reference_acceleration_x,reference_acceleration_y,reference_acceleration_z,reference_jerk_x,reference_jerk_y,reference_jerk_z,reference_pos_x,reference_pos_y,reference_pos_z,reference_velocity_x,reference_velocity_y,reference_velocity_z,requested_duration,safety_factor,start_pos_x,start_pos_y,start_pos_z,target_pos_x,target_pos_y,target_pos_z,tracking_error,trajectory_duration,trajectory_profile,uav_id
1785137997283010178,-0.021708574146032333,14.973233338445425,-0.27750325202941895,-0.03139611333608627,-0.020854821428656578,-0.13786433637142181,nan,-1.9166016578674316,12.621179580688477,world,282954712,1785137997,nan,False,False,False,True,5.0,-1.0076078322627762,3.246690218116882,nan,False,nan,False,1.5778599977493286,True,2,normal,12.622879981994629,0.0,0.0,0.0,0.0,0.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,1.407457241489691,-0.27122289183198567,0.659654762595892,8.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,11.23606798,12.80422607,5.0,0.0020522805862128735,8.0,linear,5
1785137997383012265,-0.018356993794441223,14.97202574275434,-0.2739987075328827,0.015375480055809021,-0.02098398096859455,-0.00887573603540659,nan,-1.816595435142517,12.616517066955566,world,382962501,1785137997,nan,False,False,False,True,5.0,-1.1729185904394517,4.593435109891991,nan,False,nan,False,1.5778599977493286,True,2,normal,12.622879981994629,0.0,0.0,0.0,0.0,0.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,1.407457241489691,-0.27122289183198567,0.659654762595892,8.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,11.23606798,12.80422607,5.0,0.006466192193329334,8.0,linear,5
1785137997483006037,-0.01070629432797432,14.9704329688102,-0.26046252250671387,0.08249244838953018,-0.030621487647294998,0.12275125086307526,nan,-1.716596245765686,12.603763580322266,world,482960921,1785137997,nan,False,False,False,True,5.0,-1.472532925910226,4.771902226173654,nan,False,nan,False,1.5778599977493286,True,2,normal,12.622879981994629,0.0,0.0,0.0,0.0,0.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,1.407457241489691,-0.27122289183198567,0.659654762595892,8.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,11.23606798,12.80422607,5.0,0.021452229470014572,8.0,linear,5
1785137997583017092,0.004099450074136257,14.966012202203274,-0.23551294207572937,0.1839824914932251,-0.08100805431604385,0.20464378595352173,nan,-1.6165947914123535,12.579389572143555,world,582962498,1785137997,nan,False,False,False,True,5.0,-1.610516298471162,5.0775350718033545,nan,False,nan,False,1.5778599977493286,True,2,normal,12.622879981994629,0.0,0.0,0.0,0.0,0.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,1.407457241489691,-0.27122289183198567,0.659654762595892,8.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,11.23606798,12.80422607,5.0,0.05071137845516205,8.0,linear,5
1785137997683009912,0.0315033495426178,14.95732932165265,-0.20248405635356903,0.39347437024116516,-0.16727258265018463,0.19400310516357422,nan,-1.5165910720825195,12.539695739746094,world,682965317,1785137997,nan,False,False,False,True,5.0,-1.5796728552840014,4.270553090703644,nan,False,nan,False,1.5778599977493286,True,2,normal,12.622879981994629,0.0,0.0,0.0,0.0,0.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,1.407457241489691,-0.27122289183198567,0.659654762595892,8.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,11.23606798,12.80422607,5.0,0.09434859454631805,8.0,linear,5
1785137997783029232,0.08948542177677155,14.935993909835815,-0.17687028646469116,0.738304853439331,-0.2871291935443878,0.0974142998456955,nan,-1.4165804386138916,12.473601341247559,world,782978135,1785137997,nan,False,False,False,True,5.0,-1.0464340668141237,5.525581974191118,nan,False,nan,False,1.5778599977493286,True,2,normal,12.622879981994629,0.0,0.0,0.0,0.0,0.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,1.407457241489691,-0.27122289183198567,0.659654762595892,8.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,11.23606798,12.80422607,5.0,0.1559002846479416,8.0,linear,5
1785137997883047130,0.17961008846759796,14.90516071766615,-0.16578543186187744,1.1548341512680054,-0.3820425868034363,-0.005245476961135864,nan,-1.3165603876113892,12.383235931396484,world,882999990,1785137997,nan,False,False,False,True,3.8965184851607937,-0.14404280250124357,7.225654364543082,nan,False,nan,False,1.5778599977493286,True,2,normal,12.622879981994629,0.0,0.0,0.0,0.0,0.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,1.407457241489691,-0.27122289183198567,0.659654762595892,8.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,11.23606798,12.80422607,5.0,0.24176862835884094,8.0,linear,5
1785137997983051962,0.3191412687301636,14.865944981575012,-0.15512339770793915,1.636447787284851,-0.43724721670150757,0.0839524120092392,nan,-1.2165724039077759,12.247663497924805,world,982987710,1785137997,nan,False,False,False,True,0.4058002577430957,0.7184540461073905,8.0,nan,False,nan,False,1.5778599977493286,True,2,normal,12.622879981994629,0.0,0.0,0.0,0.0,0.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,1.407457241489691,-0.27122289183198567,0.659654762595892,8.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,11.23606798,12.80422607,5.0,0.3795452117919922,8.0,linear,5
1785137998083029792,0.457758367061615,14.842671349644661,-0.11182229965925217,1.8318449258804321,-0.37552738189697266,0.4670726954936981,nan,-1.1165777444839478,12.101981163024902,world,82980147,1785137998,nan,False,False,False,True,-1.5910673869370877,0.3977057754084129,5.103938362262423,nan,False,nan,False,1.5778599977493286,True,2,normal,12.622879981994629,0.0,0.0,0.0,0.0,0.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,1.407457241489691,-0.27122289183198567,0.659654762595892,8.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,11.23606798,12.80422607,5.0,0.5256502628326416,8.0,linear,5
1785137998183052847,0.5317984819412231,14.832772761583328,-0.07832220941781998,1.7622089385986328,-0.32510650157928467,0.5877305269241333,nan,-1.0165672302246094,12.020222663879395,world,182990017,1785137998,nan,False,False,False,True,0.5653539880566183,-0.27719326564186725,6.994008888640737,nan,False,nan,False,1.5778599977493286,True,2,normal,12.622879981994629,0.0,0.0,0.0,0.0,0.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,1.407457241489691,-0.27122289183198567,0.659654762595892,8.0,0.0,-0.023589951917529106,14.974009204655886,-0.2772381007671356,11.23606798,12.80422607,5.0,0.6066066026687622,8.0,linear,5
