bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785138732234147912,[ 0.001151   -0.00297653 -0.0029564 ],[4.1216168e-05 4.0680265e-05 3.3928182e-02],1,[-0.0096296  -0.00332301  0.24267308],[0.10658935 0.10672127 0.08563628],[ 0.7026329  -0.00098864  0.00088627  0.71155137],0,6,1785138721528796,1785138721528796,[-0.02597353 -0.03222534  0.14334887],1,[0.01423284 0.01406558 0.00611393]
1785138732234360455,[ 0.00168363 -0.0024439  -0.00162482],[4.125301e-05 4.071566e-05 3.392848e-02],1,[-0.00946335 -0.00322648  0.24247144],[0.10696729 0.10710014 0.08589716],[ 0.7026424  -0.00097795  0.00088204  0.711542  ],0,6,1785138721536796,1785138721536796,[-0.02600355 -0.03208423  0.14320377],1,[0.01429727 0.01412818 0.00612623]
1785138732235772536,[-0.00071389 -0.00137855 -0.00055883],[4.1328167e-05 4.0791947e-05 3.3926789e-02],1,[-0.00914829 -0.00306441  0.24217975],[0.10772404 0.10786235 0.08642155],[ 0.7026537  -0.00096705  0.00085853  0.7115308 ],0,6,1785138721552796,1785138721552796,[-0.02602092 -0.0323871   0.14310749],1,[0.01441726 0.01424983 0.00615084]
1785138732235985929,[-9.8020956e-04 -3.1328527e-04 -2.6192063e-05],[4.1364921e-05 4.0826366e-05 3.3927087e-02],1,[-0.00900552 -0.00299778  0.24207585],[0.10810864 0.10824789 0.08608139],[ 0.7026567  -0.00096954  0.00085166  0.7115279 ],0,6,1785138721560796,1785138721560796,[-0.02616191 -0.03245018  0.1432766 ],1,[0.01448243 0.01431327 0.00614129]
1785138732237377752,[0.00035137 0.00314882 0.00050644],[4.1402975e-05 4.0859497e-05 3.3927403e-02],1,[-0.00887092 -0.00294012  0.24200934],[0.10849552 0.10863569 0.08634395],[ 0.70265883 -0.00097662  0.00085531  0.71152574],0,6,1785138721568796,1785138721568796,[-0.02592474 -0.0324806   0.14347403],1,[0.01454783 0.01437711 0.0061536 ]
1785138732237592990,[-0.00231179 -0.0005796  -0.00268935],[4.1441683e-05 4.0894469e-05 3.3927705e-02],1,[-0.00874268 -0.00289128  0.24198   ],[0.10888468 0.10902575 0.0866074 ],[ 0.7026678  -0.00098442  0.00085069  0.711517  ],0,6,1785138721576796,1785138721576796,[-0.02565291 -0.03254463  0.1438816 ],1,[0.01461334 0.01444097 0.00616591]
1785138732238036298,[ 1.4166416e-03 -2.7101301e-03 -2.6193924e-05],[4.1518884e-05 4.0970499e-05 3.3928309e-02],1,[-0.0085017  -0.00281682  0.24202989],[0.10966995 0.10981277 0.08713695],[ 0.7026688  -0.00097631  0.0008458   0.711516  ],0,6,1785138721592796,1785138721592796,[-0.0249548  -0.03229668  0.14433378],1,[0.01474527 0.01456889 0.00619057]
1785138732238246025,[-0.00177916  0.00234988 -0.0034883 ],[4.1557792e-05 4.1009298e-05 3.3928599e-02],1,[-0.00839044 -0.00278945  0.2421045 ],[0.11006608 0.11020973 0.08740307],[ 0.7026809  -0.00098452  0.0008446   0.711504  ],0,6,1785138721600796,1785138721600796,[-0.02492394 -0.03215255  0.14431117],1,[0.01481146 0.01463323 0.00620291]
1785138732238743907,[ 0.00061742  0.00155119 -0.00029055],[4.1596944e-05 4.1045183e-05 3.3926599e-02],1,[-0.00828372 -0.00276975  0.24221049],[0.11045779 0.11060643 0.08767007],[ 0.70268613 -0.00099087  0.00084683  0.7114988 ],0,6,1785138721608796,1785138721608796,[-0.02474265 -0.03188001  0.14438243],1,[0.0148684  0.0146935  0.00621526]
1785138732238965606,[ 0.00141637 -0.00084565 -0.00242108],[4.1634947e-05 4.1082618e-05 3.3926897e-02],1,[-0.00818316 -0.00275537  0.242314  ],[0.11085848 0.111008   0.08731676],[ 0.70269394 -0.00098592  0.00084762  0.7114911 ],0,6,1785138721616796,1785138721616796,[-0.02464643 -0.03170817  0.1445079 ],1,[0.01493505 0.0147584  0.00620501]
1785138732239484698,[0.0003511  0.00101856 0.00077472],[4.1709907e-05 4.1159692e-05 3.3927500e-02],1,[-0.00800024 -0.00274599  0.24261166],[0.11166697 0.11181816 0.08785143],[ 0.70269877 -0.0009816   0.00083906  0.7114864 ],0,6,1785138721632796,1785138721632796,[-0.02433368 -0.03163196  0.1444423 ],1,[0.01506932 0.01488837 0.0062297 ]
1785138732239723680,[ 0.00088373 -0.00084565  0.0005084 ],[4.1747309e-05 4.1194406e-05 3.3927791e-02],1,[-0.0079171  -0.00275082  0.24280402],[0.11207479 0.1122268  0.0881201 ],[ 0.7026999  -0.00097776  0.00083801  0.71148527],0,6,1785138721640796,1785138721640796,[-0.0241721  -0.03154583  0.14456642],1,[0.01513663 0.01495401 0.00624206]
1785138732240160056,[-0.00257838 -0.00137828  0.00397051],[4.1783656e-05 4.1230647e-05 3.3928096e-02],1,[-0.00783914 -0.00276194  0.24302475],[0.11248502 0.11263782 0.08838967],[ 0.7026923  -0.00098178  0.00082901  0.71149284],0,6,1785138721648796,1785138721648796,[-0.02406021 -0.0315549   0.14456852],1,[0.01520423 0.01501944 0.00625443]
1785138732240364282,[ 8.4788189e-05  1.2848750e-03 -1.6221284e-03],[4.1821131e-05 4.1267158e-05 3.3928394e-02],1,[-0.00776766 -0.00277959  0.24327327],[0.11289766 0.11305123 0.08866014],[ 0.7026955  -0.00098435  0.00082529  0.71148956],0,6,1785138721656796,1785138721656796,[-0.02420413 -0.03162234  0.14479783],1,[0.01527213 0.0150852  0.0062668 ]
1785138732240821768,[-0.00204574  0.00155119  0.00157366],[4.1894687e-05 4.1341540e-05 3.3928987e-02],1,[-0.00764912 -0.00283527  0.24385871],[0.11373024 0.11388528 0.08920378],[ 0.7026896  -0.00098731  0.00083599  0.71149534],0,6,1785138721672796,1785138721672796,[-0.024529   -0.03175007  0.14569277],1,[0.01540841 0.01521768 0.00629157]
1785138732241020173,[-0.0001818   0.00021932 -0.00375474],[4.1931387e-05 4.1377829e-05 3.3927042e-02],1,[-0.00759631 -0.00287014  0.24415393],[0.11414219 0.11430284 0.08883391],[ 0.70269835 -0.00099327  0.00083113  0.7114868 ],0,6,1785138721680796,1785138721680796,[-0.0244861  -0.03169012  0.14605333],1,[0.01546664 0.01527974 0.00628047]
1785138732241481496,[-1.2470657e-03 -4.6993606e-05 -4.2873817e-03],[4.1967975e-05 4.1412815e-05 3.3927340e-02],1,[-0.00755003 -0.00290975  0.24447708],[0.11456446 0.11472589 0.08910602],[ 0.70271224 -0.00099547  0.00082786  0.71147305],0,6,1785138721688796,1785138721688796,[-0.02458163 -0.03152504  0.14639118],1,[0.01553548 0.01534692 0.00629285]
1785138732241784238,[-0.00124707 -0.00191121 -0.00055895],[4.200380e-05 4.145076e-05 3.392764e-02],1,[-0.00750886 -0.00295423  0.2448274 ],[0.11498922 0.11515139 0.08937903],[ 0.7027181  -0.00099684  0.00081715  0.71146727],0,6,1785138721696796,1785138721696796,[-0.02437626 -0.03145489  0.14659192],1,[0.0156048  0.01541413 0.00630524]
1785138732242173324,[-0.00044811 -0.00137858  0.00050631],[4.2078711e-05 4.1527455e-05 3.3928230e-02],1,[-0.00744159 -0.00305866  0.24560553],[0.11584622 0.1160098  0.08992779],[ 0.70271474 -0.00099278  0.00080126  0.7114706 ],0,6,1785138721712796,1785138721712796,[-0.02443737 -0.03134559  0.14703524],1,[0.0157436  0.0155496  0.00633005]
1785138732242370047,[-0.00151338 -0.00137858  0.00023999],[4.211848e-05 4.156484e-05 3.392853e-02],1,[-0.00741568 -0.00311893  0.24603115],[0.11627849 0.11644274 0.09020353],[ 0.7027154  -0.00099074  0.00079342  0.71147   ],0,6,1785138721720796,1785138721720796,[-0.02422264 -0.03148257  0.14713441],1,[0.01581328 0.01561711 0.00634246]
1785138732242819958,[ 0.00061715  0.00234985 -0.0013579 ],[4.2157448e-05 4.1604264e-05 3.3928819e-02],1,[-0.00739306 -0.00318557  0.24647936],[0.11671329 0.11687818 0.09048019],[ 0.70271975 -0.00099777  0.00079312  0.7114657 ],0,6,1785138721728796,1785138721728796,[-0.0240098  -0.03161806  0.1471577 ],1,[0.01588306 0.01568464 0.00635489]
1785138732243023102,[0.00221504 0.0015509  0.00130526],[4.2196141e-05 4.1641728e-05 3.3929117e-02],1,[-0.00737543 -0.00325786  0.24692981],[0.11715063 0.11731614 0.09009623],[ 0.70271987 -0.00099769  0.00080385  0.7114656 ],0,6,1785138721736796,1785138721736796,[-0.02418141 -0.03157094  0.14715806],1,[0.01595308 0.0157523  0.00634306]
1785138732243444179,[0.00168291 0.00208353 0.00290304],[4.2272419e-05 4.1715830e-05 3.3927444e-02],1,[-0.00736179 -0.00341521  0.24789815],[0.11802357 0.118196   0.09065004],[ 0.70271224 -0.00101248  0.00081339  0.7114731 ],0,6,1785138721752796,1785138721752796,[-0.02437598 -0.03136631  0.14749032],1,[0.01608316 0.0158843  0.0063679 ]
1785138732243625091,[-0.0001813  -0.00031332 -0.00242329],[4.2312113e-05 4.1753527e-05 3.3927750e-02],1,[-0.00736601 -0.00349944  0.24841551],[0.11846844 0.11864153 0.09092832],[ 0.70271707 -0.00101231  0.00081378  0.7114682 ],0,6,1785138721760796,1785138721760796,[-0.02445224 -0.0311562   0.14770213],1,[0.01615395 0.01595315 0.00638034]
1785138732244053622,[ 6.1763788e-04  1.2845774e-03 -2.6439213e-05],[4.2350326e-05 4.1788975e-05 3.3928055e-02],1,[-0.00737457 -0.00358821  0.2489558 ],[0.11891592 0.11908961 0.09120752],[ 0.70272154 -0.00101476  0.00081609  0.7114638 ],0,6,1785138721768796,1785138721768796,[-0.02437295 -0.03132943  0.14817362],1,[0.01622501 0.0160223  0.00639278]
1785138732244235385,[ 8.5009728e-05  1.0182606e-03 -5.5907335e-04],[4.2387921e-05 4.1826203e-05 3.3928361e-02],1,[-0.00738743 -0.00368387  0.24951933],[0.11936599 0.11954028 0.09148764],[ 0.70272326 -0.00101645  0.00081849  0.7114621 ],0,6,1785138721776796,1785138721776796,[-0.02437094 -0.03166012  0.1485401 ],1,[0.01629653 0.01609175 0.00640523]
1785138732244599835,[-0.00098026  0.00314879  0.00290304],[4.2464406e-05 4.1899952e-05 3.3928972e-02],1,[-0.00742935 -0.00389135  0.25070524],[0.12027401 0.12044943 0.09205063],[ 0.70271933 -0.00103178  0.00081587  0.711466  ],0,6,1785138721792796,1785138721792796,[-0.02482884 -0.03170093  0.14847091],1,[0.01644024 0.01623123 0.00643015]
1785138732244843967,[-0.00124657  0.00021931  0.00157146],[4.2502543e-05 4.1939937e-05 3.3929270e-02],1,[-0.00745997 -0.00400171  0.2512695 ],[0.12073199 0.12090793 0.09164891],[ 0.70271516 -0.00103791  0.00081392  0.7114701 ],0,6,1785138721800796,1785138721800796,[-0.02505129 -0.031656    0.14867128],1,[0.01651256 0.01630143 0.00641742]
