bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785138757978647292,8.0,world,978349519,1785138759,4,normal,0.0,14.0,9.0,5.0,3
1785138758078707907,8.0,world,978349519,1785138759,4,normal,0.0,14.0,9.0,5.0,3
1785138758806375605,8.0,world,978349519,1785138759,4,normal,0.0,14.0,9.0,5.0,3
1785138758806515449,8.0,world,978349519,1785138759,4,normal,0.0,14.0,9.0,5.0,3
1785138758806636989,8.0,world,978349519,1785138759,4,normal,0.0,14.0,9.0,5.0,3
1785138758806757677,8.0,world,978349519,1785138759,4,normal,0.0,14.0,9.0,5.0,3
1785138758806906659,8.0,world,978349519,1785138759,4,normal,0.0,14.0,9.0,5.0,3
1785138758807006668,8.0,world,978349519,1785138759,4,normal,0.0,14.0,9.0,5.0,3
1785138758807134831,8.0,world,978349519,1785138759,4,normal,0.0,14.0,9.0,5.0,3
1785138758879807649,8.0,world,978349519,1785138759,4,normal,0.0,14.0,9.0,5.0,3
