bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785138325823857999,[-0.00178291  0.00155422  0.00127419],[4.2273419e-05 4.1597537e-05 3.4747183e-02],1,[-0.01123098 -0.00813018  0.25148645],[0.11417326 0.11434145 0.0895697 ],[ 7.0750898e-01 -4.9970136e-04  9.7247004e-04  7.0670354e-01],0,6,1785138325820649,1785138325820649,[-0.02959006 -0.03453618  0.14698565],1,[0.01552298 0.01534821 0.00630285]
1785138325831846282,[-1.8501212e-04 -4.3680426e-05 -3.7858100e-03],[4.2311087e-05 4.1634503e-05 3.4747522e-02],1,[-0.01125566 -0.00818017  0.2518144 ],[0.11459637 0.11476541 0.08984371],[ 7.0751750e-01 -5.0486875e-04  9.6740085e-04  7.0669496e-01],0,6,1785138325828649,1785138325828649,[-0.02958379 -0.03446602  0.1473545 ],1,[0.0155921  0.01541584 0.00631526]
1785138325843943895,[-0.00098397 -0.0021742  -0.00059002],[4.2385582e-05 4.1708685e-05 3.4748212e-02],1,[-0.01132124 -0.00829423  0.25247544],[0.11545005 0.11562075 0.08974025],[ 7.075363e-01 -5.005215e-04  9.525698e-04  7.066763e-01],0,6,1785138325844649,1785138325844649,[-0.02956903 -0.03424727  0.14789456],1,[0.0157316  0.01555179 0.00631627]
1785138325851833881,[-0.00045206 -0.00164153  0.00233995],[4.2423100e-05 4.1746571e-05 3.4745727e-02],1,[-0.01135425 -0.00835906  0.2528464 ],[0.11587192 0.11604888 0.090015  ],[ 7.0753396e-01 -4.9739011e-04  9.4620866e-04  7.0667863e-01],0,6,1785138325852649,1785138325852649,[-0.0296158  -0.03422719  0.14821216],1,[0.01579084 0.01561534 0.00632867]
1785138325863882390,[-0.00018574 -0.00164153  0.00047574],[4.2461557e-05 4.1784828e-05 3.4746077e-02],1,[-0.01139275 -0.00842873  0.25324312],[0.1163049  0.11648273 0.09029067],[ 7.0753163e-01 -4.9388723e-04  9.3577098e-04  7.0668095e-01],0,6,1785138325860649,1785138325860649,[-0.02972222 -0.03413215  0.14833917],1,[0.01586092 0.0156839  0.00634109]
1785138325871895230,[-0.001251   -0.00137522  0.00020941],[4.2501117e-05 4.1822554e-05 3.4746427e-02],1,[-0.01143566 -0.00850391  0.25366423],[0.11674042 0.11691909 0.09056724],[ 7.075315e-01 -4.903847e-04  9.291663e-04  7.066811e-01],0,6,1785138325868649,1785138325868649,[-0.029573   -0.03427387  0.14843863],1,[0.01593119 0.01575205 0.00635351]
1785138325883923210,[ 0.00061321  0.00208689 -0.00138848],[4.2540338e-05 4.1861589e-05 3.4746777e-02],1,[-0.01148154 -0.00858539  0.25410834],[0.11717849 0.11735798 0.09084473],[ 7.0753503e-01 -4.9667497e-04  9.2865864e-04  7.0667756e-01],0,6,1785138325876649,1785138325876649,[-0.02941591 -0.03440433  0.14846218],1,[0.01600156 0.0158202  0.00636594]
1785138325891874092,[-0.00178364  0.00288584  0.00074205],[4.2617216e-05 4.1935760e-05 3.4747448e-02],1,[-0.01158807 -0.00876333  0.25506356],[0.11806233 0.11824339 0.09140245],[ 7.0753324e-01 -5.0395937e-04  9.4215880e-04  7.0667928e-01],0,6,1785138325892649,1785138325892649,[-0.02967132 -0.03421607  0.1486491 ],1,[0.01614311 0.01595728 0.00639082]
1785138325903856796,[0.00167847 0.00128795 0.00287258],[4.2656877e-05 4.1974326e-05 3.4747798e-02],1,[-0.01164901 -0.00885843  0.2555619 ],[0.11850813 0.11868994 0.09100771],[ 7.075253e-01 -5.075919e-04  9.467536e-04  7.066872e-01],0,6,1785138325900649,1785138325900649,[-0.02988616 -0.03410828  0.14880519],1,[0.01621447 0.01602694 0.00637854]
1785138325911866650,[-0.00018573 -0.00057627 -0.00245374],[4.2696636e-05 4.2011950e-05 3.4748148e-02],1,[-0.01171574 -0.00895669  0.2560823 ],[0.11895654 0.11913908 0.0912868 ],[ 7.0752937e-01 -5.0559302e-04  9.4575278e-04  7.0668316e-01],0,6,1785138325908649,1785138325908649,[-0.03000314 -0.0338833   0.14901859],1,[0.01628592 0.01609651 0.00639099]
