bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785137921282269004,8.0,world,282025751,1785137923,2,normal,0.0,6.76393202,6.64885899,5.0,2
1785137921382343804,8.0,world,282025751,1785137923,2,normal,0.0,6.76393202,6.64885899,5.0,2
1785137921482465984,8.0,world,282025751,1785137923,2,normal,0.0,6.76393202,6.64885899,5.0,2
1785137921582577554,8.0,world,282025751,1785137923,2,normal,0.0,6.76393202,6.64885899,5.0,2
1785137921682685066,8.0,world,282025751,1785137923,2,normal,0.0,6.76393202,6.64885899,5.0,2
1785137921782818658,8.0,world,282025751,1785137923,2,normal,0.0,6.76393202,6.64885899,5.0,2
1785137921882849785,8.0,world,282025751,1785137923,2,normal,0.0,6.76393202,6.64885899,5.0,2
1785137921982888857,8.0,world,282025751,1785137923,2,normal,0.0,6.76393202,6.64885899,5.0,2
1785137922082962732,8.0,world,282025751,1785137923,2,normal,0.0,6.76393202,6.64885899,5.0,2
1785137922182962807,8.0,world,282025751,1785137923,2,normal,0.0,6.76393202,6.64885899,5.0,2
