bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785139125549437529,[ 0.00114488  0.00075324 -0.00032041],[4.2860422e-05 4.2174775e-05 3.4770731e-02],1,[-0.01449003  0.00058866  0.22551405],[0.11716975 0.11734492 0.09086882],[ 7.0695913e-01 -5.1124266e-04  9.5915142e-04  7.0725358e-01],0,6,1785139125544494,1785139125544494,[-0.02688127 -0.02539518  0.13652232],1,[0.01606569 0.01587539 0.0063959 ]
1785139125661908926,[-0.00018671 -0.00510571 -0.001652  ],[4.2899599e-05 4.2212265e-05 3.4771085e-02],1,[-0.01453558  0.00049348  0.22590779],[0.11761092 0.11778678 0.09114818],[ 7.0696419e-01 -4.9809401e-04  9.4713114e-04  7.0724863e-01],0,6,1785139125552494,1785139125552494,[-0.02713686 -0.02543154  0.13686137],1,[0.01613708 0.01594507 0.00640845]
1785139125871375680,[ 0.00194453  0.00021986 -0.00059258],[4.2939988e-05 4.2250289e-05 3.4768652e-02],1,[-0.01459216  0.00040012  0.22632417],[0.11804511 0.11822758 0.09142847],[ 7.0696884e-01 -4.9208407e-04  9.4682653e-04  7.0724398e-01],0,6,1785139125560494,1785139125560494,[-0.0271093  -0.02543297  0.13698491],1,[0.01619736 0.01600971 0.006421  ]
1785139125871996514,[ 8.7926362e-04 -4.6456582e-05 -2.4567905e-03],[4.3019500e-05 4.2324558e-05 3.4769338e-02],1,[-1.4714894e-02  2.0599549e-04  2.2722043e-01],[0.11894011 0.11912404 0.0919918 ],[ 7.069786e-01 -4.916665e-04  9.437038e-04  7.072342e-01],0,6,1785139125576494,1785139125576494,[-0.02699723 -0.02508266  0.137193  ],1,[0.01634113 0.01614954 0.00644614]
1785139125872252788,[0.00221084 0.00101881 0.00047269],[4.3058473e-05 4.2363688e-05 3.4769680e-02],1,[-1.4781922e-02  1.0508206e-04  2.2769938e-01],[0.11939154 0.11957616 0.09227486],[ 7.0698160e-01 -4.8822604e-04  9.4917096e-04  7.0723122e-01],0,6,1785139125584494,1785139125584494,[-0.02705679 -0.02516131  0.13740751],1,[0.01641366 0.0162203  0.00645871]
1785139125872805613,[-0.000186    0.00235039  0.00047268],[4.3097785e-05 4.2401211e-05 3.4770023e-02],1,[-1.4852633e-02 -9.7694283e-08  2.2815612e-01],[0.11984561 0.12003091 0.09187095],[ 7.0698261e-01 -4.9606274e-04  9.5693563e-04  7.0723021e-01],0,6,1785139125592494,1785139125592494,[-0.02701779 -0.02533423  0.13760406],1,[0.01648637 0.01629123 0.00644591]
1785139125873111050,[ 0.00087926 -0.00137804  0.00180426],[4.3136613e-05 4.2437827e-05 3.4770366e-02],1,[-1.49268890e-02 -1.10561305e-04  2.28634521e-01],[0.12030234 0.12048829 0.09215375],[ 7.0697939e-01 -4.9106759e-04  9.5645833e-04  7.0723343e-01],0,6,1785139125600494,1785139125600494,[-0.02710031 -0.02566672  0.13789646],1,[0.0165594  0.0163624  0.00645848]
1785139125873823397,[-0.00205022  0.00021986  0.000739  ],[4.3213597e-05 4.2514977e-05 3.4771059e-02],1,[-0.01508982 -0.00034301  0.22965631],[0.12122381 0.121411   0.09272215],[ 7.0698011e-01 -4.9910491e-04  9.4958034e-04  7.0723271e-01],0,6,1785139125616494,1785139125616494,[-0.02740787 -0.02562746  0.13870372],1,[0.01670615 0.01650513 0.00648365]
1785139125874182395,[ 0.00221084 -0.00217698  0.00100532],[4.3252916e-05 4.2553002e-05 3.4771416e-02],1,[-0.01517768 -0.00046451  0.2301984 ],[0.12168859 0.12187635 0.09300775],[ 7.0697951e-01 -4.9104076e-04  9.4845844e-04  7.0723331e-01],0,6,1785139125624494,1785139125624494,[-0.02754669 -0.02592137  0.13885094],1,[0.01677971 0.01657654 0.00649624]
1785139125874815542,[0.00300968 0.00128468 0.00046933],[4.3292261e-05 4.2592204e-05 3.4768984e-02],1,[-0.01526942 -0.00058771  0.23075913],[0.12214491 0.12234011 0.09329429],[ 7.0697808e-01 -4.8484054e-04  9.5754134e-04  7.0723474e-01],0,6,1785139125632494,1785139125632494,[-0.02783111 -0.02617411  0.1390118 ],1,[0.01684148 0.01664303 0.00650885]
