bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785138204428380815,[0.00060482 0.00108269 0.00095141],[4.5981018e-05 4.5178927e-05 3.4111235e-02],1,[0.001995   0.00207989 0.17495047],[0.12204155 0.12225205 0.09505143],[ 0.70190424 -0.00194582  0.00077711  0.7122683 ],0,6,1785138204423826,1785138204423826,[-0.0004294  -0.02120513  0.10067274],1,[0.01727341 0.01702917 0.00675316]
1785138204436451008,[ 0.00326799 -0.00078152  0.00015247],[4.6023146e-05 4.5219593e-05 3.4111578e-02],1,[0.00197182 0.00200027 0.17536782],[0.12251455 0.12272582 0.09534933],[ 0.7019075  -0.00193866  0.00078253  0.7122651 ],0,6,1785138204431826,1785138204431826,[-0.00064397 -0.02112997  0.10110242],1,[0.01735084 0.01710422 0.00676648]
1785138204444625830,[ 0.00087114 -0.00131415 -0.00038017],[4.6064979e-05 4.5261768e-05 3.4111921e-02],1,[0.00194787 0.00191842 0.17576613],[0.12299037 0.12320235 0.09491383],[ 0.70191187 -0.0019281   0.00078233  0.7122608 ],0,6,1785138204439826,1785138204439826,[-0.00085228 -0.02123324  0.10133746],1,[0.01742859 0.01717952 0.0067517 ]
1785138204452523555,[-0.00046044  0.00055006 -0.00011385],[4.6107671e-05 4.5299967e-05 3.4112271e-02],1,[0.00192403 0.00183327 0.17617819],[0.123469   0.12368168 0.0952114 ],[ 0.70191777 -0.00192924  0.00078244  0.712255  ],0,6,1785138204447826,1785138204447826,[-0.00094019 -0.02136109  0.10134105],1,[0.01750674 0.01725512 0.00676502]
1785138204468454144,[ 0.0027353  -0.00291213  0.00148347],[4.6199988e-05 4.5385663e-05 3.4109209e-02],1,[0.00187831 0.00165442 0.17704417],[0.12442246 0.12464403 0.09580951],[ 0.70191807 -0.00191729  0.00078886  0.71225476],0,6,1785138204463826,1785138204463826,[-0.00103727 -0.02155186  0.10174936],1,[0.01765035 0.01740127 0.00679168]
1785138204476447251,[-9.9313213e-04  1.7344952e-05  1.5187988e-04],[4.6240588e-05 4.5426517e-05 3.4109566e-02],1,[0.00185727 0.00156162 0.17749694],[0.12490943 0.12513173 0.09611005],[ 0.701922   -0.00191508  0.00078565  0.7122508 ],0,6,1785138204471826,1785138204471826,[-0.00099617 -0.02144537  0.10193306],1,[0.01772914 0.01747757 0.00680503]
1785138204484509198,[-0.0004605   0.00108261  0.00015188],[4.6282399e-05 4.5468623e-05 3.4109917e-02],1,[0.00183709 0.00146874 0.17796327],[0.12539928 0.12562226 0.09641159],[ 0.7019248  -0.00191968  0.00078618  0.712248  ],0,6,1785138204479826,1785138204479826,[-0.00108651 -0.02116515  0.10221911],1,[0.01780813 0.01755402 0.00681838]
1785138204492589530,[-9.9313236e-04  1.7345883e-05 -2.2449633e-03],[4.6332170e-05 4.5510551e-05 3.4110256e-02],1,[0.00181665 0.00137378 0.1784426 ],[0.12589201 0.12611565 0.09671412],[ 0.7019356  -0.00192131  0.00078672  0.7122375 ],0,6,1785138204487826,1785138204487826,[-0.00127321 -0.02148256  0.10236622],1,[0.01788736 0.01763072 0.00683174]
1785138204508470985,[-0.00152577 -0.00051529 -0.00117969],[4.6378409e-05 4.5554792e-05 3.4110598e-02],1,[0.00179575 0.00127382 0.17889947],[0.12638764 0.12661192 0.09626214],[ 0.70194316 -0.00192816  0.00077971  0.7122299 ],0,6,1785138204495826,1785138204495826,[-0.00147275 -0.02182022  0.10266216],1,[0.017967   0.01770792 0.00681612]
1785138204512572638,[-0.00019418  0.00108261 -0.0011797 ],[4.6416470e-05 4.5601304e-05 3.4110930e-02],1,[0.0017747  0.00117028 0.17936961],[0.12688619 0.12711108 0.09656429],[ 0.7019501  -0.00192754  0.00077879  0.7122232 ],0,6,1785138204503826,1785138204503826,[-0.00150325 -0.02188894  0.10277313],1,[0.01804702 0.01778547 0.00682948]
1785138204524600571,[-0.00259102 -0.00211318 -0.00197865],[4.6502799e-05 4.5691839e-05 3.4111615e-02],1,[0.00173476 0.00095603 0.18034713],[0.12789212 0.12811808 0.09717159],[ 0.7019619  -0.0019229   0.00076837  0.7122116 ],0,6,1785138204519826,1785138204519826,[-0.00169735 -0.02210823  0.10308414],1,[0.01820781 0.01794134 0.00685622]
1785138204532474151,[ 0.00060527  0.00081075 -0.00011207],[4.3989010e-05 4.3291820e-05 3.4110997e-02],1,[0.00168408 0.00101308 0.18004727],[0.10638224 0.1065308  0.08736897],[ 0.7019667  -0.00192611  0.00076973  0.7122068 ],0,6,1785138204527826,1785138204527826,[-0.00179254 -0.02236203  0.10295647],1,[0.01457432 0.01438397 0.00633253]
1785138204548389981,[ 0.00113788 -0.00078666  0.00069059],[4.4035492e-05 4.3337510e-05 3.4107629e-02],1,[0.0016339  0.00105992 0.17977743],[0.10675573 0.10690912 0.08763921],[ 0.70197177 -0.00192059  0.00076921  0.7122018 ],0,6,1785138204535826,1785138204535826,[-0.00196147 -0.02251064  0.1026328 ],1,[0.01463179 0.01444481 0.00634548]
1785138204556505009,[0.00060526 0.00161018 0.00015795],[4.4126067e-05 4.3418630e-05 3.4108307e-02],1,[0.00153568 0.00113532 0.17932718],[0.10752065 0.10767655 0.08818248],[ 0.70196223 -0.00191916  0.00079192  0.7122112 ],0,6,1785138204551826,1785138204551826,[-0.00211425 -0.02265888  0.10255499],1,[0.01476705 0.01457602 0.00637142]
1785138204564552389,[-0.0001937  -0.00238456  0.0009569 ],[4.4173717e-05 4.3459600e-05 3.4108646e-02],1,[0.00148771 0.00116342 0.17910074],[0.10790659 0.10806371 0.08782704],[ 0.7019643  -0.00191592  0.00078916  0.7122091 ],0,6,1785138204559826,1785138204559826,[-0.00230039 -0.02277642  0.10251875],1,[0.01483491 0.01464181 0.00636092]
1785138204572546057,[ 0.0014042  -0.00211824  0.00148954],[4.4221044e-05 4.3501761e-05 3.4108993e-02],1,[0.00143958 0.00118654 0.17890468],[0.10829486 0.10845318 0.08809904],[ 0.70196253 -0.00190476  0.00078309  0.71221095],0,6,1785138204567826,1785138204567826,[-0.00243392 -0.02257334  0.10261817],1,[0.01490304 0.014708   0.00637389]
1785138204588427502,[1.1378845e-03 1.2286007e-05 9.5689995e-04],[4.4266355e-05 4.3540767e-05 3.4109343e-02],1,[0.0013918  0.00120614 0.1787387 ],[0.10868548 0.10884497 0.08837197],[ 0.7019629  -0.00189894  0.00078452  0.7122106 ],0,6,1785138204575826,1785138204575826,[-0.00263855 -0.02246922  0.10282102],1,[0.01497154 0.0147744  0.00638686]
1785138204596547099,[ 7.2620693e-05  8.1123365e-04 -6.4099609e-04],[4.4346616e-05 4.3614997e-05 3.4110058e-02],1,[0.00129863 0.00123013 0.17849499],[0.10947379 0.10963558 0.08892062],[ 0.70196736 -0.00189936  0.00078429  0.71220624],0,6,1785138204591826,1785138204591826,[-0.00270361 -0.02247732  0.10293819],1,[0.01510907 0.01490788 0.00641284]
1785138204604499849,[ 7.2619412e-05  8.1123365e-04 -1.0836480e-04],[4.4388911e-05 4.3655920e-05 3.4110416e-02],1,[0.00125266 0.00123548 0.17841294],[0.10987152 0.11003442 0.08919633],[ 0.7019711  -0.00189922  0.00078531  0.71220255],0,6,1785138204599826,1785138204599826,[-0.00286228 -0.02249344  0.10284168],1,[0.01517856 0.01497524 0.00642585]
1785138204612553180,[-0.00179156  0.00134375  0.0004234 ],[4.4432625e-05 4.3695945e-05 3.4107074e-02],1,[0.00120617 0.00123679 0.17835777],[0.11026485 0.11043316 0.08947298],[ 0.70197165 -0.00190811  0.00078478  0.7122019 ],0,6,1785138204607826,1785138204607826,[-0.00310777 -0.02245483  0.10312971],1,[0.01523748 0.01503787 0.00643886]
