bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785137617471870024,[-0.00019566 -0.00061256 -0.00243557],[4.6548317e-05 4.5926237e-05 3.3916295e-02],1,[-0.00133609  0.00679456  0.21226723],[0.1187566  0.11895936 0.09334049],[0.7020506  0.00083568 0.0015069  0.71212506],0,5,1785137617465411,1785137617465411,[-0.0231645  -0.02514637  0.13528629],1,[0.01658713 0.01640635 0.00669973]
1785137617483775232,[ 7.0650363e-05  9.8534161e-04 -5.7135435e-04],[4.6632060e-05 4.6008005e-05 3.3916991e-02],1,[-0.00136795  0.00659889  0.213251  ],[0.1196643  0.11986934 0.09392754],[0.7020567  0.00083147 0.00151152 0.712119  ],0,5,1785137617481411,1785137617481411,[-0.02310904 -0.02564799  0.13610145],1,[0.01673618 0.01655141 0.00672647]
1785137617491790044,[-0.00152725 -0.00034624  0.0002276 ],[4.667379e-05 4.604907e-05 3.391735e-02],1,[-0.00139048  0.00649367  0.21370083],[0.12012219 0.12032834 0.09350974],[0.70205766 0.00082568 0.00150598 0.7121181 ],0,5,1785137617489411,1785137617489411,[-0.02329246 -0.02565407  0.13605912],1,[0.01681125 0.01662438 0.00671245]
1785137617503803209,[-0.00099462  0.00311587  0.00289075],[4.6715635e-05 4.6090354e-05 3.3917699e-02],1,[-0.00141891  0.00638512  0.21416938],[0.12058278 0.12079003 0.09380349],[0.7020529  0.0008161  0.00150876 0.71212286],0,5,1785137617497411,1785137617497411,[-0.02359196 -0.02569319  0.13598335],1,[0.01688641 0.01669745 0.00672582]
1785137617511829653,[-0.00126093  0.00018639  0.00155918],[4.6757454e-05 4.6129629e-05 3.3918064e-02],1,[-0.00145353  0.00627349  0.2146569 ],[0.1210461  0.12125441 0.09409822],[0.7020488  0.00080997 0.00150672 0.7121269 ],0,5,1785137617505411,1785137617505411,[-0.02382626 -0.02564283  0.13617034],1,[0.016962   0.01677095 0.00673919]
1785137617523777302,[ 0.00193486  0.00151797 -0.00190293],[4.6840727e-05 4.6212252e-05 3.3918772e-02],1,[-0.00153628  0.00604201  0.21569079],[0.12198095 0.12219132 0.09469063],[0.70205635 0.0008079  0.00150028 0.71211934],0,5,1785137617521411,1785137617521411,[-0.02383046 -0.02549127  0.13647914],1,[0.01711334 0.0169189  0.00676597]
1785137617531848161,[ 0.00033679  0.00045279 -0.00110338],[4.6881974e-05 4.6251851e-05 3.3916377e-02],1,[-0.00158122  0.00592327  0.21623486],[0.12244131 0.12265953 0.09498831],[0.70205975 0.00080891 0.00150488 0.712116  ],0,5,1785137617529411,1785137617529411,[-0.02388976 -0.02529083  0.13652492],1,[0.01717666 0.01698713 0.00677937]
1785137617543797203,[ 0.0006031  -0.00194405  0.00022821],[4.6923793e-05 4.6291392e-05 3.3916727e-02],1,[-0.00163168  0.00580147  0.2167975 ],[0.12291546 0.12313476 0.09528698],[0.7020602  0.00081189 0.00150089 0.7121155 ],0,5,1785137617537411,1785137617537411,[-0.02425559 -0.02549787  0.13685863],1,[0.0172529  0.01706137 0.00679278]
1785137617551800973,[ 7.0473063e-05 -1.9440525e-03 -2.9675907e-03],[4.6966030e-05 4.6331596e-05 3.3917092e-02],1,[-0.00168828  0.00567619  0.21737802],[0.1233924  0.12361276 0.09558664],[0.7020679  0.00081866 0.00149473 0.71210796],0,5,1785137617545411,1785137617545411,[-0.0245984  -0.02550852  0.1369757 ],1,[0.01732942 0.01713608 0.00680619]
1785137617563831963,[ 7.0469803e-05 -7.9839490e-05 -3.0442775e-04],[4.7050864e-05 4.6411278e-05 3.3917803e-02],1,[-0.00181797  0.00541354  0.2185401 ],[0.1243547  0.12457711 0.09544854],[0.7020737  0.00081597 0.00149565 0.71210223],0,5,1785137617561411,1785137617561411,[-0.02475036 -0.02570361  0.13737689],1,[0.01748353 0.01728594 0.00680458]
1785137617571795165,[ 7.0466427e-05 -2.4766829e-03 -5.7074503e-04],[4.7093490e-05 4.6451634e-05 3.3918165e-02],1,[-0.00188638  0.00527887  0.21914662],[0.12484009 0.12506351 0.09574886],[0.7020775  0.00082204 0.0014904  0.71209854],0,5,1785137617569411,1785137617569411,[-0.02456351 -0.02565766  0.13746472],1,[0.01756111 0.01736159 0.006818  ]
1785137617583790867,[0.00033679 0.00018648 0.00076084],[4.7135985e-05 4.6492089e-05 3.3918511e-02],1,[-0.00195733  0.0051415   0.21976925],[0.12532832 0.12555273 0.09605019],[0.7020748  0.00082134 0.00148817 0.7121012 ],0,5,1785137617577411,1785137617577411,[-0.02453034 -0.02570093  0.1374945 ],1,[0.01763907 0.01743723 0.00683143]
1785137617591822932,[-0.00126111  0.00205069 -0.00163601],[4.7177680e-05 4.6531994e-05 3.3918861e-02],1,[-0.00203067  0.00500165  0.22040693],[0.12581943 0.12604478 0.09635251],[0.7020797  0.00081797 0.00148937 0.71209645],0,5,1785137617585411,1785137617585411,[-0.02439546 -0.02561499  0.1375369 ],1,[0.01771739 0.01751319 0.00684486]
1785137617603817050,[0.00086855 0.00018632 0.00182507],[4.7260652e-05 4.6613615e-05 3.3916816e-02],1,[-0.0021764   0.00471671  0.22172797],[0.12679723 0.12703237 0.09696015],[0.7020806  0.00081245 0.00149003 0.71209556],0,5,1785137617601411,1785137617601411,[-0.02427753 -0.02587574  0.13778594],1,[0.01786092 0.01766028 0.00687176]
1785137617611834126,[-0.00232723 -0.00194421 -0.00057178],[4.7302256e-05 4.6654914e-05 3.3917166e-02],1,[-0.00224972  0.00456856  0.22235426],[0.1272968  0.12753293 0.09650608],[0.7020786  0.00081298 0.00148159 0.7120975 ],0,5,1785137617609411,1785137617609411,[-0.02425005 -0.02609082  0.13774644],1,[0.01793979 0.01773732 0.00685589]
1785137617623813757,[-0.0017946  -0.00221053 -0.00509915],[4.7344558e-05 4.6696139e-05 3.3917520e-02],1,[-0.00232554  0.00441685  0.22299625],[0.12779929 0.1280364  0.09681002],[0.70209056 0.00081164 0.00146982 0.71208566],0,5,1785137617617411,1785137617617411,[-0.0241934  -0.02630058  0.1379687 ],1,[0.01801888 0.01781444 0.00686934]
1785137617631845240,[-0.0007354  -0.00168502 -0.00216662],[4.5008896e-05 4.4406403e-05 3.3914480e-02],1,[-0.00221986  0.00451232  0.22259088],[0.10635212 0.10650051 0.08706956],[0.70210105 0.00081481 0.00146113 0.71207535],0,5,1785137617625411,1785137617625411,[-0.02438637 -0.02646234  0.13792804],1,[0.01444541 0.01429728 0.00634522]
1785137617643833898,[ 5.9618714e-04 -8.7128021e-05  1.8281181e-03],[4.5088353e-05 4.4483120e-05 3.3915188e-02],1,[-0.00203099  0.00467624  0.22190547],[0.10711102 0.10726209 0.08761077],[0.70209575 0.00081697 0.00145605 0.71208066],0,5,1785137617641411,1785137617641411,[-0.02430872 -0.02649471  0.13780949],1,[0.01457839 0.014427   0.00637127]
1785137617651882494,[-0.00046908  0.00097814 -0.00110136],[4.5127494e-05 4.4521432e-05 3.3915546e-02],1,[-0.00194616  0.00474689  0.2216229 ],[0.1074939  0.10764629 0.08788277],[0.7020989  0.00081447 0.00145487 0.7120775 ],0,5,1785137617649411,1785137617649411,[-0.02412286 -0.02639122  0.13770145],1,[0.01464541 0.0144926  0.00638432]
1785137617663785037,[-0.00259961  0.0020434  -0.0034982 ],[4.5167159e-05 4.4559612e-05 3.3915896e-02],1,[-0.00186703  0.00481092  0.22137871],[0.10787909 0.10803278 0.08815569],[0.7021081  0.00080257 0.00145178 0.71206844],0,5,1785137617657411,1785137617657411,[-0.02400777 -0.02624615  0.13758501],1,[0.01471246 0.01455817 0.00639737]
1785137617671773388,[-0.0007354  -0.00221766 -0.0019003 ],[4.5207667e-05 4.4597418e-05 3.3916250e-02],1,[-0.00179321  0.00486757  0.22117256],[0.10826659 0.10842157 0.08842954],[0.70211804 0.00080201 0.00144279 0.71205866],0,5,1785137617665411,1785137617665411,[-0.02371398 -0.02636105  0.1377275 ],1,[0.01477976 0.01462381 0.00641042]
1785137617683755053,[ 0.00059689 -0.0019513   0.00076311],[4.5287288e-05 4.4675242e-05 3.3914238e-02],1,[-0.00166441  0.00495555  0.22078905],[0.10904232 0.10920378 0.08834606],[0.7021226  0.00081605 0.00142347 0.7120542 ],0,5,1785137617681411,1785137617681411,[-0.02297697 -0.02662092  0.13774315],1,[0.0149054  0.01475132 0.00641277]
1785137617691807256,[0.00112952 0.00310871 0.00182837],[4.5327768e-05 4.4714201e-05 3.3914588e-02],1,[-0.00160522  0.00498764  0.22065303],[0.10943673 0.10959949 0.08862074],[0.7021207  0.00081355 0.00143074 0.7120561 ],0,5,1785137617689411,1785137617689411,[-0.02263906 -0.02668722  0.13782059],1,[0.01497333 0.01481784 0.00642583]
1785137617703775956,[ 6.4263935e-05 -1.1523501e-03  1.2957352e-03],[4.536871e-05 4.475328e-05 3.391494e-02],1,[-0.00155051  0.0050131   0.22055192],[0.10983349 0.10999756 0.08889636],[0.7021161  0.00081339 0.00142976 0.71206063],0,5,1785137617697411,1785137617697411,[-0.02262325 -0.02662858  0.1377263 ],1,[0.01504166 0.01488477 0.0064389 ]
1785137617711768084,[ 0.00219479 -0.00434814 -0.00083479],[4.5408735e-05 4.4792287e-05 3.3915289e-02],1,[-0.00150092  0.00503199  0.22048447],[0.11023263 0.11039798 0.08917292],[0.7021202  0.00082908 0.0014229  0.7120566 ],0,5,1785137617705411,1785137617705411,[-0.02240835 -0.0266933   0.13777466],1,[0.01511017 0.01495176 0.00645198]
1785137617723810515,[ 6.426091e-05  9.781797e-04 -1.367427e-03],[4.5489862e-05 4.4870583e-05 3.3915997e-02],1,[-0.0014133   0.00504988  0.22044854],[0.11103809 0.11120596 0.08972885],[0.70212185 0.00083028 0.00142035 0.7120549 ],0,5,1785137617721411,1785137617721411,[-0.02212968 -0.02675639  0.13771126],1,[0.01524809 0.01508573 0.00647817]
1785137617731833613,[-0.00046838  0.00177713  0.00129574],[4.5530203e-05 4.4909513e-05 3.3916362e-02],1,[-0.00137597  0.00504962  0.220455  ],[0.11144444 0.11161354 0.08935756],[0.7021221  0.00082411 0.00142018 0.71205467],0,5,1785137617729411,1785137617729411,[-0.02187344 -0.02673005  0.13766107],1,[0.01531754 0.01515329 0.0064667 ]
1785137617743839293,[-2.0666374e-03 -8.7191351e-05 -1.1018626e-03],[4.5570261e-05 4.4947381e-05 3.3914022e-02],1,[-0.00133937  0.0050445   0.22049281],[0.11184601 0.11202084 0.08963586],[0.7021238  0.00081759 0.00141665 0.712053  ],0,5,1785137617737411,1785137617737411,[-0.02174045 -0.02671324  0.13771999],1,[0.01537676 0.01521623 0.00647979]
1785137617751795242,[-0.00153401 -0.00221772 -0.00163449],[4.5610188e-05 4.4985856e-05 3.3914372e-02],1,[-0.00130701  0.00503429  0.2205613 ],[0.11225709 0.1124332  0.0899151 ],[0.7021306  0.00081904 0.00140454 0.7120464 ],0,5,1785137617745411,1785137617745411,[-0.02158234 -0.02657361  0.1378202 ],1,[0.01544659 0.01528411 0.00649289]
