bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785141341585649297,[ 6.5749744e-05 -2.8611114e-04 -3.8123424e-03],[4.4452361e-05 4.3702068e-05 3.3993822e-02],1,[-0.00295041  0.00368263  0.24016516],[0.12508418 0.12528431 0.09441675],[ 0.70352465 -0.0020896   0.00108361  0.71066695],0,6,1785141341583396,1785141341583396,[-0.02308501 -0.03003927  0.1407114 ],1,[0.0173093  0.01708315 0.00655934]
1785141341593391008,[-0.00286373 -0.001884   -0.00274708],[4.4495533e-05 4.3745724e-05 3.3994135e-02],1,[-0.00304816  0.00350844  0.24083294],[0.1255712  0.12577176 0.09470771],[ 0.7035348  -0.00209269  0.00107451  0.71065694],0,6,1785141341591396,1785141341591396,[-0.02293341 -0.0303767   0.14092828],1,[0.01738497 0.01715699 0.00657198]
1785141341601367452,[ 0.00086469 -0.00028611  0.00044872],[4.4539254e-05 4.3785374e-05 3.3994455e-02],1,[-0.00314682  0.00332884  0.24151742],[0.12606105 0.12626201 0.09499961],[ 0.7035373  -0.00209014  0.00107189  0.71065444],0,6,1785141341599396,1785141341599396,[-0.02286325 -0.0307726   0.14121565],1,[0.0174609  0.01723089 0.00658463]
1785141341617489070,[ 0.00219627 -0.00188401  0.0017803 ],[4.4571727e-05 4.3823817e-05 3.3994779e-02],1,[-0.00324802  0.00314469  0.24221882],[0.12655373 0.12675506 0.09529247],[ 0.7035341  -0.00208232  0.00107386  0.71065766],0,6,1785141341607396,1785141341607396,[-0.02307042 -0.03093725  0.14157183],1,[0.01753702 0.01730512 0.00659728]
1785141341625433544,[ 0.00059785 -0.00215063  0.00310962],[4.4648707e-05 4.3900782e-05 3.3992328e-02],1,[-0.00344445  0.00277192  0.24367058],[0.12753426 0.12774459 0.09588105],[ 0.7035326  -0.00206962  0.00106954  0.7106592 ],0,6,1785141341623396,1785141341623396,[-0.02270908 -0.0312014   0.1420788 ],1,[0.01767708 0.01744797 0.00662261]
1785141341633459492,[ 0.00032882 -0.00348679 -0.00035056],[4.2418247e-05 4.1798347e-05 3.3987146e-02],1,[-0.00345764  0.00275589  0.24333017],[0.10624158 0.10638305 0.08577283],[ 0.703532   -0.00205717  0.00105726  0.7106599 ],0,6,1785141341631396,1785141341631396,[-0.02259455 -0.03143709  0.142125  ],1,[0.01421289 0.01404774 0.00610955]
1785141341641385511,[-0.00047014  0.00024164 -0.00141582],[4.2456966e-05 4.1832929e-05 3.3987477e-02],1,[-0.00347496  0.0027328   0.24303313],[0.10661785 0.10676035 0.08603348],[ 0.70353895 -0.0020574   0.00105508  0.710653  ],0,6,1785141341639396,1785141341639396,[-0.02269738 -0.03134682  0.14233036],1,[0.01427736 0.01411046 0.00612185]
1785141341657659987,[ 0.00219302 -0.00242152 -0.00114951],[4.2536212e-05 4.1904197e-05 3.3988129e-02],1,[-0.00352453  0.00266807  0.24256302],[0.10737712 0.10752162 0.0865574 ],[ 0.7035558  -0.00203785  0.00104822  0.7106363 ],0,6,1785141341655396,1785141341655396,[-0.0230141  -0.03135418  0.1422896 ],1,[0.01440715 0.01423644 0.00614647]
1785141341665663051,[-0.00126909 -0.0037531  -0.00035056],[4.2574786e-05 4.1941581e-05 3.3988461e-02],1,[-0.00355582  0.00262553  0.24238513],[0.10776015 0.10790562 0.08682069],[ 0.7035608  -0.00202819  0.00103484  0.71063143],0,6,1785141341663396,1785141341663396,[-0.02299594 -0.03169146  0.1421783 ],1,[0.01447215 0.0142999  0.00615879]
1785141341673511734,[-0.00047013 -0.00135626 -0.00035056],[4.2612948e-05 4.1982661e-05 3.3988796e-02],1,[-0.00359135  0.00257522  0.24224459],[0.10814547 0.10829188 0.08708487],[ 0.7035635  -0.00202382  0.00102673  0.7106288 ],0,6,1785141341671396,1785141341671396,[-0.02323565 -0.03181216  0.14219032],1,[0.01453737 0.01436343 0.00617112]
