bag_time_ns,armed_time,arming_state,avoidance_system_required,avoidance_system_valid,calibration_enabled,can_set_nav_states_mask,component_id,executor_in_charge,failsafe,failsafe_and_user_took_over,failsafe_defer_state,failure_detector_status,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,hil_state,in_transition_mode,in_transition_to_fw,is_vtol,is_vtol_tailsitter,latest_arming_reason,latest_disarming_reason,nav_state,nav_state_timestamp,nav_state_user_intention,open_drone_id_system_healthy,open_drone_id_system_present,parachute_system_healthy,parachute_system_present,power_input_valid,pre_flight_checks_pass,rc_calibration_in_progress,safety_button_available,safety_off,system_id,system_type,takeoff_time,timestamp,usb_connected,valid_nav_states_mask,vehicle_type
1785142831598550388,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142831680675,False,2147411071,1
1785142832102353514,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142832184770,False,2147411071,1
1785142832644472251,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142832688770,False,2147411071,1
1785142833634497881,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142833192887,False,2147411071,1
1785142834119911277,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142834200985,False,2147411071,1
1785142834623787456,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142834704985,False,2147411071,1
1785142835127849280,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142835209081,False,2147411071,1
1785142835632068638,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142835713081,False,2147411071,1
1785142836136003840,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142836217176,False,2147411071,1
1785142836640092466,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142836721176,False,2147411071,1
1785142837144163708,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142837225272,False,2147411071,1
1785142837648385307,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142837729272,False,2147411071,1
1785142838152263639,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142838233366,False,2147411071,1
1785142838656318614,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142838737366,False,2147411071,1
1785142839160413423,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142839241460,False,2147411071,1
1785142839664410951,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142839745460,False,2147411071,1
1785142840168533747,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142840249553,False,2147411071,1
1785142840672346023,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142840753553,False,2147411071,1
1785142841176368401,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142841257644,False,2147411071,1
1785142841680529322,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142841761644,False,2147411071,1
1785142842184393826,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142842265736,False,2147411071,1
1785142842688335507,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142842769736,False,2147411071,1
1785142843192403184,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142843273826,False,2147411071,1
1785142843696547914,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142843777826,False,2147411071,1
1785142844200835977,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142844281914,False,2147411071,1
1785142844704383199,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142844785914,False,2147411071,1
1785142845208468975,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142845290002,False,2147411071,1
1785142845712464638,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142845794002,False,2147411071,1
1785142846217311532,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142846298091,False,2147411071,1
1785142846721535528,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142846802091,False,2147411071,1
1785142847225433812,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142847306180,False,2147411071,1
1785142847729492922,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142847810180,False,2147411071,1
1785142848233401112,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142848314268,False,2147411071,1
1785142848737362235,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142848818268,False,2147411071,1
1785142849241598164,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142849322355,False,2147411071,1
1785142849745930442,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142849826355,False,2147411071,1
1785142850250431666,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142850330443,False,2147411071,1
1785142850754396491,27276000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,29388000,14,False,False,False,False,True,True,False,True,True,3,2,31260000,1785142850834443,False,2147411071,1
