bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785140427513929358,[-0.00076627  0.0020416   0.00153396],[4.1917407e-05 4.1740142e-05 3.4024302e-02],1,[ 0.00166545 -0.0112469   0.34534228],[0.12666342 0.12686716 0.09334046],[ 7.0275778e-01 -8.5526519e-04  1.5165997e-04  7.1142870e-01],0,6,1785140427511393,1785140427511393,[-0.005373   -0.03326146  0.17561024],1,[0.017132   0.01691059 0.00637887]
1785140427521854756,[ 8.316323e-04 -3.552423e-04 -6.392984e-05],[4.1954198e-05 4.1777272e-05 3.4024600e-02],1,[ 0.00161161 -0.01143625  0.34616658],[0.1271555  0.1273596  0.09292053],[ 7.0275694e-01 -8.5667334e-04  1.5490282e-04  7.1142954e-01],0,6,1785140427519393,1785140427519393,[-0.00527385 -0.0333983   0.17579909],1,[0.01720542 0.01698203 0.00636553]
1785140427529885234,[-0.00236589  0.00016702  0.00153866],[3.9982973e-05 3.9879251e-05 3.4024250e-02],1,[ 0.00165526 -0.01116587  0.34579936],[0.10608302 0.10622203 0.08400067],[ 7.0275420e-01 -8.6030201e-04  1.4835567e-04  7.1143222e-01],0,6,1785140427527393,1785140427527393,[-0.00515161 -0.03340144  0.17582755],1,[0.01388994 0.01372774 0.0059132 ]
1785140427545845869,[-0.00210014  0.00123226  0.00047328],[4.0017916e-05 3.9915518e-05 3.4022249e-02],1,[ 0.00170281 -0.01090958  0.3454832 ],[0.1064507  0.10659441 0.08425249],[ 7.0275253e-01 -8.6532685e-04  1.4533680e-04  7.1143389e-01],0,6,1785140427535393,1785140427535393,[-0.00474351 -0.03335681  0.17574091],1,[0.01394374 0.01378474 0.00592491]
1785140427553824137,[ 3.0382304e-05 -1.4309008e-03  2.0696904e-04],[4.0088173e-05 3.9982602e-05 3.4022860e-02],1,[ 0.00179585 -0.01043814  0.34499708],[0.10720366 0.10734937 0.08475865],[ 7.0276231e-01 -8.6330326e-04  1.2582673e-04  7.1142423e-01],0,6,1785140427551393,1785140427551393,[-0.00441857 -0.03341346  0.17546317],1,[0.01406832 0.01390616 0.00594835]
1785140427561857099,[ 0.00242724 -0.00116459 -0.00032566],[4.0123050e-05 4.0022096e-05 3.4023166e-02],1,[ 0.00184075 -0.0102234   0.3448241 ],[0.10758346 0.10773013 0.08501301],[ 7.0276058e-01 -8.5558376e-04  1.2366835e-04  7.1142596e-01],0,6,1785140427559393,1785140427559393,[-0.00415485 -0.03348025  0.1754824 ],1,[0.01413091 0.01396708 0.00596008]
1785140427569812354,[ 0.0018946   0.00203121 -0.00139093],[4.0158262e-05 4.0059640e-05 3.4023456e-02],1,[ 0.00188509 -0.0100217   0.34469736],[0.10796547 0.1081131  0.0852682 ],[ 7.0276451e-01 -8.5058983e-04  1.3317111e-04  7.1142209e-01],0,6,1785140427567393,1785140427567393,[-0.00407203 -0.03347958  0.17547376],1,[0.0141939  0.01402838 0.00597182]
1785140427585907122,[ 0.00056302 -0.00169722  0.00127224],[4.0228719e-05 4.0118681e-05 3.4024075e-02],1,[ 0.0019655  -0.00965417  0.3445407 ],[0.10873622 0.10888571 0.0851917 ],[ 7.0276850e-01 -8.4277440e-04  1.3034798e-04  7.1141815e-01],0,6,1785140427583393,1785140427583393,[-0.00395169 -0.03332093  0.1756097 ],1,[0.0143203  0.01415135 0.00597465]
1785140427594003744,[ 0.00295987 -0.00196353  0.00020697],[4.0263985e-05 4.0150913e-05 3.4024380e-02],1,[ 0.00200568 -0.00948779  0.34452805],[0.10912499 0.10927537 0.08544768],[ 7.0276403e-01 -8.2795857e-04  1.2789233e-04  7.1142256e-01],0,6,1785140427591393,1785140427591393,[-0.00360135 -0.03330056  0.17562357],1,[0.01438367 0.01421305 0.0059864 ]
1785140427601822201,[ 0.00242723 -0.00116459 -0.00165725],[4.0299630e-05 4.0185911e-05 3.4024686e-02],1,[ 0.00204471 -0.00933293  0.34455785],[0.10951601 0.10966727 0.08570451],[ 7.0276868e-01 -8.1545470e-04  1.3144485e-04  7.1141803e-01],0,6,1785140427599393,1785140427599393,[-0.00356974 -0.03331763  0.17581916],1,[0.01444764 0.0142754  0.00599815]
1785140427609851135,[ 0.00082939  0.00043344 -0.00112359],[4.0335275e-05 4.0224488e-05 3.4022678e-02],1,[ 0.00208168 -0.00919028  0.3446292 ],[0.10990264 0.11005916 0.08596218],[ 7.0277137e-01 -8.1085594e-04  1.3232099e-04  7.1141535e-01],0,6,1785140427607393,1785140427607393,[-0.00353111 -0.03331725  0.17595705],1,[0.01450282 0.01433403 0.0060099 ]
1785140427625950081,[ 0.00082938 -0.00063183  0.00233852],[4.0406881e-05 4.0294850e-05 3.4023274e-02],1,[ 0.00215118 -0.00893657  0.34485427],[0.1106959  0.11085424 0.08587925],[ 7.0277011e-01 -8.1042299e-04  1.4496676e-04  7.1141660e-01],0,6,1785140427623393,1785140427623393,[-0.00326812 -0.03324756  0.17630534],1,[0.01463133 0.01445916 0.00601224]
1785140427633837218,[-0.00103483 -0.00063183  0.00127326],[4.0442948e-05 4.0331943e-05 3.4023572e-02],1,[ 0.00218433 -0.00882543  0.345006  ],[0.111096   0.11125521 0.08613768],[ 7.0276469e-01 -8.0883835e-04  1.4057715e-04  7.1142191e-01],0,6,1785140427631393,1785140427631393,[-0.0032761  -0.03330405  0.17627585],1,[0.01469614 0.01452223 0.00602401]
1785140427641839321,[-0.00263272 -0.00063183 -0.00218885],[4.0478346e-05 4.0365710e-05 3.4023862e-02],1,[ 0.00221571 -0.00872399  0.34519342],[0.11149844 0.11165851 0.08639698],[ 7.0276797e-01 -8.1248739e-04  1.2786398e-04  7.1141869e-01],0,6,1785140427639393,1785140427639393,[-0.00321822 -0.0331967   0.17605358],1,[0.01476095 0.01458542 0.00603578]
1785140427649852957,[-0.00183377 -0.00116446 -0.00591727],[4.0514569e-05 4.0402057e-05 3.4024168e-02],1,[ 0.00224669 -0.00863136  0.3454152 ],[0.11190321 0.11206412 0.08665712],[ 7.02779949e-01 -8.13527091e-04  1.17797106e-04  7.11406827e-01],0,6,1785140427647393,1785140427647393,[-0.00294929 -0.03308143  0.17585416],1,[0.0148261  0.01464879 0.00604755]
1785140427665858176,[-0.00103482 -0.00036551  0.00233852],[4.0586070e-05 4.0469567e-05 3.4024779e-02],1,[ 0.00230915 -0.00847289  0.34596422],[0.11271983 0.11288235 0.08718   ],[ 7.0277810e-01 -8.2439813e-04  1.1535112e-04  7.1140867e-01],0,6,1785140427663393,1785140427663393,[-0.00253922 -0.03302526  0.17627898],1,[0.01495712 0.01477625 0.00607112]
1785140427673822007,[ 0.00056274 -0.00036544  0.00020868],[4.0621464e-05 4.0504121e-05 3.4022793e-02],1,[ 0.00234334 -0.00840792  0.34629148],[0.11312397 0.11329233 0.08744273],[ 7.02776015e-01 -8.20981921e-04  1.12116024e-04  7.11410761e-01],0,6,1785140427671393,1785140427671393,[-0.00226527 -0.03314516  0.1764241 ],1,[0.01501344 0.01483632 0.00608291]
1785140427681891328,[ 1.0953755e-03 -9.9118799e-05 -3.2395811e-04],[4.0657196e-05 4.0542902e-05 3.4023084e-02],1,[ 0.00237763 -0.0083525   0.34665138],[0.11353809 0.11370729 0.08770632],[ 7.0277536e-01 -8.1684394e-04  1.1265141e-04  7.1141142e-01],0,6,1785140427679393,1785140427679393,[-0.00214149 -0.03322801  0.17646146],1,[0.01507936 0.01490059 0.00609471]
1785140427689807669,[ 0.00216064 -0.00116438  0.00154026],[4.0692634e-05 4.0580559e-05 3.4023389e-02],1,[ 0.0024108  -0.00830519  0.34701505],[0.11395462 0.11412463 0.08734912],[ 7.0277202e-01 -8.0894580e-04  1.1321467e-04  7.1141469e-01],0,6,1785140427687393,1785140427687393,[-0.00207095 -0.03300869  0.17657691],1,[0.01514562 0.01496533 0.00608449]
