bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785143219521379506,[ 1.6459292e-03 -8.9447945e-05 -3.7823215e-03],[4.1304855e-05 4.0921463e-05 3.4154128e-02],1,[-0.03027507  0.00107998  0.31302294],[0.11574587 0.11591435 0.08916651],[ 0.6921596  -0.00076567  0.00088517  0.7217436 ],0,6,1785143219481965,1785143219481965,[-0.01966519 -0.02700797  0.16363402],1,[0.01555741 0.01536137 0.00620698]
1785143219533132016,[ 0.00217856  0.00443792 -0.00058653],[4.1341213e-05 4.0957351e-05 3.4154456e-02],1,[-0.03026992  0.00108369  0.31344092],[0.11617631 0.11634546 0.08943695],[ 0.6921659  -0.00076813  0.00089775  0.7217375 ],0,6,1785143219489965,1785143219489965,[-0.01949568 -0.02708358  0.16393891],1,[0.01562591 0.01542785 0.00621902]
1785143219541394786,[0.00031435 0.00150845 0.00021242],[4.1378549e-05 4.0992556e-05 3.4154769e-02],1,[-0.03026721  0.00108076  0.313887  ],[0.11660925 0.11677904 0.08970826],[ 0.6921664  -0.00077313  0.00090545  0.72173697],0,6,1785143219497965,1785143219497965,[-0.01926617 -0.0270569   0.16402008],1,[0.01569473 0.0154947  0.00623107]
1785143219553190468,[-0.00021837  0.00070938 -0.00032114],[4.1452957e-05 4.1066633e-05 3.4153026e-02],1,[-0.03026932  0.00105788  0.31485823],[0.11747339 0.11765034 0.09025356],[ 0.69216657 -0.00077626  0.00089895  0.7217369 ],0,6,1785143219513965,1785143219513965,[-0.01912032 -0.02715329  0.16421558],1,[0.01582229 0.01562425 0.00625519]
1785143219561334814,[-0.00314785 -0.00115483  0.00074412],[4.1487889e-05 4.1099818e-05 3.4153353e-02],1,[-0.03027522  0.00103593  0.315383  ],[0.11791375 0.11809137 0.09052755],[ 0.6921646  -0.00078015  0.00088953  0.7217388 ],0,6,1785143219521965,1785143219521965,[-0.01893102 -0.02739009  0.16429625],1,[0.01589164 0.01569166 0.00626726]
1785143219573154608,[-0.00341417  0.00044307 -0.00058746],[4.1523221e-05 4.1134692e-05 3.4153681e-02],1,[-0.03028352  0.00100733  0.3158859 ],[0.11835667 0.11853493 0.09014031],[ 0.6921676  -0.00079113  0.00087663  0.7217359 ],0,6,1785143219529965,1785143219529965,[-0.01883811 -0.02737001  0.16432534],1,[0.01596114 0.01575917 0.00625555]
1785143219581225978,[ 8.4689131e-04 -1.9537760e-03 -5.4820903e-05],[4.1559619e-05 4.1171435e-05 3.4154005e-02],1,[-0.03029552  0.00097296  0.31641403],[0.11880215 0.11898102 0.09041408],[ 0.6921683  -0.0007876   0.00087275  0.72173524],0,6,1785143219537965,1785143219537965,[-0.01885353 -0.02742381  0.16444646],1,[0.01603102 0.01582704 0.00626762]
1785143219593143742,[ 0.00164584  0.00070938 -0.00058745],[4.1596199e-05 4.1208546e-05 3.4154322e-02],1,[-0.03031117  0.0009326   0.31696782],[0.11925019 0.11942966 0.09068875],[ 0.6921709  -0.00078418  0.00087421  0.72173274],0,6,1785143219545965,1785143219545965,[-0.01882389 -0.02746333  0.16464974],1,[0.01610124 0.0158953  0.00627969]
1785143219601191612,[-0.00021837  0.00017675 -0.0013864 ],[4.1670373e-05 4.1278741e-05 3.4154970e-02],1,[-0.03035079  0.00083135  0.31814846],[0.12015408 0.12033466 0.09124078],[ 0.69217145 -0.00078815  0.00087141  0.72173226],0,6,1785143219561965,1785143219561965,[-0.01851083 -0.02789527  0.16490565],1,[0.01624225 0.01603238 0.00630386]
1785143219613125130,[ 0.00058057 -0.00514957  0.00127676],[4.170796e-05 4.131324e-05 3.415529e-02],1,[-0.0303727   0.00077116  0.3187751 ],[0.12060994 0.12079103 0.09151813],[ 0.69217086 -0.00077391  0.00086045  0.72173274],0,6,1785143219569965,1785143219569965,[-0.01810306 -0.02792979  0.16522528],1,[0.01631314 0.01610122 0.00631595]
