bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785142086940486892,[-2.0696754e-03 -6.1332714e-05 -1.1297206e-03],[4.1687457e-05 4.1252384e-05 3.4019537e-02],1,[-0.0057529  -0.00458449  0.25680885],[0.11166759 0.11182754 0.08752738],[ 7.0306981e-01 -8.9743763e-04  6.6071807e-04  7.1112001e-01],0,6,1785142086928496,1785142086928496,[-0.02298764 -0.03063507  0.14945409],1,[0.01505317 0.01487217 0.00619742]
1785142086948387533,[-0.00153705 -0.00219186 -0.00166235],[4.1725969e-05 4.1291078e-05 3.4019854e-02],1,[-0.00570468 -0.00457298  0.2569056 ],[0.11207543 0.11223625 0.08717538],[ 7.0307577e-01 -8.9594652e-04  6.4850855e-04  7.1111411e-01],0,6,1785142086936496,1785142086936496,[-0.02282687 -0.03048419  0.149561  ],1,[0.01512053 0.0149375  0.00618718]
1785142086960396273,[-0.00020644 -0.00112698 -0.00113262],[4.1763789e-05 4.1327101e-05 3.4017723e-02],1,[-0.00565222 -0.00456476  0.25703445],[0.11247813 0.11264463 0.08744161],[ 7.0308018e-01 -8.9673046e-04  6.4007333e-04  7.1110976e-01],0,6,1785142086944496,1785142086944496,[-0.02251374 -0.03048893  0.14955674],1,[0.01517814 0.01499869 0.00619942]
1785142086968429444,[ 5.9874146e-05  2.0688155e-03 -6.7358320e-05],[4.1801002e-05 4.1366085e-05 3.4018029e-02],1,[-0.00560281 -0.00456236  0.25719398],[0.11289065 0.11305805 0.08770872],[ 7.0308119e-01 -8.9719321e-04  6.4258132e-04  7.1110874e-01],0,6,1785142086952496,1785142086952496,[-0.02220279 -0.03022404  0.14958373],1,[0.01524607 0.01506469 0.00621167]
1785142086980386165,[ 2.9893557e-03 -6.1712228e-05 -2.9968331e-03],[4.1875464e-05 4.1443964e-05 3.4018654e-02],1,[-0.00551741 -0.00457055  0.25760508],[0.11372298 0.11389212 0.08824562],[ 7.0308936e-01 -8.8680512e-04  6.4619491e-04  7.1110076e-01],0,6,1785142086968496,1785142086968496,[-0.02218025 -0.02975393  0.14999083],1,[0.01538223 0.01519728 0.00623618]
1785142086988371877,[ 0.0005925  -0.00112698 -0.00086631],[4.1913248e-05 4.1482435e-05 3.4018982e-02],1,[-0.00548208 -0.00458194  0.25785547],[0.11414282 0.1143128  0.0885154 ],[ 7.0309418e-01 -8.8159554e-04  6.4613897e-04  7.1109599e-01],0,6,1785142086976496,1785142086976496,[-0.02205629 -0.02968258  0.15006939],1,[0.0154507  0.01526383 0.00624845]
1785142087000409682,[ 0.0021904   0.00100355 -0.00033367],[4.1951316e-05 4.1518466e-05 3.4019303e-02],1,[-0.00545097 -0.00459937  0.25813407],[0.11456512 0.11473591 0.08878608],[ 7.0309711e-01 -8.7754178e-04  6.5104355e-04  7.1109307e-01],0,6,1785142086984496,1785142086984496,[-0.02192544 -0.02971457  0.15023191],1,[0.01551937 0.0153307  0.00626073]
1785142087008407266,[ 0.00165777  0.0018025  -0.0024642 ],[4.1989722e-05 4.1555908e-05 3.4019623e-02],1,[-0.00542296 -0.00462253  0.25838974],[0.11498989 0.11516148 0.08842055],[ 7.0310229e-01 -8.7801839e-04  6.5749366e-04  7.1108794e-01],0,6,1785142086992496,1785142086992496,[-0.02167515 -0.02963849  0.15057324],1,[0.01558833 0.01539761 0.00624979]
1785142087020402771,[ 0.0005925  -0.00245856  0.00019896],[4.2066564e-05 4.1635656e-05 3.4020264e-02],1,[-0.00538145 -0.00468604  0.2589914 ],[0.11584692 0.11602003 0.08896251],[ 7.031114e-01 -8.811560e-04  6.570243e-04  7.110789e-01],0,6,1785142087008496,1785142087008496,[-0.02180492 -0.02958607  0.15126221],1,[0.01572688 0.0155319  0.00627434]
1785142087028417888,[-1.2717164e-03 -6.1955303e-05  1.5286527e-03],[4.2103511e-05 4.1672538e-05 3.4018107e-02],1,[-0.00536791 -0.00472368  0.25933653],[0.1162703  0.1164498  0.08923484],[ 7.031059e-01 -8.796678e-04  6.505137e-04  7.110843e-01],0,6,1785142087016496,1785142087016496,[-0.02182061 -0.02956725  0.15169097],1,[0.01578593 0.01559442 0.00628663]
