bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785141508121610493,[-0.00019032  0.00054943  0.0007274 ],[4.3869753e-05 4.2827633e-05 3.4008361e-02],1,[ 0.00929312 -0.00446078  0.18913339],[0.1118544  0.11202171 0.08956806],[ 0.7022376  -0.00139065  0.00158172  0.71193963],0,6,1785141508117731,1785141508117731,[-0.00860613 -0.02705408  0.11009454],1,[0.01543133 0.01522435 0.00641634]
1785141508133454151,[-0.00045664  0.00081574 -0.00033786],[4.3913151e-05 4.2866977e-05 3.4008689e-02],1,[ 0.00923271 -0.00443478  0.18930987],[0.11226586 0.1124341  0.08984532],[ 0.70223856 -0.0013961   0.00158111  0.7119387 ],0,6,1785141508125731,1785141508125731,[-0.00864852 -0.0269477   0.11009943],1,[0.01550163 0.01529239 0.00642922]
1785141508141483465,[-0.00232085 -0.00078215 -0.00246839],[4.3956577e-05 4.2905751e-05 3.4009032e-02],1,[ 0.00917253 -0.00441491  0.18950771],[0.11267978 0.11284892 0.0901235 ],[ 0.7022448  -0.00139776  0.00157375  0.71193254],0,6,1785141508133731,1785141508133731,[-0.00872597 -0.02705017  0.11024415],1,[0.01557188 0.01536076 0.00644212]
1785141508153498206,[-0.00338652  0.00454397  0.00045958],[4.403953e-05 4.298367e-05 3.400629e-02],1,[ 0.00905695 -0.00439274  0.18993434],[0.11350711 0.11368302 0.09002228],[ 0.70224625 -0.00141771  0.00156649  0.71193105],0,6,1785141508149731,1785141508149731,[-0.00891952 -0.02722389  0.11045039],1,[0.01570234 0.01549305 0.00644323]
1785141508161499147,[ 0.00034191  0.00134817 -0.000872  ],[4.4077307e-05 4.3023432e-05 3.4006633e-02],1,[ 0.00899868 -0.00439122  0.19016379],[0.11392834 0.11410518 0.09030122],[ 0.70224833 -0.00142736  0.00156927  0.711929  ],0,6,1785141508157731,1785141508157731,[-0.00890755 -0.02744986  0.1107422 ],1,[0.01577358 0.01556227 0.00645613]
1785141508173548343,[ 0.00114086  0.00134817 -0.00167095],[4.4112683e-05 4.3062417e-05 3.4006976e-02],1,[ 0.00894047 -0.00439702  0.19041516],[0.11435209 0.11452983 0.0905811 ],[ 0.70225227 -0.00142576  0.00157589  0.7119251 ],0,6,1785141508165731,1785141508165731,[-0.00898785 -0.02766612  0.11109602],1,[0.01584481 0.01563152 0.00646903]
1785141508181524276,[ 0.00087454 -0.00104867 -0.00193726],[4.4149510e-05 4.3102158e-05 3.4007311e-02],1,[ 0.00888188 -0.00440984  0.19068755],[0.11477837 0.11495697 0.09086192],[ 0.70225847 -0.00142113  0.00157579  0.711919  ],0,6,1785141508173731,1785141508173731,[-0.00909347 -0.02785295  0.11124344],1,[0.01591645 0.01570115 0.00648194]
1785141508193500835,[-0.00045704 -0.00078236  0.00285642],[4.4232827e-05 4.3181783e-05 3.4007967e-02],1,[ 0.00876074 -0.00445243  0.19129029],[0.11563855 0.11581881 0.09142639],[ 0.70224845 -0.00140696  0.00156937  0.7119289 ],0,6,1785141508189731,1785141508189731,[-0.00954705 -0.02786683  0.11141551],1,[0.0160604  0.01584098 0.00650779]
1785141508201514049,[ 7.5595686e-05 -2.3802542e-03  4.5958516e-04],[4.4275206e-05 4.3220112e-05 3.4008298e-02],1,[ 0.00869789 -0.00448178  0.19161877],[0.11607249 0.11625353 0.09171003],[ 0.7022466  -0.00140424  0.00156299  0.7119307 ],0,6,1785141508197731,1785141508197731,[-0.00969857 -0.027969    0.11150807],1,[0.01613273 0.01591133 0.00652073]
1785141508213603671,[ 7.5598015e-05 -2.3802542e-03  9.9221105e-04],[4.4318553e-05 4.3259621e-05 3.4008622e-02],1,[ 0.00863429 -0.0045174   0.19196545],[0.11650901 0.11669081 0.09199461],[ 0.7022414  -0.00139285  0.00155332  0.7119359 ],0,6,1785141508205731,1785141508205731,[-0.00986277 -0.02822918  0.11173452],1,[0.0162053  0.01598187 0.00653367]
