bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785142630063811936,[-0.00018625  0.00154889  0.00047407],[4.1896728e-05 4.1325246e-05 3.4093395e-02],1,[0.00293495 0.00761638 0.22560473],[0.11011731 0.11027487 0.08818719],[ 0.70292217 -0.00095933  0.0008633   0.7112657 ],0,6,1785142629451945,1785142629451945,[-0.02160814 -0.02311984  0.13552426],1,[0.01490766 0.01472985 0.00625612]
1785142630064401497,[ 0.00300954  0.00048363 -0.00032487],[4.1935051e-05 4.1366715e-05 3.4093723e-02],1,[0.00285412 0.00765089 0.22565018],[0.11051678 0.11067528 0.08782873],[ 0.7029261  -0.00095879  0.0008728   0.7112617 ],0,6,1785142629459945,1785142629459945,[-0.02168474 -0.02321757  0.13565184],1,[0.01497472 0.01479501 0.00624563]
1785142630064837107,[-0.00231678  0.00021731 -0.00032488],[4.1973461e-05 4.1405016e-05 3.4094051e-02],1,[0.00277031 0.00767891 0.22572544],[0.11091862 0.11107804 0.08809776],[ 0.7029316  -0.00095892  0.00086726  0.7112564 ],0,6,1785142629467945,1785142629467945,[-0.02183102 -0.02322903  0.1354946 ],1,[0.01504217 0.01486051 0.0062581 ]
1785142630065198160,[ 0.00087902 -0.00111427 -0.00032488],[4.2052117e-05 4.1486088e-05 3.4094702e-02],1,[0.00259297 0.00771742 0.22595932],[0.11172945 0.11189066 0.08863851],[ 0.70293576 -0.00094459  0.00086878  0.71125215],0,6,1785142629483945,1785142629483945,[-0.02210857 -0.02334698  0.13533151],1,[0.01517784 0.01499195 0.00628305]
1785142630065525817,[-0.0009852  -0.0016469  -0.00165645],[4.2092091e-05 4.1524385e-05 3.4095034e-02],1,[0.00250029 0.00772733 0.22611606],[0.11213847 0.11230054 0.08891023],[ 0.70294476 -0.0009436   0.00085916  0.7112433 ],0,6,1785142629491945,1785142629491945,[-0.02210618 -0.02336987  0.13510953],1,[0.01524608 0.01505843 0.00629554]
1785142630065927970,[ 1.4113847e-03 -3.2448033e-03 -5.8557693e-05],[4.2131251e-05 4.1562613e-05 3.4092721e-02],1,[0.00240779 0.00773248 0.22629866],[0.11254237 0.11271005 0.08918286],[ 0.7029496  -0.00093283  0.00085189  0.71123856],0,6,1785142629499945,1785142629499945,[-0.0221088  -0.02328828  0.13515738],1,[0.01530437 0.01512052 0.00630803]
1785142630309641243,[ 7.9806661e-05 -4.9008988e-05 -5.8565722e-05],[4.2172054e-05 4.1605825e-05 3.4093048e-02],1,[0.00231362 0.00773261 0.22650823],[0.11295611 0.11312469 0.0894564 ],[ 0.70295274 -0.000927    0.00085176  0.71123546],0,6,1785142629507945,1785142629507945,[-0.02204064 -0.02330809  0.13534132],1,[0.01537303 0.0151874  0.00632053]
1785142630310123833,[0.00061243 0.00021731 0.00020776],[4.2249059e-05 4.1678879e-05 3.4093715e-02],1,[0.00211785 0.00771701 0.22696313],[0.11379094 0.11396124 0.0893556 ],[ 0.70296377 -0.00092662  0.00084244  0.7112246 ],0,6,1785142629523945,1785142629523945,[-0.02234374 -0.02322646  0.13571943],1,[0.01551118 0.01532148 0.00632168]
1785142630310673416,[0.00274297 0.00021731 0.00207197],[4.2288371e-05 4.1712741e-05 3.4094047e-02],1,[0.00201566 0.00770217 0.2272093 ],[0.11421205 0.11438318 0.08962989],[ 0.70296067 -0.00091708  0.00085067  0.7112277 ],0,6,1785142629531945,1785142629531945,[-0.02247016 -0.02335181  0.13605776],1,[0.01558045 0.01538874 0.00633419]
1785142630311236773,[-0.00178441 -0.00138059  0.00074038],[4.2367923e-05 4.1784006e-05 3.4094725e-02],1,[0.0018059  0.0076569  0.22778265],[0.11506174 0.11523446 0.09018119],[ 0.70295984 -0.00091752  0.00084605  0.71122855],0,6,1785142629547945,1785142629547945,[-0.02248971 -0.02342678  0.13661337],1,[0.01572003 0.01552433 0.00635923]
