bag_time_ns,armed_time,arming_state,avoidance_system_required,avoidance_system_valid,calibration_enabled,can_set_nav_states_mask,component_id,executor_in_charge,failsafe,failsafe_and_user_took_over,failsafe_defer_state,failure_detector_status,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,hil_state,in_transition_mode,in_transition_to_fw,is_vtol,is_vtol_tailsitter,latest_arming_reason,latest_disarming_reason,nav_state,nav_state_timestamp,nav_state_user_intention,open_drone_id_system_healthy,open_drone_id_system_present,parachute_system_healthy,parachute_system_present,power_input_valid,pre_flight_checks_pass,rc_calibration_in_progress,safety_button_available,safety_off,system_id,system_type,takeoff_time,timestamp,usb_connected,valid_nav_states_mask,vehicle_type
1785142550538641843,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142550532117,False,2147411071,1
1785142551042463364,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142551036108,False,2147411071,1
1785142551546467423,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142551540108,False,2147411071,1
1785142552056171537,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142552044123,False,2147411071,1
1785142552658918648,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142552548123,False,2147411071,1
1785142553060959110,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142553052134,False,2147411071,1
1785142553564775103,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142553556134,False,2147411071,1
1785142554068746288,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142554060132,False,2147411071,1
1785142554572850226,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142554564132,False,2147411071,1
1785142555076915765,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142555068131,False,2147411071,1
1785142555581050456,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142555572131,False,2147411071,1
1785142556085115568,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142556076131,False,2147411071,1
1785142556589291747,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142556580131,False,2147411071,1
1785142557093222796,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142557084131,False,2147411071,1
1785142557597288739,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142557588131,False,2147411071,1
1785142558101390967,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142558092132,False,2147411071,1
1785142558605500450,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142558596132,False,2147411071,1
1785142559109477686,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142559100133,False,2147411071,1
1785142559613555041,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142559604133,False,2147411071,1
1785142560117564230,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142560108134,False,2147411071,1
1785142560621508184,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142560612134,False,2147411071,1
1785142561125471142,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142561116136,False,2147411071,1
1785142561629804705,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142561620136,False,2147411071,1
1785142562134079151,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142562124139,False,2147411071,1
1785142562638011652,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142562628139,False,2147411071,1
1785142563142166041,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142563132142,False,2147411071,1
1785142563646190266,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142563636142,False,2147411071,1
1785142564150239792,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142564140146,False,2147411071,1
1785142564654380543,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142564644146,False,2147411071,1
1785142565158463465,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142565148151,False,2147411071,1
1785142565662511388,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142565652151,False,2147411071,1
1785142566166488283,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142566156156,False,2147411071,1
1785142566670638294,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142566660156,False,2147411071,1
1785142567174559585,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142567164160,False,2147411071,1
1785142567678542961,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142567668160,False,2147411071,1
1785142568182448462,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142568172165,False,2147411071,1
1785142568686552636,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142568676165,False,2147411071,1
1785142569190679797,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142569180170,False,2147411071,1
1785142569694576044,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142569684170,False,2147411071,1
1785142570198467223,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142570188175,False,2147411071,1
1785142570703090627,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142570692175,False,2147411071,1
1785142571207207971,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142571196182,False,2147411071,1
1785142571711302395,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142571700182,False,2147411071,1
1785142572215485762,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142572204190,False,2147411071,1
1785142572719388963,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142572708190,False,2147411071,1
1785142573223495032,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142573212199,False,2147411071,1
1785142573727543056,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142573716199,False,2147411071,1
1785142574231503019,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142574220208,False,2147411071,1
1785142574735580920,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142574724208,False,2147411071,1
1785142575239498941,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142575228217,False,2147411071,1
1785142575743491004,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142575732217,False,2147411071,1
1785142576247549350,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142576236225,False,2147411071,1
1785142576751639624,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142576740225,False,2147411071,1
1785142577255500233,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142577244234,False,2147411071,1
1785142577759519721,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142577748234,False,2147411071,1
1785142578263582066,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142578252242,False,2147411071,1
1785142578767594284,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142578756242,False,2147411071,1
1785142579272210969,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142579260252,False,2147411071,1
1785142579776593173,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142579764252,False,2147411071,1
1785142580280522010,24308000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26420000,14,False,False,False,False,True,True,False,True,True,6,2,28280000,1785142580268264,False,2147411071,1
