bag_time_ns,armed_time,arming_state,avoidance_system_required,avoidance_system_valid,calibration_enabled,can_set_nav_states_mask,component_id,executor_in_charge,failsafe,failsafe_and_user_took_over,failsafe_defer_state,failure_detector_status,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,hil_state,in_transition_mode,in_transition_to_fw,is_vtol,is_vtol_tailsitter,latest_arming_reason,latest_disarming_reason,nav_state,nav_state_timestamp,nav_state_user_intention,open_drone_id_system_healthy,open_drone_id_system_present,parachute_system_healthy,parachute_system_present,power_input_valid,pre_flight_checks_pass,rc_calibration_in_progress,safety_button_available,safety_off,system_id,system_type,takeoff_time,timestamp,usb_connected,valid_nav_states_mask,vehicle_type
1785141420402243000,20680000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22792000,14,False,False,False,False,True,True,False,True,True,1,2,24640000,1785141420401310,False,2147411071,1
1785141420906348996,20680000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22792000,14,False,False,False,False,True,True,False,True,True,1,2,24640000,1785141420905322,False,2147411071,1
1785141421410307935,20680000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22792000,14,False,False,False,False,True,True,False,True,True,1,2,24640000,1785141421409322,False,2147411071,1
1785141421914374266,20680000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22792000,14,False,False,False,False,True,True,False,True,True,1,2,24640000,1785141421913335,False,2147411071,1
1785141422419999231,20680000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22792000,14,False,False,False,False,True,True,False,True,True,1,2,24640000,1785141422417335,False,2147411071,1
1785141422923277113,20680000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22792000,14,False,False,False,False,True,True,False,True,True,1,2,24640000,1785141422921351,False,2147411071,1
1785141423427091258,20680000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22792000,14,False,False,False,False,True,True,False,True,True,1,2,24640000,1785141423425351,False,2147411071,1
1785141423931094650,20680000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22792000,14,False,False,False,False,True,True,False,True,True,1,2,24640000,1785141423929366,False,2147411071,1
1785141424435203031,20680000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22792000,14,False,False,False,False,True,True,False,True,True,1,2,24640000,1785141424433366,False,2147411071,1
1785141424939199841,20680000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22792000,14,False,False,False,False,True,True,False,True,True,1,2,24640000,1785141424937381,False,2147411071,1
1785141425443176071,20680000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22792000,14,False,False,False,False,True,True,False,True,True,1,2,24640000,1785141425441381,False,2147411071,1
1785141425947288680,20680000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22792000,14,False,False,False,False,True,True,False,True,True,1,2,24640000,1785141425945396,False,2147411071,1
1785141426451297933,20680000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22792000,14,False,False,False,False,True,True,False,True,True,1,2,24640000,1785141426449396,False,2147411071,1
1785141426955376518,20680000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22792000,14,False,False,False,False,True,True,False,True,True,1,2,24640000,1785141426953411,False,2147411071,1
1785141427459381963,20680000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22792000,14,False,False,False,False,True,True,False,True,True,1,2,24640000,1785141427457411,False,2147411071,1
1785141427963293903,20680000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22792000,14,False,False,False,False,True,True,False,True,True,1,2,24640000,1785141427961426,False,2147411071,1
