bag_time_ns,armed_time,arming_state,avoidance_system_required,avoidance_system_valid,calibration_enabled,can_set_nav_states_mask,component_id,executor_in_charge,failsafe,failsafe_and_user_took_over,failsafe_defer_state,failure_detector_status,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,hil_state,in_transition_mode,in_transition_to_fw,is_vtol,is_vtol_tailsitter,latest_arming_reason,latest_disarming_reason,nav_state,nav_state_timestamp,nav_state_user_intention,open_drone_id_system_healthy,open_drone_id_system_present,parachute_system_healthy,parachute_system_present,power_input_valid,pre_flight_checks_pass,rc_calibration_in_progress,safety_button_available,safety_off,system_id,system_type,takeoff_time,timestamp,usb_connected,valid_nav_states_mask,vehicle_type
1785141149282373078,20828000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22940000,14,False,False,False,False,True,True,False,True,True,1,2,24800000,1785141149280567,False,2147411071,1
1785141149786363592,20828000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22940000,14,False,False,False,False,True,True,False,True,True,1,2,24800000,1785141149784573,False,2147411071,1
1785141150291194873,20828000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22940000,14,False,False,False,False,True,True,False,True,True,1,2,24800000,1785141150288573,False,2147411071,1
1785141150795364746,20828000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22940000,14,False,False,False,False,True,True,False,True,True,1,2,24800000,1785141150792582,False,2147411071,1
1785141151303109069,20828000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22940000,14,False,False,False,False,True,True,False,True,True,1,2,24800000,1785141151296582,False,2147411071,1
1785141151805626872,20828000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22940000,14,False,False,False,False,True,True,False,True,True,1,2,24800000,1785141151800602,False,2147411071,1
1785141152309392861,20828000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22940000,14,False,False,False,False,True,True,False,True,True,1,2,24800000,1785141152304602,False,2147411071,1
1785141152813233732,20828000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22940000,14,False,False,False,False,True,True,False,True,True,1,2,24800000,1785141152808617,False,2147411071,1
1785141153317191665,20828000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22940000,14,False,False,False,False,True,True,False,True,True,1,2,24800000,1785141153312617,False,2147411071,1
1785141153821224999,20828000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22940000,14,False,False,False,False,True,True,False,True,True,1,2,24800000,1785141153816631,False,2147411071,1
1785141154325289393,20828000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22940000,14,False,False,False,False,True,True,False,True,True,1,2,24800000,1785141154320631,False,2147411071,1
1785141154829308380,20828000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22940000,14,False,False,False,False,True,True,False,True,True,1,2,24800000,1785141154824646,False,2147411071,1
1785141155333295217,20828000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22940000,14,False,False,False,False,True,True,False,True,True,1,2,24800000,1785141155328646,False,2147411071,1
1785141155837342908,20828000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22940000,14,False,False,False,False,True,True,False,True,True,1,2,24800000,1785141155832661,False,2147411071,1
