bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785140809865596782,[-1.8040944e-03  7.1582478e-04 -4.7509920e-06],[4.2881496e-05 4.2211333e-05 3.3938456e-02],1,[-0.00752694  0.0064019   0.20795482],[0.12019853 0.12041026 0.09441382],[0.70199424 0.00082848 0.00150337 0.7121806 ],0,6,1785140809859160,1785140809859160,[-0.02364681 -0.02446702  0.1346668 ],1,[0.01701136 0.01679789 0.00676093]
1785140809873548770,[-0.00073883  0.00151477  0.00132683],[4.2925534e-05 4.2254680e-05 3.3938807e-02],1,[-0.00754144  0.00631141  0.20849034],[0.12066082 0.12087364 0.0947109 ],[0.7019931  0.00082294 0.00150048 0.71218175],0,6,1785140809867160,1785140809867160,[-0.02388634 -0.0244701   0.13462496],1,[0.01708816 0.01687239 0.00677438]
1785140809885541670,[-0.00180409 -0.0014147   0.00212578],[4.3014381e-05 4.2338896e-05 3.3939492e-02],1,[-0.0075893   0.00612096  0.20953466],[0.12159368 0.12180861 0.09458107],[0.7019827  0.00080967 0.00149562 0.71219206],0,6,1785140809883160,1785140809883160,[-0.02431677 -0.02441126  0.13493055],1,[0.01724257 0.01702212 0.00677331]
1785140809893589099,[-0.00047251  0.00044951 -0.00346686],[4.3058379e-05 4.2382308e-05 3.3939835e-02],1,[-0.00762082  0.00602127  0.21008459],[0.12206427 0.12228022 0.09487884],[0.70198923 0.0008076  0.00148956 0.71218556],0,6,1785140809891160,1785140809891160,[-0.02433513 -0.02438318  0.13505527],1,[0.01731988 0.01709747 0.00678676]
1785140809905588862,[ 0.0013917   0.00098214 -0.00053738],[4.3102202e-05 4.2427073e-05 3.3940177e-02],1,[-0.00765577  0.00591978  0.21065168],[0.12253766 0.12275459 0.09517761],[0.70199347 0.00080697 0.00149562 0.7121814 ],0,6,1785140809899160,1785140809899160,[-0.02423502 -0.02412582  0.1351115 ],1,[0.01739745 0.01717303 0.00680022]
1785140809913552924,[-4.7251559e-04 -3.4943921e-04 -4.7493195e-06],[4.3146214e-05 4.2468313e-05 3.3940528e-02],1,[-0.00769515  0.00581657  0.21123557],[0.12301386 0.12323175 0.09547736],[0.70199573 0.00080566 0.0014942  0.7121792 ],0,6,1785140809907160,1785140809907160,[-0.02450571 -0.02416269  0.13536935],1,[0.01747536 0.0172484  0.00681369]
1785140809925554350,[ 5.969149e-05 -8.335663e-05 -1.870505e-03],[4.3235850e-05 4.2551575e-05 3.3938561e-02],1,[-0.00778957  0.005601    0.21245526],[0.12396257 0.1241897  0.09607988],[0.70200604 0.00081559 0.00148524 0.712169  ],0,6,1785140809923160,1785140809923160,[-0.02520081 -0.02441041  0.1357866 ],1,[0.01761824 0.01739441 0.00684065]
1785140809933548758,[ 5.9691025e-05  4.4927606e-04 -6.2911458e-06],[4.3280805e-05 4.2594151e-05 3.3938915e-02],1,[-0.00784398  0.00548767  0.21309015],[0.12444707 0.1246752  0.09638263],[0.70200795 0.00081282 0.001487   0.7121671 ],0,6,1785140809931160,1785140809931160,[-0.02524287 -0.02455009  0.13601151],1,[0.01769706 0.01747075 0.00685415]
1785140809945550405,[ 0.00059233 -0.00141494 -0.00160419],[4.3325945e-05 4.2636548e-05 3.3939265e-02],1,[-0.00790102  0.00537217  0.21373339],[0.12493444 0.12516354 0.09593599],[0.7020113  0.00081538 0.00148509 0.7121638 ],0,6,1785140809939160,1785140809939160,[-0.02499042 -0.02436608  0.1360887 ],1,[0.01777615 0.01754766 0.00683861]
1785140809953577235,[-0.00100558 -0.00061599  0.0015916 ],[4.3370994e-05 4.2679854e-05 3.3939615e-02],1,[-0.0079602   0.00525445  0.2143916 ],[0.1254247  0.12565474 0.09623839],[0.70201045 0.00081799 0.00147871 0.7121647 ],0,6,1785140809947160,1785140809947160,[-0.02492806 -0.02440055  0.13621792],1,[0.01785566 0.01762477 0.0068521 ]
1785140809965557181,[-0.00180452  0.0025798  -0.00080524],[4.3459542e-05 4.2765874e-05 3.3940300e-02],1,[-0.00808688  0.00501125  0.21575023],[0.12641393 0.12664576 0.09684619],[0.70201564 0.00080809 0.00148107 0.7121595 ],0,6,1785140809963160,1785140809963160,[-0.02467823 -0.02424765  0.1362795 ],1,[0.01801581 0.01777986 0.0068791 ]
1785140809973557390,[ 0.00032601 -0.00034967 -0.00027261],[4.3503602e-05 4.2810028e-05 3.3940647e-02],1,[-0.00815383  0.00488633  0.21645045],[0.12691292 0.1271456  0.09715159],[0.70201725 0.00080809 0.00147972 0.712158  ],0,6,1785140809971160,1785140809971160,[-0.02462337 -0.02440231  0.13645662],1,[0.01809624 0.01785807 0.00689261]
1785140809985562143,[-0.00020662 -0.00114862  0.00239055],[4.3547479e-05 4.2852418e-05 3.3941008e-02],1,[-0.00822394  0.00475683  0.21716456],[0.12741487 0.12764837 0.09745801],[0.7020115  0.00080999 0.0014788  0.7121637 ],0,6,1785140809979160,1785140809979160,[-0.02460679 -0.0247311   0.13649815],1,[0.0181768  0.01793627 0.00690614]
1785140809993554177,[-0.00233715 -0.00141494 -0.00293577],[4.3591986e-05 4.2896670e-05 3.3941343e-02],1,[-0.00829696  0.0046232   0.2178913 ],[0.12791978 0.12815407 0.09776544],[0.7020167  0.00080783 0.00146698 0.71215856],0,6,1785140809987160,1785140809987160,[-0.02451728 -0.02482916  0.13659476],1,[0.01825776 0.01801507 0.00691967]
1785140810005568087,[-0.0012815  -0.00115446 -0.00052885],[4.1116804e-05 4.0469564e-05 3.3936176e-02],1,[-0.00784931  0.004801    0.21721064],[0.10676815 0.10692169 0.08748632],[0.7020346  0.00081153 0.00144755 0.712141  ],0,6,1785140810003160,1785140810003160,[-0.02450338 -0.02517021  0.13655525],1,[0.01466609 0.01449532 0.00637538]
1785140810013539863,[0.00084903 0.00017712 0.00319958],[4.1158746e-05 4.0509960e-05 3.3936523e-02],1,[-0.00764047  0.00487665  0.21693042],[0.10714964 0.10730457 0.08775827],[0.70202756 0.00081099 0.0014455  0.71214795],0,6,1785140810011160,1785140810011160,[-0.02444117 -0.02517757  0.1364755 ],1,[0.014734   0.01456131 0.00638846]
1785140810025563000,[5.0091883e-05 1.7712265e-04 3.7839482e-06],[4.1200801e-05 4.0550265e-05 3.3936877e-02],1,[-0.00744083  0.00494508  0.21668878],[0.10753343 0.10768974 0.08803114],[0.70202464 0.00081083 0.00144387 0.7121508 ],0,6,1785140810019160,1785140810019160,[-0.02424229 -0.02511035  0.13641542],1,[0.01480228 0.01462787 0.00640156]
1785140810033539295,[-0.00181412  0.00177502 -0.00186043],[4.1242267e-05 4.0590719e-05 3.3937227e-02],1,[-0.00724912  0.00500693  0.21648437],[0.10791955 0.10807722 0.08830494],[0.70202845 0.00080276 0.00144186 0.712147  ],0,6,1785140810027160,1785140810027160,[-0.02404486 -0.02496624  0.1363416 ],1,[0.01487074 0.0146947  0.00641466]
1785140810045531173,[ 5.0086528e-05 -2.4860376e-03 -1.0614775e-03],[4.1327425e-05 4.0671286e-05 3.3937939e-02],1,[-0.00688755  0.00511042  0.2161846 ],[0.10869882 0.10885915 0.08885536],[0.7020425  0.00079766 0.00142559 0.71213317],0,6,1785140810043160,1785140810043160,[-0.02326844 -0.02506741  0.13643347],1,[0.01500819 0.01482831 0.00644089]
1785140810053543586,[-0.00074886 -0.00301867  0.0002701 ],[4.1369476e-05 4.0712992e-05 3.3938289e-02],1,[-0.00671492  0.00515059  0.21608752],[0.109092   0.10925364 0.08913197],[0.70204324 0.0008044  0.0014136  0.71213245],0,6,1785140810051160,1785140810051160,[-0.02291761 -0.02521744  0.1363598 ],1,[0.0150774  0.01489544 0.00645402]
1785140810065530485,[0.00111535 0.00097607 0.00053642],[4.1411935e-05 4.0753952e-05 3.3938646e-02],1,[-0.00654809  0.0051829   0.21600811],[0.10948755 0.10965048 0.08876745],[0.702041   0.00080694 0.00141178 0.7121348 ],0,6,1785140810059160,1785140810059160,[-0.02250881 -0.02535455  0.13658863],1,[0.01514675 0.01496303 0.0064429 ]
1785140810073574547,[5.0182105e-05 1.5085824e-03 2.9323846e-03],[4.1455271e-05 4.0794272e-05 3.3936437e-02],1,[-0.00638742  0.00520889  0.21596283],[0.10987879 0.11004719 0.08904395],[0.70203364 0.00080041 0.0014167  0.71214193],0,6,1785140810067160,1785140810067160,[-0.02226681 -0.02534477  0.13656823],1,[0.01520582 0.01502618 0.00645602]
1785140810085543873,[ 0.00058281 -0.00275248  0.00133448],[4.1540461e-05 4.0876577e-05 3.3937123e-02],1,[-0.00608661  0.00524225  0.21596785],[0.11068162 0.11085266 0.08959977],[0.70203185 0.00082106 0.00140239 0.7121438 ],0,6,1785140810083160,1785140810083160,[-0.02180161 -0.02539886  0.13658696],1,[0.01534573 0.01516247 0.0064823 ]
1785140810093582675,[ 0.0003165   0.00124227 -0.00026341],[4.1583353e-05 4.0917959e-05 3.3937477e-02],1,[-0.00594477  0.00524943  0.21601695],[0.11108667 0.111259   0.08987909],[0.7020303  0.00081798 0.00140252 0.71214527],0,6,1785140810091160,1785140810091160,[-0.02163559 -0.02546386  0.13656354],1,[0.01541619 0.01523061 0.00649545]
1785140810105525310,[-0.00101508  0.00097595 -0.00052973],[4.1626510e-05 4.0958967e-05 3.3937830e-02],1,[-0.00580942  0.00525057  0.2160956 ],[0.11149417 0.11166776 0.09015935],[0.70203257 0.00081228 0.00140077 0.71214306],0,6,1785140810099160,1785140810099160,[-0.02146987 -0.02546074  0.13649058],1,[0.0154869  0.01529917 0.00650861]
1785140810113558753,[-0.00048245  0.0017749   0.00080185],[4.1669220e-05 4.1000563e-05 3.3938181e-02],1,[-0.00567926  0.00524622  0.21620305],[0.11190412 0.11207896 0.09044056],[0.7020291  0.00080581 0.0014028  0.71214646],0,6,1785140810107160,1785140810107160,[-0.02114983 -0.02543524  0.13656855],1,[0.015558   0.01536806 0.00652178]
1785140810125565098,[-0.00234666 -0.00088826 -0.00159499],[4.1753981e-05 4.1082356e-05 3.3938892e-02],1,[-0.00543545  0.00522246  0.2164428 ],[0.11273143 0.11290871 0.09034278],[0.70203733 0.00080098 0.00138025 0.71213835],0,6,1785140810123160,1785140810123160,[-0.02072532 -0.02532263  0.13671169],1,[0.01570075 0.01550637 0.00652305]
1785140810133644848,[ 1.3817599e-03 -3.5563018e-04  2.9099708e-06],[4.1796888e-05 4.1123982e-05 3.3939235e-02],1,[-0.00532031  0.00520327  0.21660468],[0.11314882 0.11332729 0.09062479],[0.7020384  0.00080398 0.00137751 0.71213734],0,6,1785140810131160,1785140810131160,[-0.02036759 -0.02525047  0.13670042],1,[0.01577264 0.01557606 0.00653622]
1785140810145536507,[-1.0152684e-03  9.7581232e-04  1.9427523e-06],[4.1840416e-05 4.1163054e-05 3.3937022e-02],1,[-0.00520794  0.00518168  0.21679354],[0.11356072 0.11374534 0.09090775],[0.70203793 0.00079755 0.0013781  0.7121378 ],0,6,1785140810139160,1785140810139160,[-0.0201298  -0.02495226  0.1368161 ],1,[0.01583331 0.01564075 0.0065494 ]
1785140810153557005,[ 0.00324579 -0.00168735 -0.00132963],[4.1884239e-05 4.1203883e-05 3.3937376e-02],1,[-0.00510136  0.00515712  0.21700972],[0.11398299 0.11416885 0.09119165],[0.7020395  0.00080732 0.00137769 0.7121363 ],0,6,1785140810147160,1785140810147160,[-0.02013402 -0.02475519  0.13702565],1,[0.01590544 0.01571092 0.00656259]
1785140810165566146,[ 1.1152616e-03 -8.9452136e-05 -1.0633196e-03],[4.1970507e-05 4.1286505e-05 3.3938088e-02],1,[-0.00490511  0.0050972   0.21752128],[0.11483514 0.1150234  0.09176233],[0.70204824 0.0008167  0.00138031 0.7121277 ],0,6,1785140810163160,1785140810163160,[-0.01989006 -0.0246274   0.13725847],1,[0.01605057 0.01585194 0.00658899]
