bag_time_ns,angular_velocity,orientation_variance,pose_frame,position,position_variance,q,quality,reset_counter,timestamp,timestamp_sample,velocity,velocity_frame,velocity_variance
1785143148569442867,[ 8.4877794e-04 -9.4696414e-05 -2.2879847e-05],[4.2253527e-05 4.1579071e-05 3.3899490e-02],1,[-0.00791584  0.00272707  0.22395039],[0.11788513 0.11809137 0.09257889],[0.7026344  0.00076722 0.00137351 0.7115494 ],0,6,1785143148250375,1785143148250375,[-0.02089403 -0.0261028   0.13980174],1,[0.01655946 0.01635181 0.00664266]
1785143148569577736,[-0.0004828  -0.00089365  0.00077607],[4.2341508e-05 4.1664127e-05 3.3900186e-02],1,[-0.00783417  0.00260267  0.22478466],[0.11878385 0.11899239 0.09246342],[0.70262766 0.00076186 0.00137405 0.711556  ],0,6,1785143148266375,1785143148266375,[-0.0210308  -0.02614731  0.13985863],1,[0.01670945 0.01649705 0.00664246]
1785143148569617309,[ 0.00164772 -0.00036101 -0.00082183],[4.2384501e-05 4.1706120e-05 3.3900533e-02],1,[-0.00780202  0.0025341   0.22522537],[0.11923722 0.11944687 0.09275342],[0.7026314  0.00076653 0.0013758  0.71155226],0,6,1785143148274375,1785143148274375,[-0.02104377 -0.02611905  0.1400535 ],1,[0.0167849  0.01657016 0.00665569]
1785143148569656281,[ 0.00138141 -0.00195891  0.00024344],[4.2470354e-05 4.1789430e-05 3.3901218e-02],1,[-0.00775647  0.002385    0.22616684],[0.12015209 0.1203639  0.09333632],[0.7026291  0.00076357 0.00137075 0.7115546 ],0,6,1785143148290375,1785143148290375,[-0.02158429 -0.02618117  0.13998604],1,[0.01693656 0.01671697 0.00668219]
1785143148569693180,[ 0.00031659 -0.00249213 -0.0002933 ],[4.2514275e-05 4.1829135e-05 3.3898931e-02],1,[-0.00774696  0.00230799  0.22666769],[0.12060289 0.12082237 0.09362923],[0.70263207 0.00077249 0.00136481 0.71155167],0,6,1785143148298375,1785143148298375,[-0.02166069 -0.02621592  0.14020562],1,[0.01699985 0.01678509 0.00669545]
1785143148569727493,[-0.00021604 -0.00195949  0.0013046 ],[4.2601787e-05 4.1912466e-05 3.3899609e-02],1,[-0.00774462  0.00214207  0.22772178],[0.12153377 0.12175547 0.09350521],[0.7026296  0.00078285 0.00135685 0.7115541 ],0,6,1785143148314375,1785143148314375,[-0.02196953 -0.0262861   0.14069566],1,[0.01715292 0.01693318 0.00669463]
1785143148569766104,[-0.00074868 -0.00116054  0.00263618],[4.264480e-05 4.195431e-05 3.389995e-02],1,[-0.0077515   0.00205311  0.2282731 ],[0.12200336 0.12222613 0.09379882],[0.70262456 0.00078243 0.00135067 0.71155906],0,6,1785143148322375,1785143148322375,[-0.02192931 -0.02628478  0.14074475],1,[0.01722975 0.01700764 0.0067079 ]
1785143148569802141,[-0.00074868 -0.00169318  0.00077197],[4.2732398e-05 4.2040854e-05 3.3900645e-02],1,[-0.00777577  0.00186411  0.22943155],[0.12295089 0.12317573 0.09438896],[0.70262617 0.00078383 0.00134682 0.71155757],0,6,1785143148338375,1785143148338375,[-0.02183521 -0.02630637  0.1410282 ],1,[0.01738417 0.01715752 0.00673445]
1785143148569846032,[-0.00021604 -0.0003616  -0.00029329],[4.2776177e-05 4.2083593e-05 3.3900987e-02],1,[-0.0077945   0.00176505  0.23003751],[0.12342887 0.12365469 0.09468551],[0.7026271  0.0007823  0.00134423 0.71155655],0,6,1785143148346375,1785143148346375,[-0.02194648 -0.02612515  0.14119083],1,[0.01746202 0.01723296 0.00674774]
1785143148569879945,[-0.00128131 -0.00195949 -0.00082593],[4.2862634e-05 4.2169751e-05 3.3901677e-02],1,[-0.00784494  0.00155978  0.23130004],[0.12439331 0.12462103 0.09528156],[0.7026355  0.00078197 0.00133135 0.7115483 ],0,6,1785143148362375,1785143148362375,[-0.02178764 -0.02601092  0.14132582],1,[0.01761799 0.01738396 0.00677435]
1785143148569917134,[ 5.0379313e-05 -6.2786555e-04 -1.8908639e-03],[4.2905944e-05 4.2210606e-05 3.3899378e-02],1,[-0.00787479  0.00145107  0.23195557],[0.12486727 0.12510362 0.09558105],[0.70264286 0.00078314 0.00132557 0.71154106],0,6,1785143148370375,1785143148370375,[-0.02157853 -0.02621731  0.14142276],1,[0.01768262 0.01745401 0.00678766]
1785143148569949634,[-0.00048225 -0.00062786 -0.00109192],[4.299411e-05 4.229532e-05 3.390008e-02],1,[-0.00794323  0.00122298  0.23326476],[0.12584846 0.12608677 0.09544265],[0.7026487  0.00078664 0.00131909 0.71153533],0,6,1785143148386375,1785143148386375,[-0.02142078 -0.02613448  0.1417185 ],1,[0.01784004 0.01760673 0.00678587]
1785143148569991311,[ 0.00138196 -0.00222576  0.00050598],[4.3038435e-05 4.2338266e-05 3.3900429e-02],1,[-0.00798197  0.00110578  0.23394369],[0.12634338 0.12658264 0.0957428 ],[0.7026487  0.00079498 0.00131992 0.7115353 ],0,6,1785143148394375,1785143148394375,[-0.02136596 -0.02596293  0.14191243],1,[0.01791946 0.01768368 0.00679919]
1785143148570022188,[-0.00021594  0.0004374  -0.00029297],[4.3125583e-05 4.2424108e-05 3.3901118e-02],1,[-0.00806813  0.0008622   0.23535015],[0.12734199 0.12758303 0.09634608],[0.70265067 0.00078287 0.00129708 0.7115334 ],0,6,1785143148410375,1785143148410375,[-0.02119522 -0.02624306  0.14247371],1,[0.01807914 0.01783848 0.00682585]
