bag_time_ns,armed_time,arming_state,avoidance_system_required,avoidance_system_valid,calibration_enabled,can_set_nav_states_mask,component_id,executor_in_charge,failsafe,failsafe_and_user_took_over,failsafe_defer_state,failure_detector_status,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,hil_state,in_transition_mode,in_transition_to_fw,is_vtol,is_vtol_tailsitter,latest_arming_reason,latest_disarming_reason,nav_state,nav_state_timestamp,nav_state_user_intention,open_drone_id_system_healthy,open_drone_id_system_present,parachute_system_healthy,parachute_system_present,power_input_valid,pre_flight_checks_pass,rc_calibration_in_progress,safety_button_available,safety_off,system_id,system_type,takeoff_time,timestamp,usb_connected,valid_nav_states_mask,vehicle_type
1785142686603007523,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142686598488,False,2147411071,1
1785142687107056539,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142687102488,False,2147411071,1
1785142687611095736,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142687606503,False,2147411071,1
1785142688115144934,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142688110503,False,2147411071,1
1785142688619347735,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142688614519,False,2147411071,1
1785142689123276716,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142689118519,False,2147411071,1
1785142689627372662,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142689622535,False,2147411071,1
1785142690131300649,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142690126535,False,2147411071,1
1785142690635366278,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142690630551,False,2147411071,1
1785142691139290178,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142691134551,False,2147411071,1
1785142691643318133,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142691638567,False,2147411071,1
1785142692147354794,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142692142567,False,2147411071,1
1785142692651290371,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142692646586,False,2147411071,1
1785142693155417926,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142693150586,False,2147411071,1
1785142693659340136,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142693654602,False,2147411071,1
1785142694163298250,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142694158602,False,2147411071,1
1785142694667366360,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142694662618,False,2147411071,1
1785142695171330551,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142695166618,False,2147411071,1
1785142695675994389,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142695670635,False,2147411071,1
1785142696180203052,20880000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,22992000,14,False,False,False,False,True,True,False,True,True,1,2,24840000,1785142696174635,False,2147411071,1
