trial_id,method,motion_style,repeat,elapsed_time_s,reference_x,reference_y,reference_z,actual_x,actual_y,actual_z,speed_mps,acceleration_mps2,jerk_mps3,roll_deg,pitch_deg,tracking_error_m
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,0.0,0.17879612256360164,3.1537114394380596,-0.19458428787171528,0.17879612256360164,3.1537114394380596,-0.19458428787171528,0.24937416975863205,0.45645313213235383,16.797580596516212,-1.0169976570955097,1.4240766835427814,0.0
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,0.02,0.17881319855492242,3.1537109885390255,-0.19456905001403457,0.17614196578254693,3.155719236374247,-0.1929798615504271,0.2464544688929276,0.29605952023663057,12.345276733683486,-0.9815008307979014,1.4338070187999437,0.003700549130162545
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,0.04,0.17893136169197618,3.1537078683896085,-0.19446360646866687,0.17207053840414002,3.1585912239366483,-0.19082732481549672,0.24457250820046586,0.3200140694784472,8.11893979581197,-0.9317010750922154,1.4437048382051971,0.009172818642429435
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,0.06,0.17924795975160515,3.1536995084790997,-0.1941810883949581,0.16930107616074594,3.1604192868153183,-0.1895325633876876,0.24288554513229438,0.38579314170916085,4.763684627138484,-0.8989231203088847,1.4462471130943326,0.012872633716580109
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,0.08,0.17985631137516778,3.1536834446878785,-0.19363822237414946,0.16508530586154824,3.1630366302729302,-0.18773752427471763,0.2405934716720871,0.4184063568856574,4.767848685484409,-0.7901434773707582,1.4217854660505411,0.01845217934370996
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,0.1,0.18084576126217555,3.153657317830001,-0.19275528115702267,0.1622586851537552,3.1647044266940108,-0.18674485918520087,0.2367881364374712,0.42560454223924077,8.126269315653937,-0.6131549125793907,1.3769534350724282,0.022441996007326402
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,0.12,0.18230173536392968,3.153618872195785,-0.19145603441154518,0.1580728688844798,3.1670739987356624,-0.18553496738277725,0.2299782676856768,0.48766913925782385,12.042625308053424,-0.05857995230871562,1.3085451099017953,0.028339679529632684
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,0.14,0.18430579607715794,3.1535659540944034,-0.18966769947051557,0.15535074868331428,3.168563167553518,-0.18483216732122185,0.22100711055193314,0.5850951032959939,17.97466240764667,0.5755197121756583,1.3083407605314412,0.03296503529931118
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,0.16,0.1869356974376514,3.153496510396465,-0.18732089207920874,0.15140154706663608,3.171054809184651,-0.1812356660725812,0.20514321306044406,0.9488797956915401,21.45370281375293,1.9339798461057818,1.428802905187797,0.04009987125262219
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,0.18,0.1902654403139012,3.1534085870766084,-0.18434957714302114,0.14890290979992843,3.17284619246527,-0.17733454630304488,0.18465999062867577,1.4478967236139044,23.991642015907132,3.0910963697939473,1.5946839501887662,0.046237323575770255
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,0.2,0.19436532760073524,3.153300327756086,-0.18069101947511615,0.1455798369756229,3.175312351110273,-0.17146376349768025,0.1570456878291121,2.1053435060530328,22.72723452751302,5.130298963772291,1.954095336408736,0.05431109942315043
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,0.22,0.19930201941295508,3.153169972245354,-0.17628573454406932,0.14376015024597413,3.176788352863793,-0.16734281613561292,0.13087441586792212,2.614249990991538,21.46406471900551,6.664385744354474,2.248873243498606,0.06101395679071952
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,0.24,0.20513858827897258,3.153015855086659,-0.1710774392215135,0.14182519899325255,3.178709680457476,-0.1605364052743935,0.11324748381511969,3.0680506422698817,18.37132159471027,9.124702370920634,2.7279706863655817,0.06913661346714564
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,0.26,0.21193457433444673,3.1528364040966266,-0.16501300252978432,0.1411859428485761,3.1797866429375583,-0.15546242487571424,0.12173725927961028,3.2832611986342757,18.479927296183053,10.81771333499408,3.0632188008773293,0.07630791416513238
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,0.28,0.21974604051592045,3.152630138908848,-0.15804239638956535,0.14139544404665227,3.181057333219235,-0.14728846133951906,0.1563113803764242,3.4900043752310457,17.310908421231186,13.360994197164741,3.5477651997639126,0.08403908889624646
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,0.3,0.22862562775445722,3.1523956695164697,-0.15011864636753341,0.14243220087714376,3.181663658068946,-0.14147216030816528,0.20553461159216224,3.6102359489288443,17.64963543796274,15.040799977826701,3.861205959803857,0.09143677439595904
