trial_id,method,motion_style,repeat,samples,gain_multiplier,target_distance_m,duration_s,peak_velocity_mps,peak_acceleration_mps2,peak_jerk_mps3,settling_time_s,tracking_rmse_m,overshoot_m,peak_abs_roll_deg,peak_abs_pitch_deg,final_position_error_m
fixed_gain__aggressive__r01,fixed_gain,aggressive,1,768,1.0,7.803180694580078,3.0,3.6065615738378813,8.766811761810198,117.40964454800745,nan,1.2394726081785763,0.047345414051771506,37.961714760785455,21.382691458228408,0.07148930264756563
fixed_gain__aggressive__r02,fixed_gain,aggressive,2,765,1.0,7.88908052444458,3.0,3.6298774636481075,9.104343419311334,126.5103647929506,nan,1.2400920423436252,0.06368740841691967,37.70551141389392,31.742543352026296,0.14684805603702686
fixed_gain__aggressive__r03,fixed_gain,aggressive,3,767,1.0,7.900604248046875,3.0,3.7988163186847625,9.23675113461563,125.59542644335103,nan,1.2592485826197477,0.0847873169481419,38.37524610542915,33.28376620987242,0.0881776989760742
fixed_gain__aggressive__r04,fixed_gain,aggressive,4,765,1.0,7.643537521362305,3.0,3.417663876575272,9.509740809702159,156.75652479800382,nan,1.0652753457661577,0.10304215385975812,41.12221634450576,19.394832024950247,0.026914838490320055
fixed_gain__aggressive__r05,fixed_gain,aggressive,5,767,1.0,7.855896472930908,3.0,3.731743210782854,9.236107093392251,146.92677799302666,nan,1.2844951429906188,0.07361244245103293,39.01481201142534,43.5743631811957,0.019341496278771686
fixed_gain__normal__r01,fixed_gain,normal,1,765,1.0,7.732990264892578,3.0,3.5297167685598794,10.326153164538008,141.85240318164173,nan,1.1371558819102874,0.10026898819709995,41.00631696055897,13.309770957022236,0.03812838901728334
fixed_gain__normal__r02,fixed_gain,normal,2,765,1.0,7.7899885177612305,3.0,3.624705837421488,9.177924067630181,175.81836598021982,nan,1.2068009502854005,0.097086727760753,40.003892111708566,29.905849228977115,0.05944450997362183
fixed_gain__normal__r03,fixed_gain,normal,3,766,1.0,7.775124549865723,3.0,3.5781911170826333,8.723405344736708,114.19976062752421,nan,1.2245224983538723,0.06002938877939723,37.47583367607924,18.348666103303337,0.04885263334418041
fixed_gain__normal__r04,fixed_gain,normal,4,767,1.0,7.71883487701416,3.0,3.511639158283198,9.882482172845593,194.64993738314377,nan,1.118881963425659,0.10526792907422333,40.155787783853725,23.561890041520375,0.0351983908499288
fixed_gain__normal__r05,fixed_gain,normal,5,765,1.0,7.814456462860107,3.0,3.706715853714665,8.126412003130593,110.07584085889135,nan,1.2346464645197897,0.07197094202294707,38.43103398011808,32.68481231137691,0.027439931154899393
fixed_gain__smooth__r01,fixed_gain,smooth,1,766,1.0,7.838756561279297,3.0,3.6050827208470326,9.503604756341808,170.52673464954407,nan,1.2421469876612954,0.06517319311566183,39.09322997563634,19.241369884413572,0.06394319486796571
fixed_gain__smooth__r02,fixed_gain,smooth,2,765,1.0,7.8642120361328125,3.0,3.7426759032695602,9.20525115516957,116.35509504951295,nan,1.262140602689506,0.07940094699308453,39.07068883325286,37.04955850985926,0.10183674709144509
fixed_gain__smooth__r03,fixed_gain,smooth,3,766,1.0,7.825695037841797,3.0,3.5757529591257455,9.232667907170764,123.92336733947008,nan,1.2224880745610405,0.05395532930567892,38.86692146829394,19.365032126603424,0.045819417057616475
fixed_gain__smooth__r04,fixed_gain,smooth,4,765,1.0,7.877066135406494,3.0,3.808687488551372,9.133557735180705,146.9139009888283,nan,1.2781701980618543,0.06153765114203846,38.932307245883116,41.36229528095527,0.03367744365470357
fixed_gain__smooth__r05,fixed_gain,smooth,5,772,1.0,7.810984134674072,3.0,3.607495482180623,9.154167134112239,122.63463835090592,nan,1.2577553661132976,0.054648174106788794,37.40870811570986,35.496059149676526,0.02018577282061833
task_conditioned__aggressive__r01,task_conditioned,aggressive,1,766,1.3024098873138428,7.8578362464904785,3.0,3.6487592923543875,10.429566812068378,123.45345726967894,nan,1.2016315720906254,0.12704946435762476,50.61551416341703,41.244475772244556,0.05800668636279942
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,766,1.3046541213989258,7.911699295043945,3.0,3.9059577834731045,9.48603299677337,114.28997644156662,nan,1.2884945677466948,0.06849538630048091,43.085490328588335,43.9762167417401,0.09260639214259987
task_conditioned__aggressive__r03,task_conditioned,aggressive,3,764,1.2925230264663696,7.620553016662598,3.0,3.426601371671863,9.789731280933262,125.29046150872777,nan,1.0708073810513095,0.28890795534863845,50.12444494515835,49.278042455829265,0.18929883160477107
task_conditioned__aggressive__r04,task_conditioned,aggressive,4,771,1.300267219543457,7.806412696838379,3.0,3.7610660110133405,9.559017764419101,114.33940735599953,nan,1.1505026038055497,0.07456705728123936,54.190011486464854,41.86136442933769,0.13378329335301933
task_conditioned__aggressive__r05,task_conditioned,aggressive,5,765,1.3088998794555664,8.013598442077637,3.0,3.9392110039985857,10.046310602183924,124.76921046733177,nan,1.3326429532612387,0.05839293529018619,41.26710933743168,45.4850230852427,0.055205987538094886
task_conditioned__normal__r01,task_conditioned,normal,1,763,1.112185001373291,7.823194980621338,3.0,3.5766655777919465,9.56003577875898,115.65029181146149,nan,1.2272006893011687,0.08339138185967876,41.35077097190772,44.040733488664,0.08309369064574056
task_conditioned__normal__r02,task_conditioned,normal,2,763,1.1081407070159912,7.735840320587158,3.0,3.528990694819548,9.960838359002684,189.70575992897727,nan,1.1341530701075153,0.10557351880012078,43.33170221626169,43.52169008977981,0.06239971483845468
task_conditioned__normal__r03,task_conditioned,normal,3,775,1.1116793155670166,7.812273979187012,3.0,3.7744921708229664,9.728309520665697,124.9010848481944,nan,1.1925523445208561,0.0681246348606912,41.78246474304291,48.39092301835589,0.09792928423529496
task_conditioned__normal__r04,task_conditioned,normal,4,764,1.120897650718689,8.01138973236084,3.0,3.9037967577291575,9.321596993315948,120.7820911108628,nan,1.353179156002124,0.07545885636725025,43.81696354263212,39.99434575191449,0.1461831002705419
task_conditioned__normal__r05,task_conditioned,normal,5,764,1.1166446208953857,7.919522762298584,3.0,3.8697330571784474,9.400564150017075,117.58311807910847,nan,1.251061436196013,0.06866053014634765,41.52301489956124,48.20983336071536,0.11981192138237728
task_conditioned__smooth__r01,task_conditioned,smooth,1,769,1.0441105365753174,7.70576810836792,3.0,3.504941692700384,10.211917462127797,129.45744737659047,nan,1.122950117381717,0.07868252227670602,41.32978001341298,36.88154558817915,0.061401761571555184
task_conditioned__smooth__r02,task_conditioned,smooth,2,767,1.0464208126068115,7.742733955383301,3.0,3.547887502428658,11.57071560727304,188.22021760956304,nan,1.1500166379507706,0.09504065561900887,40.892635738500694,36.712540622372785,0.10789791554083134
task_conditioned__smooth__r03,task_conditioned,smooth,3,766,1.0464797019958496,7.7436747550964355,3.0,3.524546104485004,10.862680612539519,138.973623039209,nan,1.15290920219775,0.09086876876097616,40.17390764033967,36.63674365225369,0.14667403443708155
task_conditioned__smooth__r04,task_conditioned,smooth,4,766,1.044946312904358,7.71914005279541,3.0,3.51515573843026,11.676100734928442,128.34582039703164,nan,1.1303626793624626,0.1013666020836439,41.68807690343044,37.33426879715935,0.09680272940868538
task_conditioned__smooth__r05,task_conditioned,smooth,5,766,1.0590713024139404,7.945141792297363,3.0,3.7540217027456957,9.437061787684977,121.77687294173325,nan,1.3222617967771921,0.09992919405439249,43.50370780627012,38.91937451879041,0.05042599548432224
