bag_time_ns,average_speed,duration,gain_multiplier,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,omega_c_x,omega_c_y,omega_c_z,omega_o_x,omega_o_y,omega_o_z,peak_acceleration,peak_velocity,settling_time,target_distance,tracking_rmse,uav_id
1785206862146757775,2.5776634216308594,3.0,1.0,world,146702308,1785206862,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,1.3512253761291504,0.19097693264484406,nan,7.732990264892578,0.0032014630269259214,1
1785206862246744880,2.5776634216308594,3.0,1.0,world,246689233,1785206862,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,3.3553950786590576,0.19097693264484406,nan,7.732990264892578,0.00825725868344307,1
1785206862346757133,2.5776634216308594,3.0,1.0,world,346706566,1785206862,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,3.8489279747009277,0.34275487065315247,nan,7.732990264892578,0.018983256071805954,1
1785206862446754378,2.5776634216308594,3.0,1.0,world,446715222,1785206862,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,3.8489279747009277,0.39012688398361206,nan,7.732990264892578,0.03575940430164337,1
1785206862546741713,2.5776634216308594,3.0,1.0,world,546712968,1785206862,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,6.8806562423706055,0.7985644340515137,nan,7.732990264892578,0.055554669350385666,1
1785206862646771490,2.5776634216308594,3.0,1.0,world,646716264,1785206862,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,1.4697456359863281,nan,7.732990264892578,0.0793701708316803,1
1785206862746741933,2.5776634216308594,3.0,1.0,world,746709921,1785206862,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,1.9706124067306519,nan,7.732990264892578,0.10550220310688019,1
1785206862846758274,2.5776634216308594,3.0,1.0,world,846711625,1785206862,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,2.031498670578003,nan,7.732990264892578,0.13529321551322937,1
1785206862946753445,2.5776634216308594,3.0,1.0,world,946717325,1785206862,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,2.238642930984497,nan,7.732990264892578,0.17271988093852997,1
1785206863046774510,2.5776634216308594,3.0,1.0,world,46739212,1785206863,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,2.486030340194702,nan,7.732990264892578,0.22002191841602325,1
1785206863146760612,2.5776634216308594,3.0,1.0,world,146726036,1785206863,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,2.652432441711426,nan,7.732990264892578,0.27503451704978943,1
1785206863246775209,2.5776634216308594,3.0,1.0,world,246743899,1785206863,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,2.7475104331970215,nan,7.732990264892578,0.3387542963027954,1
1785206863346779426,2.5776634216308594,3.0,1.0,world,346755029,1785206863,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,2.829205274581909,nan,7.732990264892578,0.41020798683166504,1
1785206863446794795,2.5776634216308594,3.0,1.0,world,446760729,1785206863,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,2.9079456329345703,nan,7.732990264892578,0.4892854392528534,1
1785206863546803220,2.5776634216308594,3.0,1.0,world,546764515,1785206863,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,2.996832847595215,nan,7.732990264892578,0.5728825926780701,1
1785206863646828878,2.5776634216308594,3.0,1.0,world,646789913,1785206863,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,3.079688310623169,nan,7.732990264892578,0.6597750186920166,1
1785206863746797166,2.5776634216308594,3.0,1.0,world,746758682,1785206863,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,3.1686995029449463,nan,7.732990264892578,0.7476474046707153,1
1785206863846851860,2.5776634216308594,3.0,1.0,world,846802835,1785206863,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,3.2659645080566406,nan,7.732990264892578,0.8331615924835205,1
