bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785206862053564933,3.0,world,53354518,1785206862,1601740273,normal,1.0,6.0,3.0,5.0,1
1785206862166862150,3.0,world,53354518,1785206862,1601740273,normal,1.0,6.0,3.0,5.0,1
1785206862286872924,3.0,world,53354518,1785206862,1601740273,normal,1.0,6.0,3.0,5.0,1
1785206862406907905,3.0,world,53354518,1785206862,1601740273,normal,1.0,6.0,3.0,5.0,1
1785206862526914642,3.0,world,53354518,1785206862,1601740273,normal,1.0,6.0,3.0,5.0,1
1785206862646910969,3.0,world,53354518,1785206862,1601740273,normal,1.0,6.0,3.0,5.0,1
1785206862746986214,3.0,world,53354518,1785206862,1601740273,normal,1.0,6.0,3.0,5.0,1
1785206862847062110,3.0,world,53354518,1785206862,1601740273,normal,1.0,6.0,3.0,5.0,1
1785206862966922925,3.0,world,53354518,1785206862,1601740273,normal,1.0,6.0,3.0,5.0,1
1785206863086944702,3.0,world,53354518,1785206862,1601740273,normal,1.0,6.0,3.0,5.0,1
