bag_time_ns,angular_velocity_0,angular_velocity_1,angular_velocity_2,orientation_variance_0,orientation_variance_1,orientation_variance_2,pose_frame,position_0,position_1,position_2,position_variance_0,position_variance_1,position_variance_2,q_0,q_1,q_2,q_3,quality,reset_counter,timestamp,timestamp_sample,velocity_0,velocity_1,velocity_2,velocity_frame,velocity_variance_0,velocity_variance_1,velocity_variance_2
1785206667215148471,0.001160766,0.0010564052,0.00046948035,4.3916494e-05,4.30655e-05,0.03407446,1,-0.0036306903,0.008005663,0.15769412,0.107162125,0.10731749,0.08740902,0.70276093,-0.0011512623,0.0009907073,0.7114245,0,6,1785206667207580,1785206667207580,-0.0048652915,-0.014811407,0.09409931,1,0.014773955,0.014587767,0.006387051
1785206667223087366,-0.00070344843,-0.0002751737,0.00046948547,4.3961405e-05,4.3105458e-05,0.034074795,1,-0.0034473015,0.008079511,0.1575157,0.10754628,0.10770294,0.08706357,0.7027602,-0.0011564961,0.0009882186,0.71142524,0,6,1785206667215580,1785206667215580,-0.0050167767,-0.015000261,0.09410136,1,0.014842246,0.014653993,0.006376817
1785206667235070796,-0.0007034476,0.0018553545,-0.0013947277,4.4042452e-05,4.318634e-05,0.034075458,1,-0.0030936575,0.008213096,0.15723935,0.10832159,0.10848079,0.087606885,0.70276594,-0.001166221,0.00097275863,0.7114195,0,6,1785206667231580,1785206667231580,-0.0046725003,-0.014716159,0.0943162,1,0.014979809,0.014787518,0.0064030117
1785206667243107051,0.0030249753,-0.0010741227,0.00020316883,4.408485e-05,4.3227297e-05,0.034075785,1,-0.0029214735,0.008273878,0.15714079,0.10871278,0.10887322,0.08787994,0.7027671,-0.001159889,0.0009775611,0.7114184,0,6,1785206667239580,1785206667239580,-0.0044639814,-0.014760581,0.094405614,1,0.015049009,0.014854681,0.0064161215
1785206667255193060,0.0011607651,-8.857343e-06,-6.315084e-05,4.413119e-05,4.3267817e-05,0.034076113,1,-0.002753183,0.008329508,0.15706745,0.10910634,0.109267995,0.08815393,0.702767,-0.0011535514,0.000978619,0.71141845,0,6,1785206667247590,1785206667247590,-0.004442214,-0.014737731,0.094462976,1,0.015118234,0.014921854,0.0064292396
1785206667263105614,-0.0009697662,-0.001606754,0.0015347467,4.417412e-05,4.3310745e-05,0.03407645,1,-0.0025884025,0.008381362,0.15701771,0.10950228,0.10966513,0.08842885,0.7027647,-0.0011543592,0.00097551296,0.71142083,0,6,1785206667255590,1785206667255590,-0.0043178992,-0.014702557,0.09437822,1,0.015187987,0.014989548,0.0064423657
1785206667275102620,-0.0020363913,-0.00027633784,0.00019470748,4.4259083e-05,4.3390934e-05,0.034073707,1,-0.002254726,0.008482577,0.15698808,0.110294566,0.11046403,0.0889815,0.7027573,-0.00116117,0.0009497385,0.7114281,0,6,1785206667271590,1785206667271590,-0.0043762117,-0.015055892,0.09475011,1,0.015317456,0.015120708,0.006468644
1785206667283157472,-0.0028353417,0.0007889285,-7.1612085e-05,4.430177e-05,4.343114e-05,0.034074035,1,-0.002092028,0.00852495,0.1569877,0.1106976,0.110868275,0.08861927,0.7027591,-0.0011702948,0.0009436096,0.7114263,0,6,1785206667279590,1785206667279590,-0.0040039695,-0.015124117,0.0948806,1,0.015387853,0.015188918,0.0064574988
1785206667295120852,0.0016920337,0.0018541929,-0.0014031878,4.434521e-05,4.3471187e-05,0.034074362,1,-0.0019326112,0.008562223,0.15700972,0.11110306,0.111274935,0.088895954,0.70276314,-0.0011757399,0.0009488134,0.7114223,0,6,1785206667287590,1785206667287590,-0.0040629418,-0.015340541,0.094940476,1,0.015458555,0.015257485,0.0064706393
1785206667303165444,0.004621508,0.00025629578,-0.0008705566,4.438767e-05,4.3513493e-05,0.03407469,1,-0.0017761763,0.008593664,0.1570536,0.11151097,0.111684024,0.089173585,0.7027687,-0.0011665467,0.0009597673,0.71141684,0,6,1785206667295590,1785206667295590,-0.0038165487,-0.015441542,0.09497697,1,0.015529594,0.015326319,0.006483787
1785206667315185565,0.0006267693,0.0010552444,-0.0006042414,4.44709e-05,4.359375e-05,0.034075353,1,-0.0014726974,0.008646335,0.1572012,0.1123342,0.11250953,0.08973167,0.70277023,-0.0011672878,0.0009646616,0.7114153,0,6,1785206667311590,1785206667311590,-0.0038548254,-0.015343061,0.09492612,1,0.015672183,0.015464584,0.00651011
1785206667323183966,0.0019583525,0.0021205086,-0.0043326668,4.4514607e-05,4.363704e-05,0.034075677,1,-0.0013269533,0.008666224,0.15730594,0.11274953,0.11292596,0.09001214,0.70278144,-0.0011682806,0.0009714357,0.7114042,0,6,1785206667319590,1785206667319590,-0.003953182,-0.015423071,0.09517936,1,0.015743611,0.015533917,0.0065232855
1785206667335184819,0.0011593966,0.0010552444,0.0012599693,4.4557586e-05,4.367959e-05,0.03407602,1,-0.001185408,0.008681866,0.15743068,0.11316737,0.11334488,0.09029355,0.7027839,-0.0011704129,0.0009801101,0.71140176,0,6,1785206667327590,1785206667327590,-0.0039833444,-0.015468529,0.09517411,1,0.01581574,0.015603833,0.006536469
1785206667343157260,0.0006266324,-0.0013417173,0.0015254288,4.4601347e-05,4.3721182e-05,0.034072902,1,-0.0010461592,0.008694848,0.15754601,0.11357975,0.1137633,0.08991698,0.7027791,-0.0011657056,0.0009790545,0.71140647,0,6,1785206667335590,1785206667335590,-0.0039207893,-0.015403511,0.09527325,1,0.015876468,0.015668636,0.0065245503
1785206667355161039,0.0019582128,-1.0135584e-05,-0.0016703648,4.4684366e-05,4.3804976e-05,0.034073565,1,-0.0007773537,0.008709592,0.15783519,0.11442773,0.11461351,0.090480454,0.7027884,-0.0011548441,0.0009784526,0.7113974,0,6,1785206667351590,1785206667351590,-0.0038566838,-0.0156093165,0.09547731,1,0.016021302,0.01580916,0.006550917
1785206667363187275,-0.0009712699,0.0021203936,0.00072648085,4.4726905e-05,4.3844448e-05,0.034073893,1,-0.0006467111,0.008709869,0.15800762,0.11485554,0.1150424,0.09076362,0.70279056,-0.0011622162,0.0009796344,0.71139526,0,6,1785206667359590,1785206667359590,-0.0038027081,-0.015842741,0.09551016,1,0.016094372,0.015879976,0.0065641114
1785206667375199591,0.0014255813,0.0013214434,-0.0030019428,4.4770633e-05,4.388698e-05,0.03407423,1,-0.0005190385,0.0087051755,0.15819685,0.115285926,0.11547384,0.09104774,0.70279574,-0.0011650926,0.0009861566,0.71139014,0,6,1785206667367590,1785206667367590,-0.003810133,-0.015927423,0.09540819,1,0.016167706,0.01595111,0.0065773143
1785206667383216078,0.0008929388,-0.0032059299,-0.005931421,4.481154e-05,4.393029e-05,0.03407457,1,-0.00039481057,0.008696928,0.15840305,0.115718886,0.115907826,0.09133282,0.7028153,-0.0011569875,0.0009818448,0.7113708,0,6,1785206667375590,1785206667375590,-0.0038823714,-0.016018327,0.09557396,1,0.016241133,0.016022306,0.006590528
1785206667395184929,0.0006266289,0.0042509213,-0.0006050985,4.4898756e-05,4.4013275e-05,0.034075238,1,-0.00015617891,0.008667008,0.158871,0.116592616,0.11678352,0.09190586,0.7028278,-0.0011637614,0.0009879462,0.7113584,0,6,1785206667391590,1785206667391590,-0.0039405706,-0.016313445,0.096181884,1,0.016388742,0.016165365,0.00661698
1785206667403221013,-0.0023028487,0.00052249664,0.001525428,4.4940884e-05,4.4053493e-05,0.03407558,1,-4.1236417e-05,0.008646431,0.15911633,0.1170334,0.11722526,0.091511235,0.7028265,-0.0011714299,0.0009882235,0.7113597,0,6,1785206667399590,1785206667399590,-0.0038619766,-0.016262095,0.09625618,1,0.016463041,0.016237417,0.0066041076
1785206667415248419,-0.001504958,-0.004803147,0.00019885741,4.4982757e-05,4.409628e-05,0.034072496,1,7.8658544e-05,0.008619132,0.15937778,0.11746737,0.117666036,0.09179803,0.7028267,-0.0011680521,0.0009701528,0.7113595,0,6,1785206667407590,1785206667407590,-0.0039802724,-0.016224105,0.09626737,1,0.01652547,0.016304338,0.006617333
1785206667423232442,-0.0025702277,-0.001074722,0.002063059,4.502325e-05,4.4140324e-05,0.03407283,1,0.00019456,0.0085888365,0.15965444,0.117913276,0.11811294,0.092085786,0.702822,-0.0011688285,0.00095624453,0.71136415,0,6,1785206667415590,1785206667415590,-0.0041275565,-0.016224168,0.09628732,1,0.016600326,0.01637694,0.006630565
1785206667435233576,-0.0009723267,0.0002568583,-0.0016653631,4.5109282e-05,4.422884e-05,0.034073487,1,0.00041516134,0.00852337,0.16025388,0.118813075,0.11901465,0.09266419,0.70282555,-0.0011784065,0.0009529639,0.7113607,0,6,1785206667431590,1785206667431590,-0.004124291,-0.015799336,0.09662447,1,0.016750526,0.01652234,0.006657058
1785206667443205766,-0.002836539,0.0045179166,-0.0029969458,4.515496e-05,4.4270422e-05,0.034073807,1,0.00052218226,0.008487777,0.16057788,0.11926701,0.11946949,0.092954844,0.7028336,-0.0011969494,0.0009552461,0.71135265,0,6,1785206667439590,1785206667439590,-0.004105729,-0.015889788,0.096885525,1,0.016826242,0.016595703,0.0066703157
1785206667455227601,0.00062556745,0.0021210704,-0.0013990442,4.519878e-05,4.4308625e-05,0.034074143,1,0.0006257242,0.008449521,0.16091721,0.11972364,0.11992701,0.093246475,0.70283866,-0.001206834,0.0009617691,0.7113477,0,6,1785206667447590,1785206667447590,-0.004280541,-0.015905185,0.09703958,1,0.016902208,0.016669214,0.006683584
1785206667463219199,-0.0007060139,0.002121073,0.0004651635,4.5242738e-05,4.434943e-05,0.034074478,1,0.0007253769,0.008407274,0.16122706,0.12018299,0.12038723,0.09283651,0.7028391,-0.0012125405,0.0009664817,0.7113472,0,6,1785206667455590,1785206667455590,-0.004348903,-0.016175361,0.097304024,1,0.01697848,0.016743254,0.0066699046
1785206667475226715,-0.00017338037,0.0039852858,-6.7466375e-05,4.533219e-05,4.4431945e-05,0.034075137,1,0.0009177838,0.008311609,0.16189706,0.12110991,0.121315785,0.09342024,0.7028406,-0.0012386276,0.0009823418,0.71134573,0,6,1785206667471590,1785206667471590,-0.004380228,-0.016236356,0.09793736,1,0.01713156,0.01689166,0.006696436
1785206667483250717,0.0006255065,0.0010555154,0.0009957174,4.5377845e-05,4.4472574e-05,0.03407207,1,0.0010100442,0.008261998,0.16225581,0.121566385,0.12177992,0.09371357,0.70283896,-0.0012431676,0.0009905742,0.7113473,0,6,1785206667479590,1785206667479590,-0.004329609,-0.016359758,0.09818273,1,0.017195508,0.016960548,0.0067097154
1785206667495244957,0.0032886697,-0.0008086967,0.00019677285,4.5420096e-05,4.4513836e-05,0.0340724,1,0.0010996346,0.008209688,0.16263035,0.12203656,0.12225096,0.09400787,0.7028378,-0.001236745,0.0009955216,0.7113484,0,6,1785206667487590,1785206667487590,-0.0044899583,-0.016280767,0.098602965,1,0.01727265,0.01703537,0.006723004
1785206667503228580,0.0008918252,-0.0013413285,-0.00033586723,4.546215e-05,4.45559e-05,0.034072734,1,0.0011852789,0.0081550265,0.16302046,0.12250953,0.12272476,0.09430315,0.70283777,-0.0012268815,0.0009948768,0.7113485,0,6,1785206667495590,1785206667495590,-0.0046510124,-0.016389417,0.098835364,1,0.017350094,0.017110508,0.0067363
