bag_time_ns,angular_velocity_0,angular_velocity_1,angular_velocity_2,orientation_variance_0,orientation_variance_1,orientation_variance_2,pose_frame,position_0,position_1,position_2,position_variance_0,position_variance_1,position_variance_2,q_0,q_1,q_2,q_3,quality,reset_counter,timestamp,timestamp_sample,velocity_0,velocity_1,velocity_2,velocity_frame,velocity_variance_0,velocity_variance_1,velocity_variance_2
1785207361890731452,0.0006114112,0.002650959,-0.003501988,4.491898e-05,4.4086915e-05,0.03410801,1,0.00792753,-0.00015359203,0.1825118,0.119209856,0.11941253,0.09215013,0.7025562,-0.0011820799,0.0010061126,0.71162665,0,6,1785207361888334,1785207361888334,-0.0126580205,-0.023150444,0.11076093,1,0.016655657,0.01643,0.006557544
1785207361902642301,-0.0009864939,0.00078674685,0.0015580191,4.4960103e-05,4.412693e-05,0.034108352,1,0.007837891,-0.00018582305,0.18296373,0.11966493,0.11986839,0.09243698,0.7025561,-0.0011887851,0.0010098645,0.71162677,0,6,1785207361896334,1785207361896334,-0.01270858,-0.022872772,0.11116258,1,0.016730279,0.01650274,0.0065704966
1785207361910643930,0.0030082515,0.0031835912,-0.00057250774,4.5003486e-05,4.416877e-05,0.0341087,1,0.0077470336,-0.00021968513,0.18343213,0.12012269,0.120326914,0.09272478,0.7025567,-0.0011910447,0.0010219609,0.7116261,0,6,1785207361904341,1785207361904341,-0.012975579,-0.022563174,0.11146663,1,0.016805172,0.016575439,0.0065834583
1785207361922616986,-0.0004538584,-0.0016100998,0.00022643356,4.5086024e-05,4.4253844e-05,0.0341094,1,0.007561742,-0.00029511796,0.18441364,0.12104634,0.121252015,0.09330325,0.70255756,-0.0011732379,0.0010211548,0.7116253,0,6,1785207361920341,1785207361920341,-0.013122961,-0.022189112,0.11185475,1,0.016955867,0.016721515,0.006609404
1785207361930603275,-0.0020517544,-0.001343783,-0.0011051407,4.513236e-05,4.4298104e-05,0.03410973,1,0.007469127,-0.00033642643,0.18492687,0.121512264,0.121718615,0.09359392,0.70256,-0.0011773114,0.0010133662,0.71162283,0,6,1785207361928341,1785207361928341,-0.013096694,-0.022095272,0.11222583,1,0.017031517,0.016794957,0.006622389
1785207361942603614,-0.00018754404,-0.0013437821,-0.00083882594,4.5177545e-05,4.4340246e-05,0.034110077,1,0.0073771453,-0.00038195367,0.18544604,0.121980935,0.122187935,0.09317781,0.70256364,-0.0011738865,0.0010079131,0.71161926,0,6,1785207361936341,1785207361936341,-0.012984648,-0.022307776,0.11257968,1,0.017107433,0.016868405,0.0066086072
1785207361950570456,-0.003383338,-0.0029416797,-3.988142e-05,4.5221175e-05,4.4379336e-05,0.03411042,1,0.00728596,-0.00043321398,0.18598051,0.12245237,0.12265998,0.0934682,0.70256466,-0.0011730371,0.0009908021,0.71161836,0,6,1785207361944341,1785207361944341,-0.012947556,-0.0225547,0.1129938,1,0.017183557,0.016942127,0.0066215866
1785207361962629596,0.00061078346,0.00025311718,0.001284352,4.5302946e-05,4.445844e-05,0.034108,1,0.007111167,-0.000533974,0.18709186,0.12339175,0.12360794,0.09405186,0.7025694,-0.0011761151,0.0009890227,0.7116136,0,6,1785207361960341,1785207361960341,-0.0135546,-0.022666506,0.113440715,1,0.01732377,0.017085109,0.0066475705
1785207361970617728,0.0016760494,0.0013183807,0.0002190858,4.534368e-05,4.4499084e-05,0.034108337,1,0.0070193773,-0.00059111207,0.18766771,0.12387135,0.12408818,0.09434514,0.7025706,-0.0011713202,0.0009957503,0.7116124,0,6,1785207361968341,1785207361968341,-0.013844192,-0.022814054,0.11368022,1,0.01740086,0.017160011,0.0066605746
1785207361982579403,0.0003444688,0.0034489105,0.0026159321,4.5384357e-05,4.4540797e-05,0.034108687,1,0.006926811,-0.00065126887,0.1882558,0.124353774,0.12457122,0.09463938,0.7025657,-0.0011816163,0.0010054313,0.71161723,0,6,1785207361976341,1785207361976341,-0.013826928,-0.022645686,0.113830306,1,0.017478187,0.017235054,0.0066735866
1785207361990584087,7.8157405e-05,-0.0029426776,-0.0013788131,4.5422046e-05,4.458149e-05,0.034109034,1,0.006833603,-0.0007148959,0.18885711,0.12483903,0.12505706,0.0949346,0.7025684,-0.0011749107,0.0010028053,0.7116146,0,6,1785207361984341,1785207361984341,-0.013988264,-0.022801535,0.11422791,1,0.017555771,0.01731026,0.006686606
1785207362002581280,0.0027413142,-0.0010784632,-0.00057986367,4.5510726e-05,4.465878e-05,0.034109723,1,0.0066426736,-0.00085858454,0.1900314,0.1258181,0.1260372,0.09479757,0.70257705,-0.0011566766,0.001001796,0.711606,0,6,1785207362000341,1785207362000341,-0.014381859,-0.02333189,0.11478769,1,0.01771155,0.017461767,0.0066850362
1785207362010623124,-0.0028513253,0.0037152274,-0.0005798651,4.55565e-05,4.4698787e-05,0.03411007,1,0.0065450934,-0.00093812356,0.190639,0.12631196,0.12653151,0.09509342,0.70258045,-0.0011703933,0.0010058907,0.71160275,0,6,1785207362008341,1785207362008341,-0.014515694,-0.02354389,0.1152529,1,0.017789792,0.017537715,0.006698059
1785207362022611559,0.0006107838,-0.0008121473,-4.722552e-05,4.559807e-05,4.473729e-05,0.03411042,1,0.0064468626,-0.0010214909,0.19126129,0.12680869,0.12702869,0.09539025,0.7025826,-0.0011724143,0.0010051872,0.7116006,0,6,1785207362016341,1785207362016341,-0.014518466,-0.023469359,0.1157387,1,0.01786828,0.01761384,0.006711089
