bag_time_ns,average_speed,duration,gain_multiplier,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,omega_c_x,omega_c_y,omega_c_z,omega_o_x,omega_o_y,omega_o_z,peak_acceleration,peak_velocity,settling_time,target_distance,tracking_rmse,uav_id
1785207369378292694,2.608565092086792,3.0,1.0,world,378254212,1785207369,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,0.27998626232147217,0.19968874752521515,nan,7.825695037841797,0.012821347452700138,1
1785207369478266325,2.608565092086792,3.0,1.0,world,478234435,1785207369,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,1.1238242387771606,0.19968874752521515,nan,7.825695037841797,0.02663501910865307,1
1785207369578287105,2.608565092086792,3.0,1.0,world,578250055,1785207369,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,4.307190418243408,0.19968874752521515,nan,7.825695037841797,0.043658558279275894,1
1785207369678320149,2.608565092086792,3.0,1.0,world,678251449,1785207369,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.047223091125488,0.7519242167472839,nan,7.825695037841797,0.063072569668293,1
1785207369778309289,2.608565092086792,3.0,1.0,world,778272830,1785207369,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.047223091125488,1.143685221672058,nan,7.825695037841797,0.08060511946678162,1
1785207369878333065,2.608565092086792,3.0,1.0,world,878290414,1785207369,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.047223091125488,1.2909482717514038,nan,7.825695037841797,0.09685300290584564,1
1785207369978324018,2.608565092086792,3.0,1.0,world,978277961,1785207369,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.047223091125488,1.7002109289169312,nan,7.825695037841797,0.11834285408258438,1
1785207370078340898,2.608565092086792,3.0,1.0,world,78279742,1785207370,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,2.2015812397003174,nan,7.825695037841797,0.14580777287483215,1
1785207370178300839,2.608565092086792,3.0,1.0,world,178261004,1785207370,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,2.4271271228790283,nan,7.825695037841797,0.18147054314613342,1
1785207370278317237,2.608565092086792,3.0,1.0,world,278285938,1785207370,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,2.5409841537475586,nan,7.825695037841797,0.22593799233436584,1
1785207370378319898,2.608565092086792,3.0,1.0,world,378264003,1785207370,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,2.606588125228882,nan,7.825695037841797,0.2815428078174591,1
1785207370478319084,2.608565092086792,3.0,1.0,world,478265072,1785207370,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,2.6764092445373535,nan,7.825695037841797,0.34775981307029724,1
1785207370578332596,2.608565092086792,3.0,1.0,world,578273504,1785207370,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,2.751344919204712,nan,7.825695037841797,0.4239395558834076,1
1785207370678349935,2.608565092086792,3.0,1.0,world,678266968,1785207370,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,2.842599868774414,nan,7.825695037841797,0.5078614354133606,1
1785207370778338030,2.608565092086792,3.0,1.0,world,778272656,1785207370,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,2.936701536178589,nan,7.825695037841797,0.5983747839927673,1
1785207370878335171,2.608565092086792,3.0,1.0,world,878297339,1785207370,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.0501394271850586,nan,7.825695037841797,0.692104697227478,1
1785207370978348753,2.608565092086792,3.0,1.0,world,978301895,1785207370,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.1591954231262207,nan,7.825695037841797,0.7863112092018127,1
1785207371078315744,2.608565092086792,3.0,1.0,world,78264027,1785207371,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.271155834197998,nan,7.825695037841797,0.877742350101471,1
1785207371178323321,2.608565092086792,3.0,1.0,world,178259521,1785207371,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.3653688430786133,nan,7.825695037841797,0.9646874666213989,1
1785207371278315630,2.608565092086792,3.0,1.0,world,278264833,1785207371,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.453871726989746,nan,7.825695037841797,1.0442274808883667,1
1785207371378316494,2.608565092086792,3.0,1.0,world,378270106,1785207371,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.517824649810791,nan,7.825695037841797,1.1146200895309448,1
1785207371478307159,2.608565092086792,3.0,1.0,world,478273455,1785207371,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.5615766048431396,nan,7.825695037841797,1.1738654375076294,1
1785207371578314315,2.608565092086792,3.0,1.0,world,578272456,1785207371,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.576184034347534,nan,7.825695037841797,1.22146737575531,1
1785207371678328715,2.608565092086792,3.0,1.0,world,678267389,1785207371,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.576184034347534,nan,7.825695037841797,1.2564423084259033,1
1785207371778353274,2.608565092086792,3.0,1.0,world,778292800,1785207371,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.576184034347534,nan,7.825695037841797,1.278801679611206,1
1785207371878330343,2.608565092086792,3.0,1.0,world,878295517,1785207371,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.576184034347534,nan,7.825695037841797,1.2891305685043335,1
1785207371978318233,2.608565092086792,3.0,1.0,world,978273168,1785207371,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.576184034347534,nan,7.825695037841797,1.2893133163452148,1
1785207372078344522,2.608565092086792,3.0,1.0,world,78283327,1785207372,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.576184034347534,nan,7.825695037841797,1.2812941074371338,1
1785207372178367003,2.608565092086792,3.0,1.0,world,178307491,1785207372,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.576184034347534,nan,7.825695037841797,1.2673933506011963,1
1785207372278344259,2.608565092086792,3.0,1.0,world,278307479,1785207372,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.576184034347534,nan,7.825695037841797,1.2503196001052856,1
