bag_time_ns,armed_time,arming_state,avoidance_system_required,avoidance_system_valid,calibration_enabled,can_set_nav_states_mask,component_id,executor_in_charge,failsafe,failsafe_and_user_took_over,failsafe_defer_state,failure_detector_status,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,hil_state,in_transition_mode,in_transition_to_fw,is_vtol,is_vtol_tailsitter,latest_arming_reason,latest_disarming_reason,nav_state,nav_state_timestamp,nav_state_user_intention,open_drone_id_system_healthy,open_drone_id_system_present,parachute_system_healthy,parachute_system_present,power_input_valid,pre_flight_checks_pass,rc_calibration_in_progress,safety_button_available,safety_off,system_id,system_type,takeoff_time,timestamp,usb_connected,valid_nav_states_mask,vehicle_type
1785206543399612696,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206543394097,False,2147411071,1
1785206543903568684,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206543898097,False,2147411071,1
1785206544407585829,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206544402085,False,2147411071,1
1785206544923233615,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206544906085,False,2147411071,1
1785206545422819936,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206545410094,False,2147411071,1
1785206545923688613,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206545914094,False,2147411071,1
1785206546426994664,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206546418095,False,2147411071,1
1785206546930875865,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206546922095,False,2147411071,1
1785206547434844139,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206547426093,False,2147411071,1
1785206547938904371,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206547930093,False,2147411071,1
1785206548443050512,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206548434092,False,2147411071,1
1785206548947168625,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206548938092,False,2147411071,1
1785206549451325463,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206549442091,False,2147411071,1
1785206549955125887,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206549946091,False,2147411071,1
1785206550459460963,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206550450091,False,2147411071,1
1785206550963289510,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206550954091,False,2147411071,1
1785206551467350702,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206551458091,False,2147411071,1
1785206551971335516,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206551962091,False,2147411071,1
1785206552475343610,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206552466091,False,2147411071,1
1785206552979459250,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206552970091,False,2147411071,1
1785206553483417272,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206553474092,False,2147411071,1
1785206553987461059,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206553978092,False,2147411071,1
1785206554492013981,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206554482093,False,2147411071,1
1785206554995780790,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206554986093,False,2147411071,1
1785206555499852680,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206555490095,False,2147411071,1
1785206556003924108,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206555994095,False,2147411071,1
1785206556507923173,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206556498097,False,2147411071,1
1785206557011868911,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206557002097,False,2147411071,1
1785206557515832736,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206557506099,False,2147411071,1
1785206558019826777,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206558010099,False,2147411071,1
1785206558524078779,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206558514101,False,2147411071,1
1785206559028121193,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206559018101,False,2147411071,1
1785206559532061120,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206559522105,False,2147411071,1
1785206560036032682,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206560026105,False,2147411071,1
1785206560540100271,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206560530108,False,2147411071,1
1785206561044356152,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206561034108,False,2147411071,1
1785206561548364193,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206561538112,False,2147411071,1
1785206562052408976,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206562042112,False,2147411071,1
1785206562556450513,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206562546116,False,2147411071,1
1785206563060420868,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206563050116,False,2147411071,1
1785206563564556361,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206563554121,False,2147411071,1
1785206564068592054,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206564058126,False,2147411071,1
1785206564572734250,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206564562126,False,2147411071,1
1785206565076792807,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206565066132,False,2147411071,1
1785206565580742606,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206565570132,False,2147411071,1
1785206566084907781,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206566074138,False,2147411071,1
1785206566588927739,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206566578138,False,2147411071,1
1785206567093001084,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206567082145,False,2147411071,1
1785206567597131059,22236000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24348000,14,False,False,False,False,True,True,False,True,True,2,2,26220000,1785206567586145,False,2147411071,1
