bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785206553233308862,3.0,world,233056104,1785206553,2598064233,aggressive,1.0,6.0,3.0,5.0,1
1785206553347991460,3.0,world,233056104,1785206553,2598064233,aggressive,1.0,6.0,3.0,5.0,1
1785206553448088440,3.0,world,233056104,1785206553,2598064233,aggressive,1.0,6.0,3.0,5.0,1
1785206553568057425,3.0,world,233056104,1785206553,2598064233,aggressive,1.0,6.0,3.0,5.0,1
1785206553688040667,3.0,world,233056104,1785206553,2598064233,aggressive,1.0,6.0,3.0,5.0,1
1785206553808022507,3.0,world,233056104,1785206553,2598064233,aggressive,1.0,6.0,3.0,5.0,1
1785206553928112430,3.0,world,233056104,1785206553,2598064233,aggressive,1.0,6.0,3.0,5.0,1
1785206554028129657,3.0,world,233056104,1785206553,2598064233,aggressive,1.0,6.0,3.0,5.0,1
1785206554128162540,3.0,world,233056104,1785206553,2598064233,aggressive,1.0,6.0,3.0,5.0,1
1785206554228243818,3.0,world,233056104,1785206553,2598064233,aggressive,1.0,6.0,3.0,5.0,1
