bag_time_ns,angular_velocity_0,angular_velocity_1,angular_velocity_2,orientation_variance_0,orientation_variance_1,orientation_variance_2,pose_frame,position_0,position_1,position_2,position_variance_0,position_variance_1,position_variance_2,q_0,q_1,q_2,q_3,quality,reset_counter,timestamp,timestamp_sample,velocity_0,velocity_1,velocity_2,velocity_frame,velocity_variance_0,velocity_variance_1,velocity_variance_2
1785207052356990729,-0.00046000432,0.0039950907,-0.0011215524,4.5263892e-05,4.437251e-05,0.034094065,1,0.007323439,0.00034398574,0.17172983,0.12064114,0.12085001,0.09370264,0.7026871,-0.00127318,0.00095629983,0.7114973,0,6,1785207052354603,1785207052354603,-0.0019397934,-0.019638725,0.09946838,1,0.017051892,0.016815644,0.0066986484
1785207052364926863,-0.00019368925,0.0039950917,-5.628728e-05,4.530924e-05,4.4413144e-05,0.034094393,1,0.007402981,0.00029509197,0.17207283,0.12110591,0.12131564,0.093996555,0.702687,-0.0012866776,0.00096286245,0.71149737,0,6,1785207052362603,1785207052362603,-0.0021124945,-0.019566394,0.099722475,1,0.01712848,0.01688987,0.0067119296
1785207052376933103,0.0006052586,0.0010656137,0.0010089765,4.5355242e-05,4.4453765e-05,0.03409473,1,0.007480211,0.00024293861,0.17243184,0.12157344,0.12178401,0.09429145,0.70268476,-0.0012911324,0.0009710334,0.7114996,0,6,1785207052370603,1785207052370603,-0.002073538,-0.019686475,0.09996628,1,0.017205577,0.016964585,0.00672522
1785207052384952146,0.0032684219,-0.0007985984,0.000210032,4.5397497e-05,4.4495035e-05,0.034095064,1,0.007555537,0.00018750947,0.17280705,0.12204375,0.12225512,0.094587326,0.70268255,-0.0012846341,0.00097592396,0.7115017,0,6,1785207052378603,1785207052378603,-0.0022450695,-0.019604396,0.100385025,1,0.017282788,0.017039437,0.0067385198
1785207052396989606,-0.00046019466,0.0005326783,-5.844743e-05,4.5482087e-05,4.457695e-05,0.03409241,1,0.0077004586,7.153191e-05,0.17356394,0.122981064,0.12320119,0.09445469,0.70268255,-0.0012764373,0.0009748672,0.7115017,0,6,1785207052394603,1785207052394603,-0.0024901503,-0.01982585,0.10060791,1,0.01742483,0.017184015,0.0067372182
1785207052404939927,0.0011377024,0.0010653096,0.0015394517,4.552769e-05,4.4619912e-05,0.03409274,1,0.0077695367,7.6071956e-06,0.17394453,0.123459585,0.12368055,0.09475124,0.7026795,-0.0012789469,0.0009805794,0.71150476,0,6,1785207052402603,1785207052402603,-0.0025233764,-0.019954592,0.10093338,1,0.017503036,0.017259698,0.006750519
1785207052416957600,0.0027356036,-0.0029294319,0.0015394514,4.557354e-05,4.4661207e-05,0.034093067,1,0.007837082,-5.977232e-05,0.1743401,0.12394094,0.124162704,0.09504877,0.7026735,-0.0012655854,0.000980409,0.71151066,0,6,1785207052410603,1785207052410603,-0.002511657,-0.02002197,0.100993656,1,0.017581578,0.017335799,0.006763829
1785207052424957966,-0.000992826,4.5169145e-08,0.00020786568,4.561463e-05,4.4702414e-05,0.034093387,1,0.007903553,-0.00013006883,0.17474934,0.12442514,0.12464767,0.095347285,0.70267284,-0.0012638742,0.0009768043,0.7115113,0,6,1785207052418603,1785207052418603,-0.0024317438,-0.01991616,0.10116658,1,0.017660154,0.017411938,0.0067771473
1785207052436980328,-0.0009928262,4.6100467e-08,-0.0021889776,4.5705194e-05,4.4786597e-05,0.03409405,1,0.008031286,-0.00027483716,0.1756106,0.12540215,0.12562612,0.095947295,0.7026774,-0.001271019,0.0009771595,0.71150684,0,6,1785207052434603,1785207052434603,-0.0026537161,-0.019949201,0.1015793,1,0.017817965,0.017564736,0.006803809
1785207052444990413,-0.0015254588,-0.0005325866,-0.001123707,4.5750825e-05,4.483002e-05,0.03409437,1,0.008091257,-0.0003541044,0.1760277,0.12589498,0.12611963,0.0955051,0.7026807,-0.0012782954,0.000969831,0.71150357,0,6,1785207052442603,1785207052442603,-0.0028181067,-0.020286875,0.10186557,1,0.017897386,0.017641725,0.0067885444
