bag_time_ns,angular_velocity_0,angular_velocity_1,angular_velocity_2,orientation_variance_0,orientation_variance_1,orientation_variance_2,pose_frame,position_0,position_1,position_2,position_variance_0,position_variance_1,position_variance_2,q_0,q_1,q_2,q_3,quality,reset_counter,timestamp,timestamp_sample,velocity_0,velocity_1,velocity_2,velocity_frame,velocity_variance_0,velocity_variance_1,velocity_variance_2
1785208179613598085,0.0011670241,5.816575e-06,-6.155263e-05,4.390078e-05,4.305847e-05,0.034123313,1,0.006961203,-0.00447421,0.15572202,0.10910316,0.10926783,0.088599324,0.702087,-0.0010986442,0.0010672549,0.71208954,0,6,1785208179606303,1785208179606303,-0.0022436716,-0.021756103,0.09457403,1,0.015112271,0.014915974,0.0064378954
1785208179621428477,-0.0009635071,-0.0015920801,0.0015363449,4.394365e-05,4.3101452e-05,0.034123644,1,0.007080388,-0.0044608554,0.15567265,0.10949902,0.10966493,0.08887539,0.7020835,-0.0010990961,0.0010640696,0.71209294,0,6,1785208179614303,1785208179614303,-0.00213438,-0.021733759,0.09449006,1,0.015181988,0.014983608,0.0064510284
1785208179633402423,-0.0020287684,-0.00026050117,0.00020476646,4.402845e-05,4.318188e-05,0.034124322,1,0.00731013,-0.004452215,0.15564379,0.110297956,0.11046628,0.08943034,0.7020725,-0.0011051412,0.0010380807,0.71210396,0,6,1785208179630303,1785208179630303,-0.0022414252,-0.022132246,0.09486359,1,0.015322098,0.01511949,0.0064773206
1785208179641375893,-0.0028277184,0.0008047642,-6.155269e-05,4.4071126e-05,4.3221982e-05,0.034124658,1,0.0074233674,-0.0044567464,0.15566517,0.11070105,0.11087055,0.08970923,0.7020716,-0.001113874,0.0010318159,0.71210474,0,6,1785208179638303,1785208179638303,-0.0018922716,-0.022221824,0.094998986,1,0.015392533,0.015187717,0.006490479
1785208179653400844,0.001699515,0.0018697605,-0.0013950944,4.411435e-05,4.3261836e-05,0.03412149,1,0.0075358893,-0.0044651283,0.15568832,0.111099504,0.111274615,0.08933866,0.7020731,-0.001118928,0.0010368718,0.71210325,0,6,1785208179646303,1785208179646303,-0.00197207,-0.022457903,0.09505986,1,0.015452395,0.015251429,0.0064789853
1785208179661379574,0.0046289894,0.0002718633,-0.00086246344,4.4156794e-05,4.3304168e-05,0.034121834,1,0.0076469895,-0.004479714,0.15573329,0.11150734,0.11168366,0.089617416,0.70207644,-0.0011093386,0.0010476774,0.71209997,0,6,1785208179654303,1785208179654303,-0.0017459949,-0.022577692,0.095097214,1,0.015523388,0.01532023,0.0064921407
1785208179673337961,0.00063425064,0.0010708119,-0.0005961482,4.4240034e-05,4.338419e-05,0.03412252,1,0.007864299,-0.004520118,0.155883,0.112330414,0.11250909,0.09017776,0.7020737,-0.0011092416,0.0010522153,0.7121027,0,6,1785208179670303,1785208179670303,-0.0018232388,-0.022517014,0.09504813,1,0.015665917,0.015458445,0.0065184776
1785208179681359801,0.0019658338,0.002136076,-0.0043245736,4.428368e-05,4.342755e-05,0.034122862,1,0.007969131,-0.0045472416,0.15598874,0.11274567,0.11292549,0.09045936,0.70208275,-0.0011098081,0.001058793,0.7120938,0,6,1785208179678303,1785208179678303,-0.0019396754,-0.022615664,0.095302254,1,0.01573732,0.015527757,0.00653166
1785208179693348324,0.0011668779,0.0010708119,0.0012680625,4.4326607e-05,4.347013e-05,0.034123205,1,0.008071162,-0.0045789024,0.15611444,0.11316343,0.11334437,0.0907419,0.7020831,-0.0011115071,0.0010672581,0.7120935,0,6,1785208179686303,1785208179686303,-0.001987338,-0.02267937,0.09529786,1,0.015809411,0.015597651,0.00654485
1785208179701326222,0.00063425273,-0.0013260324,0.0015343782,4.4370678e-05,4.351162e-05,0.034123547,1,0.008171287,-0.004614277,0.15625873,0.1135837,0.11376575,0.0910254,0.7020762,-0.0011063489,0.0010659887,0.71210027,0,6,1785208179694303,1785208179694303,-0.0019429361,-0.022633148,0.09540329,1,0.01588153,0.015667541,0.006558048
1785208179713320396,0.00090056425,-0.0013260324,-0.0008624618,4.441353e-05,4.355325e-05,0.03412389,1,0.00826943,-0.004653216,0.15642206,0.1140065,0.11418962,0.09130985,0.7020788,-0.0011030657,0.0010613003,0.7120977,0,6,1785208179702303,1785208179702303,-0.0020470498,-0.022681188,0.095537625,1,0.015953757,0.01573758,0.0065712547
1785208179721338239,0.0019666539,5.5963174e-06,-0.0016611605,4.4453478e-05,4.3595435e-05,0.034120746,1,0.00836002,-0.0046974863,0.15657108,0.11442356,0.114612915,0.09092152,0.702081,-0.0010945693,0.001064934,0.71209544,0,6,1785208179710303,1785208179710303,-0.0019192441,-0.022871573,0.09561323,1,0.016014865,0.01580288,0.0065588197
1785208179733296826,0.0014340222,0.0013371753,-0.0029927385,4.4539658e-05,4.3677224e-05,0.034121417,1,0.00853774,-0.004801061,0.15692304,0.11528159,0.11547315,0.091491014,0.7020841,-0.0011039195,0.0010721612,0.7120924,0,6,1785208179726303,1785208179726303,-0.0019163793,-0.023212384,0.09554338,1,0.016161177,0.015944656,0.00658523
1785208179741301885,0.00090137974,-0.003190198,-0.005922217,4.458057e-05,4.3720578e-05,0.03412176,1,0.008623595,-0.004859206,0.15712456,0.11571446,0.115907095,0.0917772,0.7021016,-0.0010953707,0.0010676269,0.7120752,0,6,1785208179734303,1785208179734303,-0.002009211,-0.023321573,0.09570885,1,0.016234575,0.016015839,0.0065984502
1785208179753282163,0.00063506985,0.004266653,-0.0005958942,4.4667686e-05,4.3803437e-05,0.034122422,1,0.008789191,-0.004989584,0.1575835,0.11658801,0.1167827,0.09235245,0.70211005,-0.0011012942,0.0010732634,0.7120668,0,6,1785208179750303,1785208179750303,-0.0021059474,-0.023652256,0.0963162,1,0.016382108,0.016158858,0.006624915
1785208179761319733,-0.0022944077,0.0005382281,0.0015346326,4.470981e-05,4.3843505e-05,0.034122773,1,0.008869415,-0.0050607123,0.15783945,0.117028706,0.117224395,0.092641525,0.7021068,-0.0011085473,0.0010733072,0.7120701,0,6,1785208179758303,1785208179758303,-0.0020459306,-0.023618083,0.09639314,1,0.01645637,0.016230851,0.00663816
1785208179773301653,-0.0014954574,-0.0047880933,0.00020306095,4.4752564e-05,4.388558e-05,0.034123108,1,0.008947926,-0.005134444,0.15808992,0.11747204,0.11766869,0.0922381,0.70210505,-0.0011047451,0.0010550176,0.71207184,0,6,1785208179766303,1785208179766303,-0.0021910896,-0.02359192,0.0964028,1,0.016531037,0.016303217,0.006624928
1785208179781290212,-0.0025607268,-0.0010596681,0.0020672628,4.4793152e-05,4.3929707e-05,0.034123443,1,0.009023659,-0.0052114213,0.15835586,0.117918015,0.118115604,0.092526935,0.70209986,-0.001105104,0.0010408931,0.7120769,0,6,1785208179774303,1785208179774303,-0.0023640944,-0.023604035,0.09642125,1,0.016605938,0.016375756,0.006638167
1785208179793330992,-0.00096352876,0.00027154386,-0.0016637453,4.4878987e-05,4.401834e-05,0.03412065,1,0.009178116,-0.0053655063,0.15893471,0.11880801,0.119013585,0.093107514,0.70210296,-0.001113904,0.001037185,0.7120738,0,6,1785208179790303,1785208179790303,-0.0023986602,-0.023195947,0.0967555,1,0.016743694,0.016515648,0.0066646724
1785208179801288753,-0.0028277407,0.004532602,-0.0029953278,4.4924545e-05,4.4059845e-05,0.034120984,1,0.009253699,-0.005445791,0.1592488,0.11926184,0.11946838,0.09339926,0.70211124,-0.0011320789,0.0010392462,0.71206564,0,6,1785208179798303,1785208179798303,-0.002397379,-0.023294719,0.09701517,1,0.01681936,0.016588928,0.0066779368
1785208179813269151,0.0006343654,0.002135756,-0.0013974264,4.4968307e-05,4.4097767e-05,0.034121335,1,0.009326866,-0.005528985,0.15957847,0.11971837,0.11992585,0.093691975,0.70211655,-0.00114161,0.0010455623,0.71206045,0,6,1785208179806303,1785208179806303,-0.0025889531,-0.023318855,0.09716793,1,0.016895281,0.016662443,0.006691211
1785208179821312201,-0.0006972151,0.0021357571,0.00046678216,4.5012202e-05,4.413846e-05,0.03412167,1,0.009397187,-0.00561641,0.1599233,0.12017763,0.120386004,0.09398567,0.70211726,-0.001146972,0.001050078,0.71205974,0,6,1785208179814303,1785208179814303,-0.0026728602,-0.02359757,0.09743982,1,0.016971521,0.016736424,0.006704494
1785208179833301005,-0.00016458251,0.003999972,-6.584859e-05,4.5101515e-05,4.4220764e-05,0.03412235,1,0.009533967,-0.005803131,0.16061151,0.12110435,0.12131444,0.09385786,0.7021194,-0.0011724103,0.0010655456,0.7120575,0,6,1785208179830303,1785208179830303,-0.0027342832,-0.023675524,0.098078035,1,0.017124513,0.016884657,0.0067035677
1785208179841270166,0.00063436537,0.0010704938,0.0009994152,4.5147302e-05,4.426129e-05,0.034122683,1,0.009599365,-0.0059007714,0.1609548,0.12157185,0.12178275,0.09415224,0.7021183,-0.0011766438,0.0010736017,0.7120586,0,6,1785208179838303,1785208179838303,-0.002698115,-0.023809852,0.09832088,1,0.017201584,0.01695933,0.0067168525
1785208179853248300,0.0032981748,-0.0007939148,0.00019900824,4.518936e-05,4.4302353e-05,0.034119565,1,0.009657866,-0.0060000527,0.1613143,0.122030824,0.12224952,0.0944476,0.70211715,-0.0011699251,0.0010783912,0.71205974,0,6,1785208179846303,1785208179846303,-0.0028782664,-0.023740599,0.09873872,1,0.01726555,0.017028285,0.0067301467
1785208179861261895,0.00090133026,-0.0013265465,-0.00033363185,4.5231427e-05,4.434437e-05,0.034119908,1,0.009713424,-0.006101892,0.16168971,0.12250368,0.12272326,0.09474394,0.70211756,-0.001159769,0.0010776017,0.7120593,0,6,1785208179854303,1785208179854303,-0.0030579383,-0.023859136,0.098968826,1,0.017342955,0.017103335,0.0067434483
1785208179873276767,0.0011676435,0.0010702978,0.0015305865,4.531958e-05,4.442696e-05,0.03412058,1,0.009818299,-0.0063163494,0.16248177,0.123457834,0.12367906,0.09533957,0.7021173,-0.0011635858,0.0010827734,0.7120596,0,6,1785208179870303,1785208179870303,-0.003184648,-0.02413624,0.099299505,1,0.017498914,0.017254302,0.006770077
1785208179881306814,0.0027655447,-0.0029244437,0.0015305863,4.5365232e-05,4.446817e-05,0.03412092,1,0.0098684635,-0.006428488,0.16289869,0.12393915,0.124161154,0.095638864,0.7021121,-0.0011500138,0.0010825319,0.7120648,0,6,1785208179878303,1785208179878303,-0.0031962162,-0.024218375,0.09936615,1,0.017577427,0.017330363,0.0067834044
1785208179893208884,-0.00096288556,5.03473e-06,0.00019899987,4.5406487e-05,4.4509274e-05,0.034121256,1,0.009917709,-0.0065432093,0.16329202,0.12442331,0.124646075,0.09520025,0.7021122,-0.0011480944,0.001078854,0.7120647,0,6,1785208179886303,1785208179886303,-0.0031300026,-0.024126884,0.0995381,1,0.017655969,0.017406458,0.006768358
1785208179901238189,-0.0004302517,0.0010702983,0.00019900464,4.5448633e-05,4.4551307e-05,0.0341216,1,0.009965848,-0.006658348,0.16369979,0.12491034,0.12513381,0.09549921,0.7021111,-0.0011529728,0.0010789398,0.71206564,0,6,1785208179894303,1785208179894303,-0.0031956485,-0.023866164,0.09981292,1,0.017734716,0.01748269,0.006781679
1785208179913243373,-0.0014955178,-0.00052759843,-0.0011325722,4.5542216e-05,4.4636632e-05,0.034122262,1,0.010055188,-0.006898602,0.16455683,0.12589303,0.12611786,0.09610009,0.702122,-0.001161924,0.001071687,0.712055,0,6,1785208179910303,1785208179910303,-0.0035405327,-0.024540188,0.10024075,1,0.017893123,0.017636135,0.0068083475
1785208179921274271,-0.00016407331,0.0010702075,-0.0011332069,4.558121e-05,4.468129e-05,0.034119166,1,0.010097873,-0.0070244945,0.16500542,0.12637554,0.12660916,0.09640203,0.70212513,-0.0011615069,0.0010704178,0.7120519,0,6,1785208179918303,1785208179918303,-0.0035428405,-0.024631461,0.100347884,1,0.017958727,0.017707212,0.006821694
1785208179933275568,0.0009011861,-0.0013266369,0.0009973241,4.562229e-05,4.472604e-05,0.034119517,1,0.0101398155,-0.007153003,0.16546641,0.12687394,0.12710829,0.09670495,0.7021261,-0.0011607381,0.001074088,0.7120509,0,6,1785208179926303,1785208179926303,-0.0034982455,-0.024733292,0.10051994,1,0.018038705,0.017784784,0.0068350486
1785208179941250540,-0.0025609145,-0.0021255864,-0.0019321602,4.566751e-05,4.4769215e-05,0.034119852,1,0.010180012,-0.0072846003,0.16590932,0.12737527,0.12761031,0.09625346,0.7021297,-0.0011572018,0.0010593551,0.71204734,0,6,1785208179934303,1785208179934303,-0.0036828383,-0.02488559,0.10064564,1,0.018118834,0.017862573,0.006819342
1785208179953260313,0.0011678158,-0.0008065561,0.0007365475,4.320861e-05,4.2428794e-05,0.034119666,1,0.010201103,-0.007115637,0.16604692,0.10637639,0.10652936,0.08686967,0.70213246,-0.0011559698,0.0010604697,0.71204466,0,6,1785208179950303,1785208179950303,-0.0039049166,-0.025246026,0.100381434,1,0.0145686595,0.014383383,0.006313519
1785208179961264831,0.0032983457,0.0031881852,0.004997605,4.3253185e-05,4.2469248e-05,0.03412001,1,0.010183641,-0.0068233386,0.16575916,0.10675543,0.106909685,0.08713868,0.70212066,-0.0011523523,0.0010747473,0.7120562,0,6,1785208179958303,1785208179958303,-0.003993805,-0.025122095,0.10029537,1,0.014635927,0.014448736,0.0063264538
1785208179973233377,0.00063519,0.0015902885,0.00020391325,4.3296655e-05,4.2509357e-05,0.034120344,1,0.010165754,-0.006543178,0.16550212,0.10713676,0.10729229,0.08740862,0.7021184,-0.0011528251,0.0010803496,0.71205854,0,6,1785208179966303,1785208179966303,-0.0040530195,-0.025163764,0.10027548,1,0.0147034535,0.014514211,0.006339396
1785208179981214702,-0.00016376248,-0.0024044528,0.0010028626,4.3342356e-05,4.254989e-05,0.03412068,1,0.010147564,-0.00627534,0.16527487,0.10752041,0.10767718,0.08767947,0.70211834,-0.0011487072,0.0010762174,0.7120586,0,6,1785208179974303,1785208179974303,-0.00421885,-0.025151515,0.100234605,1,0.014771089,0.014579783,0.0063523473
1785208179993231728,0.0011680326,-0.00054031936,0.0010022321,4.3431657e-05,4.263059e-05,0.034117956,1,0.010106657,-0.0057694763,0.16490948,0.10828853,0.10845166,0.08822394,0.702113,-0.0011287687,0.0010677517,0.71206397,0,6,1785208179990303,1785208179990303,-0.0045567947,-0.024637172,0.10054773,1,0.01489716,0.014707465,0.0063782744
1785208180001222320,-0.00042986334,-0.00027400302,0.0007359145,4.347292e-05,4.2668653e-05,0.0341183,1,0.010084548,-0.0055313744,0.16474096,0.10867904,0.10884343,0.08786847,0.70211154,-0.0011265217,0.001064821,0.7120654,0,6,1785208179998303,1785208179998303,-0.004482287,-0.024631511,0.10071503,1,0.014965377,0.014773779,0.006367669
1785208180013221262,0.00010276819,0.0007912619,-0.0005956644,4.3512428e-05,4.270716e-05,0.03411865,1,0.010063005,-0.005303403,0.16460025,0.10907192,0.109237544,0.08814107,0.7021142,-0.0011269308,0.0010645272,0.71206266,0,6,1785208180006303,1785208180006303,-0.0046071457,-0.024420073,0.10064463,1,0.015034087,0.014840496,0.0063806335
1785208180021226562,0.000102766906,0.0007912619,-6.303306e-05,4.355438e-05,4.2747728e-05,0.034118984,1,0.010040325,-0.0050844313,0.16448575,0.10946716,0.109634005,0.088414595,0.7021166,-0.0011258281,0.001064268,0.7120604,0,6,1785208180014303,1785208180014303,-0.0047548437,-0.024315625,0.1005385,1,0.01510326,0.014907623,0.0063936063
1785208180033227538,0.00010276772,-7.68574e-06,-0.0019272455,4.3636646e-05,4.2825428e-05,0.03411967,1,0.009991279,-0.0046744766,0.1643386,0.11026481,0.11043401,0.08896443,0.70212233,-0.0011326384,0.0010622437,0.7120547,0,6,1785208180030303,1785208180030303,-0.0050629517,-0.024166798,0.101045765,1,0.015242037,0.015042252,0.006419577
