bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785208001362186811,3.0,world,362020719,1785208001,2210610535,smooth,1.0,6.0,3.0,5.0,1
1785208001469445784,3.0,world,362020719,1785208001,2210610535,smooth,1.0,6.0,3.0,5.0,1
1785208001589357738,3.0,world,362020719,1785208001,2210610535,smooth,1.0,6.0,3.0,5.0,1
1785208001709357707,3.0,world,362020719,1785208001,2210610535,smooth,1.0,6.0,3.0,5.0,1
1785208001829374728,3.0,world,362020719,1785208001,2210610535,smooth,1.0,6.0,3.0,5.0,1
1785208001949403481,3.0,world,362020719,1785208001,2210610535,smooth,1.0,6.0,3.0,5.0,1
1785208002049551598,3.0,world,362020719,1785208001,2210610535,smooth,1.0,6.0,3.0,5.0,1
1785208002156876473,3.0,world,362020719,1785208001,2210610535,smooth,1.0,6.0,3.0,5.0,1
1785208002269349023,3.0,world,362020719,1785208001,2210610535,smooth,1.0,6.0,3.0,5.0,1
1785208002389392312,3.0,world,362020719,1785208001,2210610535,smooth,1.0,6.0,3.0,5.0,1
