bag_time_ns,angular_velocity_0,angular_velocity_1,angular_velocity_2,orientation_variance_0,orientation_variance_1,orientation_variance_2,pose_frame,position_0,position_1,position_2,position_variance_0,position_variance_1,position_variance_2,q_0,q_1,q_2,q_3,quality,reset_counter,timestamp,timestamp_sample,velocity_0,velocity_1,velocity_2,velocity_frame,velocity_variance_0,velocity_variance_1,velocity_variance_2
1785207547481666621,0.0016906462,0.0008032839,-0.0013703948,4.5464007e-05,4.454193e-05,0.034064267,1,0.0057035196,0.0022365141,0.15216218,0.12351401,0.123735934,0.095433004,0.70315415,-0.0011593536,0.00093393686,0.7110359,0,6,1785207547479167,1785207547479167,-0.0020502575,-0.017361673,0.09157409,1,0.017569799,0.017334085,0.00682075
1785207547489573218,0.001690638,-0.0007946119,0.0007601288,4.5509732e-05,4.4583758e-05,0.034064587,1,0.0056652757,0.0021147334,0.15256247,0.1239961,0.1242189,0.095733866,0.7031545,-0.0011512463,0.0009363686,0.7110356,0,6,1785207547487167,1785207547487167,-0.0021321042,-0.01744087,0.09179162,1,0.017648255,0.017410297,0.006834241
1785207547501658609,0.0006253823,4.3371692e-06,-0.0005714532,4.5554738e-05,4.462518e-05,0.03406491,1,0.005628267,0.0019908955,0.15297532,0.12448105,0.12470469,0.09603573,0.7031522,-0.0011484253,0.0009402781,0.7110379,0,6,1785207547495167,1785207547495167,-0.0020785807,-0.017681845,0.09200743,1,0.017727425,0.017487219,0.0068477406
1785207547509590955,0.0016906424,0.00080328435,-0.0021693467,4.559926e-05,4.4668384e-05,0.03406524,1,0.0055927346,0.0018648856,0.15339983,0.12496887,0.12519331,0.09633859,0.7031582,-0.0011467643,0.0009460475,0.7110319,0,6,1785207547503167,1785207547503167,-0.002027165,-0.017756386,0.09210071,1,0.017806845,0.017564261,0.006861248
1785207547521619739,0.0019569586,-0.0021261922,-3.8813774e-05,4.568596e-05,4.4756587e-05,0.034065895,1,0.0055262945,0.0016061893,0.15428147,0.1259532,0.12617916,0.096947335,0.70315975,-0.0011448744,0.00094251934,0.7110304,0,6,1785207547519167,1785207547519167,-0.0018771228,-0.018154753,0.09244839,1,0.01796675,0.01771926,0.0068882885
1785207547529597040,0.0014243282,0.00027065445,-0.0011040855,4.5728673e-05,4.480106e-05,0.03406623,1,0.0054952055,0.0014739381,0.15472244,0.12644973,0.12667641,0.09649403,0.70316124,-0.0011371917,0.00094605924,0.71102893,0,6,1785207547527167,1785207547527167,-0.0019986215,-0.018188328,0.09258355,1,0.018047212,0.017797284,0.0068723774
1785207547541585668,-0.0031013484,0.00053690793,0.0002268743,4.577621e-05,4.4843084e-05,0.03406302,1,0.005450221,0.0013414873,0.15517534,0.12693587,0.12717137,0.096798524,0.70316046,-0.0011452932,0.0009427326,0.71102965,0,6,1785207547535167,1785207547535167,-0.0019544228,-0.018033078,0.09295987,1,0.018113423,0.01786903,0.0068858964
1785207547549587275,-0.00043818355,0.00053690514,-0.002436282,4.5819917e-05,4.4884328e-05,0.03406334,1,0.005406999,0.001208877,0.1556394,0.12743807,0.12767434,0.09710403,0.70316535,-0.0011492625,0.0009397989,0.7110249,0,6,1785207547543167,1785207547543167,-0.001910278,-0.018095281,0.09295598,1,0.018194258,0.017947394,0.006899424
1785207547561598235,-0.00071075,-0.0007996545,-0.001635315,4.3328302e-05,4.2506614e-05,0.03406282,1,0.005498066,0.0011015804,0.15587339,0.10640687,0.10655865,0.087547585,0.7031717,-0.0011531196,0.0009426121,0.71101856,0,6,1785207547559167,1785207547559167,-0.001811322,-0.01815619,0.09349241,1,0.014620532,0.014441842,0.006381102
1785207547569580976,0.0008871447,-0.0026638643,0.0036910165,4.3370183e-05,4.2550306e-05,0.03406315,1,0.005628424,0.00112441,0.15566239,0.106786296,0.106939405,0.08781982,0.703163,-0.0011491152,0.00093358924,0.7110272,0,6,1785207547567167,1785207547567167,-0.0017741161,-0.018166522,0.093537696,1,0.014688081,0.014507543,0.0063942047
1785207547581633906,0.0011534648,0.0010645571,0.0004952118,4.341383e-05,4.259115e-05,0.03406347,1,0.005755646,0.0011416143,0.15547924,0.10716803,0.10732245,0.08809298,0.70315963,-0.001142185,0.000938129,0.71103054,0,6,1785207547575167,1785207547575167,-0.001838056,-0.018429054,0.093547955,1,0.01475594,0.014573459,0.0064073163
1785207547589581100,-0.0007107494,-0.0002670223,0.0004952172,4.3458345e-05,4.2630967e-05,0.034063797,1,0.005879309,0.0011523267,0.15531509,0.10755208,0.10770778,0.08773984,0.7031582,-0.0011472764,0.0009358156,0.711032,0,6,1785207547583167,1785207547583167,-0.002019034,-0.018643513,0.09353978,1,0.014824103,0.014639592,0.0063967737
