phase,family,scenario,method,trial_count,mission_success_rate,mission_success_ci_low,mission_success_ci_high,minimum_inter_agent_distance_n_valid,minimum_inter_agent_distance_mean,minimum_inter_agent_distance_std,minimum_inter_agent_distance_median,minimum_inter_agent_distance_q1,minimum_inter_agent_distance_q3,minimum_inter_agent_distance_ci_low,minimum_inter_agent_distance_ci_high,violation_event_count_n_valid,violation_event_count_mean,violation_event_count_std,violation_event_count_median,violation_event_count_q1,violation_event_count_q3,violation_event_count_ci_low,violation_event_count_ci_high,risk_exposure_time_n_valid,risk_exposure_time_mean,risk_exposure_time_std,risk_exposure_time_median,risk_exposure_time_q1,risk_exposure_time_q3,risk_exposure_time_ci_low,risk_exposure_time_ci_high,risk_integral_n_valid,risk_integral_mean,risk_integral_std,risk_integral_median,risk_integral_q1,risk_integral_q3,risk_integral_ci_low,risk_integral_ci_high,mean_trajectory_deviation_n_valid,mean_trajectory_deviation_mean,mean_trajectory_deviation_std,mean_trajectory_deviation_median,mean_trajectory_deviation_q1,mean_trajectory_deviation_q3,mean_trajectory_deviation_ci_low,mean_trajectory_deviation_ci_high,recovery_time_n_valid,recovery_time_mean,recovery_time_std,recovery_time_median,recovery_time_q1,recovery_time_q3,recovery_time_ci_low,recovery_time_ci_high,iapf_activation_ratio_n_valid,iapf_activation_ratio_mean,iapf_activation_ratio_std,iapf_activation_ratio_median,iapf_activation_ratio_q1,iapf_activation_ratio_q3,iapf_activation_ratio_ci_low,iapf_activation_ratio_ci_high,activation_event_count_n_valid,activation_event_count_mean,activation_event_count_std,activation_event_count_median,activation_event_count_q1,activation_event_count_q3,activation_event_count_ci_low,activation_event_count_ci_high,unnecessary_intervention_rate_n_valid,unnecessary_intervention_rate_mean,unnecessary_intervention_rate_std,unnecessary_intervention_rate_median,unnecessary_intervention_rate_q1,unnecessary_intervention_rate_q3,unnecessary_intervention_rate_ci_low,unnecessary_intervention_rate_ci_high,intervention_latency_n_valid,intervention_latency_mean,intervention_latency_std,intervention_latency_median,intervention_latency_q1,intervention_latency_q3,intervention_latency_ci_low,intervention_latency_ci_high,completion_time_n_valid,completion_time_mean,completion_time_std,completion_time_median,completion_time_q1,completion_time_q3,completion_time_ci_low,completion_time_ci_high,path_length_ratio_n_valid,path_length_ratio_mean,path_length_ratio_std,path_length_ratio_median,path_length_ratio_q1,path_length_ratio_q3,path_length_ratio_ci_low,path_length_ratio_ci_high,final_formation_error_n_valid,final_formation_error_mean,final_formation_error_std,final_formation_error_median,final_formation_error_q1,final_formation_error_q3,final_formation_error_ci_low,final_formation_error_ci_high,mean_repulsion_norm_n_valid,mean_repulsion_norm_mean,mean_repulsion_norm_std,mean_repulsion_norm_median,mean_repulsion_norm_q1,mean_repulsion_norm_q3,mean_repulsion_norm_ci_low,mean_repulsion_norm_ci_high,max_repulsion_norm_n_valid,max_repulsion_norm_mean,max_repulsion_norm_std,max_repulsion_norm_median,max_repulsion_norm_q1,max_repulsion_norm_q3,max_repulsion_norm_ci_low,max_repulsion_norm_ci_high,integrated_squared_acceleration_n_valid,integrated_squared_acceleration_mean,integrated_squared_acceleration_std,integrated_squared_acceleration_median,integrated_squared_acceleration_q1,integrated_squared_acceleration_q3,integrated_squared_acceleration_ci_low,integrated_squared_acceleration_ci_high
ablation,ablation,staggered_crossing_delay,ABL_POSITION,10,0.1,0.017876213095072896,0.4041500267952385,10,0.5478618018690046,0.2200739651612438,0.5331473915618385,0.4245525364668931,0.7535939321855704,0.4009281397948934,0.7847431080634442,10,1.1,0.31622776601683794,1.0,1.0,1.0,1.0,1.0,10,1.9949980974197388,3.8205874973976046,0.849999189376831,0.7124993205070496,0.9999990463256836,0.6999993324279785,0.9999990463256836,10,0.24126101573705405,0.49838504272300166,0.07124441108896995,0.028198916281037475,0.123554629004344,0.0172612327968352,0.18257538758761446,10,2.373874632490966,3.9973202064017066,0.7642954939570967,0.6195092766290713,1.3528941021713505,0.6168301998018416,2.2459359005855375,3,9.458589712778727,9.06601360293479,4.578508138656616,4.228232502937317,12.248906135559082,3.8779568672180176,19.919304132461548,10,0.13852854011625876,0.15180327926098486,0.08005732749847119,0.07319974841478363,0.11835229427234535,0.07248416197126464,0.1305040097189864,10,2.2,0.6324555320336759,2.0,2.0,2.0,2.0,2.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,15.113821109135946,9.284922954404967,9.873893022537231,9.753618121147156,17.85406005382538,9.63334321975708,25.834227085113525,10,5.123777156416824,8.532871893344801,1.5172946375538219,1.4420188714711921,4.312839623763967,1.340228215847092,4.325354552391016,10,1.3036570056368615,2.0554931333734414,0.3361838837049027,0.2936641768118504,0.5079626659111107,0.27798163203574555,2.62985045240321,10,67.95427250757892,136.42692582333837,21.27504491230013,10.983802057314755,39.99915643972437,9.02573941793447,45.17511550784742,10,925.2070175573879,2298.3544723300834,129.0511389471446,37.03048484603649,279.02320441684947,30.834894983714424,521.8498504549785,10,3.6790453487411083,0.016193255231433046,3.6786045727500203,3.671400704370692,3.688297326473001,3.667044428599157,3.6933562891434573
complement,complement,assignment_crossing_4,DIST_OFF,10,0.9,0.5958499732047615,0.9821237869049271,10,0.7373302884087815,0.02924261069641499,0.7313774437066671,0.7222926268496789,0.7436014221572165,0.7195144729819399,0.7598669964778975,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10,0.7849992513656616,0.08181950669498732,0.7499992847442627,0.7499992847442627,0.7999992370605469,0.7499992847442627,0.7999992370605469,10,0.02908577900526203,0.010389625746158834,0.02825745006058175,0.0251061493027654,0.030863437932403127,0.022233046390869503,0.03102454001625,10,0.4971433094510309,0.03085542839565492,0.5000235178749105,0.484478262216424,0.5185265540749444,0.47204876639765925,0.5228169229918955,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,10,10.121085810661317,2.851398834529571,8.961459636688232,8.220861971378326,11.065200865268707,8.210773706436157,11.489554405212402,10,1.1254277943209605,0.048318805338506576,1.1099300472611862,1.0912031653524235,1.1511839210812689,1.0897360527866016,1.1593149277306958,10,0.1838470424952276,0.09299529930401709,0.21707029908260517,0.0878913940478344,0.2644165052876466,0.0739767837178573,0.2691333530414279,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.7246480257721666,0.011636463047943442,0.7255994570443332,0.7175994594136441,0.7349424080542398,0.7158282575597611,0.7352642477537051
complement,complement,assignment_crossing_4,DIST_ON,10,1.0,0.7224672001371107,0.9999999999999999,10,0.996309803575177,0.014145282035764076,0.9950338491890958,0.9914630690469777,0.9981670191401858,0.9906833616287491,1.0051720286403234,10,0.8,0.4216370213557839,1.0,1.0,1.0,0.5,1.0,10,0.10499989986419674,0.07245681463067813,0.0999999046325683,0.0999999046325683,0.13749986886978147,0.04999995231628415,0.1499998569488525,10,1.597633488455936e-05,4.244827653748972e-05,1.7387924296466556e-06,2.485317346982938e-07,4.959031597575509e-06,1.2559935047075228e-07,6.509809123802594e-06,10,0.4918725360038307,0.03566143874160611,0.48417434299636375,0.4648046889931206,0.5191141444041083,0.4642401880373292,0.52770064613801,10,6.097275710105896,4.2322745090763805,4.368628740310669,4.207614719867706,4.707801699638367,4.187681436538696,8.280596017837524,10,0.05216454581720807,0.010698362931394059,0.05466025735178835,0.053754955597950176,0.05738175427040317,0.0454813831672493,0.05776364982770625,10,2.0,0.0,2.0,2.0,2.0,2.0,2.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,12.305202102661132,4.229028416515416,10.513915300369263,10.42374140024185,10.924283444881441,10.403763771057127,14.577081561088562,10,1.195971399407595,0.11616533104794906,1.1531439289884602,1.1356652239237897,1.168994338566841,1.130681871625125,1.2510283241278635,10,0.1472898670878508,0.10021857093744396,0.11170488212268176,0.06337648320698028,0.24370120072817666,0.0526016000943829,0.2605395001883477,10,2.9893881496602797,0.1724638965307192,2.9847855954598264,2.900206537023456,3.061475899950362,2.876853504234948,3.0984572779676407,10,11.465089399567326,0.880871719232416,11.452451747275648,11.231083153881954,11.82019073455303,10.800315974724723,11.830632160250854,10,2.90305220238386,0.08113432848909372,2.9133372261914916,2.885561343761195,2.934520621914139,2.8429020165570633,2.9377353451406307
complement,complement,assignment_crossing_4,SAFE_OFF,10,0.9,0.5958499732047615,0.9821237869049271,10,2.8877241558165254,0.026847273216095913,2.883867159456274,2.874804324283404,2.9079674870109518,2.8687992125481587,2.909188509576805,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.4846396473254881,0.03233696682766702,0.49631427405364303,0.4646814600255409,0.5021982752538993,0.4608204905683067,0.5027715432472866,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,10,9.845461106300354,5.081277757331038,8.08478057384491,8.031469404697418,8.195471107959747,8.025452852249146,8.835413932800293,10,1.1118657824633682,0.10899764945817506,1.081778187212354,1.0694793284493869,1.083518176155182,1.064594919490383,1.1032805014140836,10,0.13070241357931783,0.083852204105209,0.09792431363154144,0.07204666368401438,0.16939566663855699,0.0705760880200065,0.1988667832070172,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.6147148744306706,0.009347524971498967,0.6147563815901769,0.612054780439588,0.6218602846160959,0.6081114710523051,0.6222102144560928
complement,complement,assignment_crossing_4,SAFE_ON,10,1.0,0.7224672001371107,0.9999999999999999,10,2.8810752242364863,0.045990098531513604,2.8855043013897097,2.873478569984429,2.90324735240421,2.8693094835299022,2.909773725444799,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5301513594972698,0.15146506776715804,0.48696806150918964,0.46901891591461703,0.5084827722321985,0.4680621071709271,0.5092204525101106,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,10,8.630882954597473,0.07432320276996084,8.63760769367218,8.56326937675476,8.685419261455536,8.54914116859436,8.687334656715393,10,1.055909656181988,0.010749945276295273,1.0522407836093928,1.0484274543494418,1.058976318392301,1.0480246714725627,1.0627225767765873,10,0.12506635245759726,0.03584323686639571,0.1303089903067819,0.09947407493219129,0.15492179959035854,0.0972325451731811,0.1587748340405748,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.6155143186473285,0.006467943719345401,0.6158570486407733,0.6147821764211997,0.6172016360115318,0.6130742498463905,0.6184000420053561
complement,complement,assignment_dense_8,DIST_OFF,10,1.0,0.7224672001371107,0.9999999999999999,10,1.383785226547698,0.02975762440323947,1.3848311345727804,1.3606658781320968,1.4068326118258245,1.3568977903770665,1.4112758914463035,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.38085409410424564,0.040337396755441526,0.38761996466878634,0.3443392005521525,0.40683228614392364,0.3404179604436712,0.4110244540240715,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,10,9.570630741119384,2.853292227299866,8.238088965415955,8.173237562179565,9.74409478902817,8.16897165775299,9.809783935546877,10,1.121807765920486,0.08352690087372008,1.084554426186533,1.074055403909097,1.1431005958315636,1.0717068631808506,1.1463142072790626,10,0.1504558427834953,0.07618021988717937,0.14229019699638515,0.0920264350594705,0.2137971186073116,0.07904523845999326,0.21489557699877115,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.4042627807593292,0.018544275305555233,0.39943986349360017,0.39505029296592925,0.4185688948837438,0.3908526657162309,0.4246321415020197
complement,complement,assignment_dense_8,DIST_ON,10,1.0,0.7224672001371107,0.9999999999999999,10,1.4262376967791957,0.020050553045623264,1.4194592860389041,1.4089997451058247,1.4403556111049263,1.408827848236366,1.4430356686766006,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.3507210558735457,0.02394677952729962,0.35013026591778673,0.33284509384994565,0.3584778918833572,0.3305216524993787,0.363801188675249,10,3.7602627515792846,0.10856444905344984,3.779977560043335,3.751353681087494,3.819891035556793,3.6799038648605347,3.830940008163452,10,0.03695913244190799,0.0037963936828556114,0.0378136370539289,0.03335777557818595,0.03954957580290103,0.0330159467518354,0.0397886989097129,10,2.0,0.0,2.0,2.0,2.0,2.0,2.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,8.741810417175293,0.10338680940869793,8.752070188522339,8.701021015644073,8.806707561016083,8.661866903305054,8.815575361251831,10,1.0705968194870237,0.006818117713803135,1.0699144887764598,1.0671489782884769,1.0728456485753193,1.0663369700662653,1.0754956227923849,10,0.09800968390653145,0.0390681382913797,0.08098480567397645,0.0699801663433687,0.13042469679818944,0.06919455731146579,0.1382109078648432,10,0.3726056447954975,0.05471909374778445,0.3898557331722565,0.3299279373871724,0.4177977270281996,0.3191734733119851,0.4180955612858656,10,1.315342998126522,0.16788110726021224,1.3725159753838034,1.1883033176983753,1.4598081579380262,1.1692029588342772,1.4621394900789768,10,0.4109734126138017,0.02483801256203687,0.4074460537229023,0.3911367638781594,0.42468088323656233,0.3882221250231735,0.4307575309472401
complement,complement,assignment_dense_8,SAFE_OFF,10,1.0,0.7224672001371107,0.9999999999999999,10,1.906233517317938,0.04132696946624634,1.9211987454188966,1.8834168776665103,1.9281554830135386,1.8808893457463884,1.929763752156618,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.35768490927090524,0.025306780541336445,0.35562955391874007,0.33513868022126403,0.3717783517246489,0.3320145439893232,0.3737603707523171,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,10,8.109174990653992,0.06688867459504426,8.123522877693176,8.05614972114563,8.146945416927338,8.045865535736084,8.156628370285034,10,1.0752613809266198,0.008041367225153376,1.0739754209664771,1.0702398582307713,1.0778277909530785,1.069404806837646,1.0820566722486031,10,0.09778133936838815,0.03615223973419296,0.09078409244321575,0.0685175939486744,0.12451797164311129,0.0656651439364129,0.12925948852497404,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.3428605893595627,0.021429504737717216,0.35028227408110396,0.3232195339459393,0.3593493521461958,0.31973180918420296,0.3610627234846226
complement,complement,assignment_dense_8,SAFE_ON,10,1.0,0.7224672001371107,0.9999999999999999,10,1.909171945528327,0.044222884051638336,1.9081728552821717,1.88633398201525,1.9303871236117491,1.8821196017287387,1.9367704419213565,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.39648024816545013,0.047908658437748795,0.40202747779724285,0.3528005435143532,0.4392334803206959,0.3435884136074161,0.4421392441247622,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,10,9.198846054077148,0.8366676448435006,8.739606976509094,8.691563665866852,9.762976348400114,8.652295231819153,10.065531253814695,10,1.0888814349529388,0.03325555688514273,1.0818831485131126,1.058982818688976,1.1157160908425927,1.0570049974059004,1.1221201773956526,10,0.1663024769486228,0.07497866280499102,0.18334164099792494,0.10060149111153929,0.22644298958954695,0.0833388824141337,0.2275957142310598,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.3648543863920781,0.07498933838391307,0.32508636091490417,0.3196571158409112,0.3718538240922016,0.31630632133003933,0.43345313307936284
fallback,fallback,dense_local_bias,IAPF_OFF,10,0.3,0.10779126740630099,0.6032218525388546,10,0.707966823911804,0.04134305595770294,0.7030086418928112,0.6825516721820905,0.7348299883649134,0.6804190208483368,0.7431868458636556,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10,1.3199987411499023,0.10327945740380462,1.3499987125396729,1.2249988317489624,1.399998664855957,1.1999988555908203,1.399998664855957,10,0.057972003405889816,0.013241012227667517,0.0585933413920027,0.046692639188934446,0.07074703800416712,0.0459465264716597,0.071230796251389,10,0.3591375739823591,0.03864717804095955,0.34675601509730436,0.3382003939251181,0.3976242837038937,0.33659939838603,0.3985774686673796,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,10,11.747983002662659,1.6249331394156705,10.598471760749817,10.467335999011993,13.571557879447939,10.457815647125244,13.608157873153688,10,1.3619802231802876,0.05044623746585218,1.3294484170889387,1.3223701037648719,1.4164429207354137,1.3220302384776192,1.4231625447885283,10,0.19245593382298548,0.08757145869686572,0.1493831328858093,0.1215681872336529,0.29164446770706376,0.11806082528202444,0.29222395791811345,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.22599121947328543,0.0033018972655749533,0.22608800160474635,0.22321481931210657,0.2286238621824927,0.2231134146153417,0.2287425671004278
