family,scenario,metric,test,method_a,method_b,difference_direction,n_total,n_valid,paired_median_difference,bootstrap_ci_low,bootstrap_ci_high,statistic,p_value,a_success_b_failure,a_failure_b_success,fallback_rescue_rate
nonintrusive,safe_parallel_groups,minimum_inter_agent_distance,wilcoxon,IAPF_OFF,IAPF_ON,b_minus_a,10,10,0.000806076463009564,-0.0013663140345709923,0.005752998475546112,18.0,0.375,,,
nonintrusive,safe_parallel_groups,violation_event_count,wilcoxon,IAPF_OFF,IAPF_ON,a_minus_b,10,10,0.0,0.0,0.0,0.0,1.0,,,
nonintrusive,safe_parallel_groups,risk_exposure_time,wilcoxon,IAPF_OFF,IAPF_ON,a_minus_b,10,10,0.0,0.0,0.0,0.0,1.0,,,
nonintrusive,safe_parallel_groups,risk_integral,wilcoxon,IAPF_OFF,IAPF_ON,a_minus_b,10,10,0.0,0.0,0.0,0.0,1.0,,,
nonintrusive,safe_parallel_groups,mean_trajectory_deviation,wilcoxon,IAPF_OFF,IAPF_ON,b_minus_a,10,10,0.034224722910975114,-0.008774894219875984,0.060277892312007975,18.0,0.375,,,
nonintrusive,safe_parallel_groups,recovery_time,wilcoxon,IAPF_OFF,IAPF_ON,b_minus_a,10,10,0.0,0.0,0.0,0.0,1.0,,,
nonintrusive,safe_parallel_groups,iapf_activation_ratio,wilcoxon,IAPF_OFF,IAPF_ON,b_minus_a,10,10,0.0,0.0,0.0,0.0,1.0,,,
nonintrusive,safe_parallel_groups,activation_event_count,wilcoxon,IAPF_OFF,IAPF_ON,b_minus_a,10,10,0.0,0.0,0.0,0.0,1.0,,,
nonintrusive,safe_parallel_groups,unnecessary_intervention_rate,wilcoxon,IAPF_OFF,IAPF_ON,b_minus_a,10,10,0.0,0.0,0.0,0.0,1.0,,,
nonintrusive,safe_parallel_groups,intervention_latency,wilcoxon,IAPF_OFF,IAPF_ON,b_minus_a,10,0,nan,nan,nan,nan,nan,,,
nonintrusive,safe_parallel_groups,completion_time,wilcoxon,IAPF_OFF,IAPF_ON,b_minus_a,10,10,0.31205976009368896,-1.319785475730895,1.5434434413909903,26.0,0.921875,,,
nonintrusive,safe_parallel_groups,path_length_ratio,wilcoxon,IAPF_OFF,IAPF_ON,b_minus_a,10,10,-0.023696393366055668,-0.031928412123420014,-0.00803308707956829,4.0,0.013671875,,,
nonintrusive,safe_parallel_groups,final_formation_error,wilcoxon,IAPF_OFF,IAPF_ON,b_minus_a,10,10,-0.026070369900628946,-0.08962102218674804,0.06191562315169816,23.0,0.6953125,,,
