experiment_id,batch_id,phase,family,scenario,method,trial,seed,minimum_inter_agent_distance,mean_min_distance,closest_pair,collision_event_count,violation_sample_count,violation_event_count,risk_exposure_time,risk_integral,iapf_activation_time,iapf_activation_ratio,mean_repulsion_norm,max_repulsion_norm,position_saturation_ratio,acceleration_saturation_ratio,peak_acceleration_setpoint,integrated_squared_acceleration,activation_event_count,unnecessary_intervention_rate,intervention_latency,mean_trajectory_deviation,max_trajectory_deviation,actual_path_length,nominal_path_length,path_length_ratio,completion_time,recovery_time,stall_event_count,safe_completion_ratio,final_formation_error,mission_success,failure_reason,ablation_mode
staggered_crossing_delay-ABL_POSITION-t01-abd0a1bcce,exp08-v2-formal-20260730,ablation,ablation,staggered_crossing_delay,ABL_POSITION,1,42,0.1703395964121303,3.61710147886744,1-2,1,20,1,0.9999990463256836,0.2896971307424979,2.1800432205200195,0.0790010013704487,452.3809042093799,7425.470418276002,0.0356643356643356,0.0,1.2810402371704286,3.682035124229126,2,0.0,0.0,3.709730196865185,15.430805576952196,74.22300743945458,14.116992123999,5.257706938383487,,,0,0.0,4.920318972182836,False,collision,iapf_position
staggered_crossing_delay-ABL_POSITION-t02-a3767eb715,exp08-v2-formal-20260730,ablation,ablation,staggered_crossing_delay,ABL_POSITION,2,43,0.4169114208731153,5.513378075595277,1-2,1,17,1,0.849999189376831,0.1216855272610909,2.0203044414520264,0.0732140650836541,40.91642191197331,285.6672607505141,0.0293706293706293,0.0,1.2805089719328338,3.671768505369056,2,0.0,0.0,1.2558956681580933,9.783620271660665,60.25723270541968,14.094287058634723,4.275294837882821,,,0,0.5,0.5097815289189147,False,collision,iapf_position
staggered_crossing_delay-ABL_POSITION-t03-6af40344e4,exp08-v2-formal-20260730,ablation,ablation,staggered_crossing_delay,ABL_POSITION,3,44,0.4474758832482267,5.144494523173331,1-2,1,20,1,0.9999990463256836,0.1241776629187617,2.2598888874053955,0.0818971479324222,37.24736002297757,259.09103541585546,0.037062937062937,0.0,1.2875526333138811,3.7022743954938258,2,0.0,0.0,0.6168301998018416,3.120342621870864,20.675860943825125,14.243834116973083,1.4515656931996688,25.834227085113525,19.919304132461548,0,1.0,0.2927132743556567,False,collision,iapf_position
staggered_crossing_delay-ABL_POSITION-t04-cc16bcdfe1,exp08-v2-formal-20260730,ablation,ablation,staggered_crossing_delay,ABL_POSITION,4,45,0.3127792262945193,6.745716930202624,1-2,2,257,2,12.849987745285034,1.639825450690077,15.479663848876951,0.5609821664612974,67.96643266891645,879.893849398934,0.4524475524475524,0.0,1.2867806459305875,3.687298252146373,4,0.0,0.0,13.425773600192306,94.0339805569768,412.38425479693024,14.21667004924131,29.007091911719343,,,0,0.0,5.460475047958683,False,collision,iapf_position
staggered_crossing_delay-ABL_POSITION-t05-57fb8810cc,exp08-v2-formal-20260730,ablation,ablation,staggered_crossing_delay,ABL_POSITION,5,46,0.7949993706984116,5.1498333447728415,1-2,0,15,1,0.7499992847442627,0.0172612327968352,2.0198657512664795,0.0731949761918268,9.02573941793447,30.834894983714424,0.0272727272727272,0.0,1.2831904005134815,3.671278104037904,2,0.0,0.0,0.598874272973397,3.137088129083125,20.46241116742008,14.22149756414061,1.4388365975617,,,0,0.0,0.3393819326235832,False,timeout,iapf_position
staggered_crossing_delay-ABL_POSITION-t06-b43d29b826,exp08-v2-formal-20260730,ablation,ablation,staggered_crossing_delay,ABL_POSITION,6,47,0.8249282254245727,4.575416951883354,1-2,0,5,1,0.2499997615814209,0.0040266511496977,1.6800296306610107,0.1305040097189864,4.506298287999152,26.89676919772903,0.0216294160057678,0.0,1.2905557438735,3.6751740212709145,2,0.0,0.0,0.7821416043058897,3.379745841739097,16.755876323389682,13.751897758050768,1.2184410194280493,9.873893022537231,4.578508138656616,0,1.0,0.2594463798910595,True,none,iapf_position
staggered_crossing_delay-ABL_POSITION-t07-1d8b711d97,exp08-v2-formal-20260730,ablation,ablation,staggered_crossing_delay,ABL_POSITION,7,48,0.6601464045519488,4.512102758278751,1-2,1,17,1,0.849999189376831,0.0610119667336443,2.0998902320861816,0.1662239948095165,16.857989975455606,55.61725443300267,0.0647534952170713,0.0,1.2890509786059037,3.6623203518292575,2,0.0,0.0,0.7464493836083038,3.045324420995029,16.605017832961913,13.51220032246669,1.228890738494515,9.63334321975708,3.8779568672180176,0,1.0,0.1224441245835273,False,collision,iapf_position
staggered_crossing_delay-ABL_POSITION-t08-b5d6f1cd21,exp08-v2-formal-20260730,ablation,ablation,staggered_crossing_delay,ABL_POSITION,8,49,0.4890770532952675,5.076962629966541,1-2,1,14,1,0.6999993324279785,0.0670351777452089,1.8599274158477783,0.067400127109067,22.3837983467784,163.805851511023,0.0244755244755244,0.0,1.2854988784545611,3.688630351248544,2,0.0,0.0,1.3852269135091029,9.315669857530786,61.00897967305485,14.10496617886033,4.325354552391016,,,1,0.5,0.502506076887699,False,collision,iapf_position
staggered_crossing_delay-ABL_POSITION-t09-2bfd055f1e,exp08-v2-formal-20260730,ablation,ablation,staggered_crossing_delay,ABL_POSITION,9,50,0.5772177298284096,5.162695204299359,1-2,1,20,1,0.9999990463256836,0.075453644432731,2.2398202419281006,0.0811136536264937,20.16629147782186,94.2964263832662,0.035651869975533,0.0,1.285505394556852,3.699414326140542,2,0.0,0.0,0.6275465071107605,3.1313184117267405,21.252486313853897,14.298516485542368,1.4863420506136342,,,0,0.0,0.3329858347862223,False,collision,iapf_position
staggered_crossing_delay-ABL_POSITION-t10-39588337f7,exp08-v2-formal-20260730,ablation,ablation,staggered_crossing_delay,ABL_POSITION,10,51,0.7847431080634442,5.132533805858223,1-2,0,14,1,0.6999993324279785,0.0124357128999959,1.980024337768555,0.0717542588588752,8.091488756552561,30.496415223839342,0.0251748251748251,0.0,1.2798317191962107,3.65026005564554,2,0.0,0.0,0.5902779783847829,3.159326480583577,21.701489774595707,14.016811676628762,1.5482472244940095,,,0,1.0,0.2965168841804316,False,timeout,iapf_position
