uav_a,uav_b,minimum_distance,collision_event_count,violation_sample_count,violation_event_count,risk_exposure_time,near_miss_duration,risk_integral
1,2,6.380711984305232,0,0,0,0.0,0.0,0.0
1,3,3.8548806858579057,0,0,0,0.0,0.0,0.0
1,4,9.88230402358096,0,0,0,0.0,0.0,0.0
1,5,4.814319041360419,0,0,0,0.0,0.0,0.0
1,6,3.380075742842926,0,0,0,0.0,0.0,0.0
1,7,4.178187118372447,0,0,0,0.0,0.0,0.0
1,8,6.251354936215426,0,0,0,0.0,0.0,0.0
2,3,3.4206589447053046,0,0,0,0.0,0.0,0.0
2,4,4.81050112672882,0,0,0,0.0,0.0,0.0
2,5,6.727029749963736,0,0,0,0.0,0.0,0.0
2,6,3.4564395963502657,0,0,0,0.0,0.0,0.0
2,7,2.189876525224393,0,0,0,0.0,0.0,0.0
2,8,2.030692229480289,0,0,0,0.0,0.0,0.0
3,4,8.165232523762162,0,0,0,0.0,0.0,0.0
3,5,8.889883459157723,0,0,0,0.0,0.0,0.0
3,6,3.8947513491457832,0,0,0,0.0,0.0,0.0
3,7,2.3645646043143524,0,0,0,0.0,0.0,0.0
3,8,6.1280513801855365,0,0,0,0.0,0.0,0.0
4,5,8.5504368514428,0,0,0,0.0,0.0,0.0
4,6,7.020000759667,0,0,0,0.0,0.0,0.0
4,7,5.665428474111896,0,0,0,0.0,0.0,0.0
4,8,3.323820711415563,0,0,0,0.0,0.0,0.0
5,6,1.4107443903734245,0,0,0,0.0,1.1499989032745361,0.0
5,7,3.5171842267467515,0,0,0,0.0,0.0,0.0
5,8,5.875932923621554,0,0,0,0.0,0.0,0.0
6,7,2.151031944914363,0,0,0,0.0,0.0,0.0
6,8,4.66906440355926,0,0,0,0.0,0.0,0.0
7,8,2.394795564404842,0,0,0,0.0,0.0,0.0
