uav_a,uav_b,minimum_distance,collision_event_count,violation_sample_count,violation_event_count,risk_exposure_time,near_miss_duration,risk_integral
1,2,2.11554007399384,0,0,0,0.0,0.0,0.0
1,3,3.098912302193552,0,0,0,0.0,0.0,0.0
1,4,4.677348836761793,0,0,0,0.0,0.0,0.0
1,5,4.04888960910274,0,0,0,0.0,0.0,0.0
1,6,2.3620854590363485,0,0,0,0.0,0.0,0.0
2,3,1.086111920405518,0,0,0,0.0,1.2999987602233887,0.0
2,4,3.9639606550471314,0,0,0,0.0,0.0,0.0
2,5,4.650532775479508,0,0,0,0.0,0.0,0.0
2,6,4.0197708973236965,0,0,0,0.0,0.0,0.0
3,4,2.242277439880211,0,0,0,0.0,0.0,0.0
3,5,3.999985417331844,0,0,0,0.0,0.0,0.0
3,6,4.355774064968957,0,0,0,0.0,0.0,0.0
4,5,2.35669462692727,0,0,0,0.0,0.0,0.0
4,6,4.042554781203582,0,0,0,0.0,0.0,0.0
5,6,2.307532488400449,0,0,0,0.0,0.0,0.0
