batch_id,task_type,attempt_id,uav_id,condition,has_odom,odom_fresh,has_vehicle_status,armed,offboard,failsafe,speed,readiness_success
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0001,all,all_checks,,,,,,,,True
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0002,all,all_checks,,,,,,,,True
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0003,all,all_checks,,,,,,,,True
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0004,all,all_checks,,,,,,,,True
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0005,all,all_checks,,,,,,,,True
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0006,all,all_checks,,,,,,,,True
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0007,all,all_checks,,,,,,,,True
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0008,all,all_checks,,,,,,,,True
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0009,all,all_checks,,,,,,,,True
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0010,all,all_checks,,,,,,,,True
