candidate_id,omega_c_multiplier,omega_o_multiplier,trial_count,formal_pass_count,zero_crossings_fail_count,command_jerk_fail_count,other_hard_failure_count,counterfactual_pass_count_excluding_zero_crossings,metric_extraction_success_count
A1-OC067-OO067,0.67,0.67,12,0,12,0,1,11,12
A1-OC067-OO083,0.67,0.83,12,1,11,0,0,12,12
A1-OC067-OO100,0.67,1.0,12,0,12,0,0,12,12
A1-OC067-OO117,0.67,1.17,12,0,11,0,0,11,11
A1-OC067-OO133,0.67,1.33,12,0,12,1,0,11,12
A1-OC083-OO067,0.83,0.67,12,1,11,0,0,12,12
A1-OC083-OO083,0.83,0.83,12,2,9,0,0,11,11
A1-OC083-OO100,0.83,1.0,12,1,11,0,0,12,12
A1-OC083-OO117,0.83,1.17,12,0,12,1,0,11,12
A1-OC083-OO133,0.83,1.33,12,0,11,0,0,11,11
A1-OC100-OO067,1.0,0.67,12,1,11,0,0,12,12
A1-OC100-OO083,1.0,0.83,12,3,9,0,0,12,12
A1-OC100-OO100,1.0,1.0,12,0,11,0,1,11,12
A1-OC100-OO117,1.0,1.17,12,1,11,0,0,12,12
A1-OC100-OO133,1.0,1.33,12,0,12,5,0,7,12
A1-OC117-OO067,1.17,0.67,12,3,9,0,0,12,12
A1-OC117-OO083,1.17,0.83,12,3,9,0,0,12,12
A1-OC117-OO100,1.17,1.0,12,1,11,0,0,12,12
A1-OC117-OO117,1.17,1.17,12,0,12,1,0,11,12
A1-OC117-OO133,1.17,1.33,12,0,11,6,0,6,12
A1-OC133-OO067,1.33,0.67,12,4,8,0,0,12,12
A1-OC133-OO083,1.33,0.83,12,3,7,0,0,10,10
A1-OC133-OO100,1.33,1.0,12,2,10,5,0,7,12
A1-OC133-OO117,1.33,1.17,12,0,11,3,0,9,12
A1-OC133-OO133,1.33,1.33,12,0,11,9,1,3,12
