trial_key,stage,scene,style,cold_start,seed,uav_count,time_mode,control_mode
screening_S1_smooth_cold1,screening,S1,smooth,1,c0f-screen-20260825,3,explicit,ladrc_acceleration
screening_S1_normal_cold1,screening,S1,normal,1,c0f-screen-20260825,3,explicit,ladrc_acceleration
screening_S1_aggressive_cold1,screening,S1,aggressive,1,c0f-screen-20260825,3,explicit,ladrc_acceleration
screening_S2_smooth_cold1,screening,S2,smooth,1,c0f-screen-20260825,4,explicit,ladrc_acceleration
screening_S2_normal_cold1,screening,S2,normal,1,c0f-screen-20260825,4,explicit,ladrc_acceleration
screening_S2_aggressive_cold1,screening,S2,aggressive,1,c0f-screen-20260825,4,explicit,ladrc_acceleration
screening_S3_smooth_cold1,screening,S3,smooth,1,c0f-screen-20260825,4,auto,ladrc_acceleration
screening_S3_normal_cold1,screening,S3,normal,1,c0f-screen-20260825,4,auto,ladrc_acceleration
screening_S3_aggressive_cold1,screening,S3,aggressive,1,c0f-screen-20260825,4,auto,ladrc_acceleration
screening_S4_smooth_cold1,screening,S4,smooth,1,c0f-screen-20260825,8,auto,ladrc_acceleration
screening_S4_normal_cold1,screening,S4,normal,1,c0f-screen-20260825,8,auto,ladrc_acceleration
screening_S4_aggressive_cold1,screening,S4,aggressive,1,c0f-screen-20260825,8,auto,ladrc_acceleration
style_switch_screening,style_switch_screening,SWITCH,style_switch,1,c0f-screen-20260825,3,explicit,ladrc_acceleration
confirmation_S1_smooth_cold1,confirmation,S1,smooth,1,c0f-confirm-a-20260825,3,explicit,ladrc_acceleration
confirmation_S1_smooth_cold2,confirmation,S1,smooth,2,c0f-confirm-b-20260825,3,explicit,ladrc_acceleration
confirmation_S1_normal_cold1,confirmation,S1,normal,1,c0f-confirm-a-20260825,3,explicit,ladrc_acceleration
confirmation_S1_normal_cold2,confirmation,S1,normal,2,c0f-confirm-b-20260825,3,explicit,ladrc_acceleration
confirmation_S1_aggressive_cold1,confirmation,S1,aggressive,1,c0f-confirm-a-20260825,3,explicit,ladrc_acceleration
confirmation_S1_aggressive_cold2,confirmation,S1,aggressive,2,c0f-confirm-b-20260825,3,explicit,ladrc_acceleration
confirmation_S2_smooth_cold1,confirmation,S2,smooth,1,c0f-confirm-a-20260825,4,explicit,ladrc_acceleration
confirmation_S2_smooth_cold2,confirmation,S2,smooth,2,c0f-confirm-b-20260825,4,explicit,ladrc_acceleration
confirmation_S2_normal_cold1,confirmation,S2,normal,1,c0f-confirm-a-20260825,4,explicit,ladrc_acceleration
confirmation_S2_normal_cold2,confirmation,S2,normal,2,c0f-confirm-b-20260825,4,explicit,ladrc_acceleration
confirmation_S2_aggressive_cold1,confirmation,S2,aggressive,1,c0f-confirm-a-20260825,4,explicit,ladrc_acceleration
confirmation_S2_aggressive_cold2,confirmation,S2,aggressive,2,c0f-confirm-b-20260825,4,explicit,ladrc_acceleration
confirmation_S3_smooth_cold1,confirmation,S3,smooth,1,c0f-confirm-a-20260825,4,auto,ladrc_acceleration
confirmation_S3_smooth_cold2,confirmation,S3,smooth,2,c0f-confirm-b-20260825,4,auto,ladrc_acceleration
confirmation_S3_normal_cold1,confirmation,S3,normal,1,c0f-confirm-a-20260825,4,auto,ladrc_acceleration
confirmation_S3_normal_cold2,confirmation,S3,normal,2,c0f-confirm-b-20260825,4,auto,ladrc_acceleration
confirmation_S3_aggressive_cold1,confirmation,S3,aggressive,1,c0f-confirm-a-20260825,4,auto,ladrc_acceleration
confirmation_S3_aggressive_cold2,confirmation,S3,aggressive,2,c0f-confirm-b-20260825,4,auto,ladrc_acceleration
confirmation_S4_smooth_cold1,confirmation,S4,smooth,1,c0f-confirm-a-20260825,8,auto,ladrc_acceleration
confirmation_S4_smooth_cold2,confirmation,S4,smooth,2,c0f-confirm-b-20260825,8,auto,ladrc_acceleration
confirmation_S4_normal_cold1,confirmation,S4,normal,1,c0f-confirm-a-20260825,8,auto,ladrc_acceleration
confirmation_S4_normal_cold2,confirmation,S4,normal,2,c0f-confirm-b-20260825,8,auto,ladrc_acceleration
confirmation_S4_aggressive_cold1,confirmation,S4,aggressive,1,c0f-confirm-a-20260825,8,auto,ladrc_acceleration
confirmation_S4_aggressive_cold2,confirmation,S4,aggressive,2,c0f-confirm-b-20260825,8,auto,ladrc_acceleration
style_switch_confirmation,style_switch_confirmation,SWITCH,style_switch,1,c0f-confirm-a-20260825,3,explicit,ladrc_acceleration
