population,group_level,family,scenario_id,condition,endpoint,endpoint_kind,N,mean,median,sd,q1,q3,min,max,numerator,denominator,proportion,ci_low,ci_high,availability_note
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F0,j_hard_pair_s,continuous,14,1.100783007485526,1.1130334138870239,0.051437543337795003,1.0830444693565369,1.1267420053482056,0.98545622825622559,1.1754863262176514,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F0,realized_min_separation_m,continuous,14,0.32717526589480656,0.16867088401339508,0.25864239423160562,0.13172184064622383,0.64334868188143346,0.072760911546803364,0.68450579955360025,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F0,hard_risk_event_count,count,14,2,2,0,2,2,2,2,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F0,predicted_min_separation_m,continuous,14,0.42748229992745773,0.42748229992745784,1.1521328816827454e-16,0.42748229992745784,0.42748229992745784,0.42748229992745784,0.42748229992745784,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F0,predicted_hard_conflict_count,count,14,2,2,0,2,2,2,2,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F0,controller_near_limit_fraction,continuous,14,0.0037500000000000003,0.0025000000000000001,0.0042247553411183109,0,0.0062500000000000003,0,0.01125,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F0,any_realized_hard_risk,binary,14,,,,,,,,14,14,1,0.7846891972623643,1,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F0,mission_success,binary,14,,,,,,,,14,14,1,0.7846891972623643,1,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F0,failsafe_seen,binary,14,,,,,,,,0,14,0,0,0.21531080273763575,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F1,j_hard_pair_s,continuous,15,1.0946132818857828,1.0888278484344482,0.085097834001824427,1.0438631772994995,1.1454981565475464,0.93580126762390137,1.27046799659729,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F1,realized_min_separation_m,continuous,15,0.36438421880936894,0.22994625913498484,0.2575818691292947,0.12813250780124669,0.64633849519863973,0.086782205750395983,0.68399355150193486,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F1,hard_risk_event_count,count,15,2,2,0,2,2,2,2,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F1,predicted_min_separation_m,continuous,15,0.42748229992745768,0.42748229992745784,1.7237850130861175e-16,0.42748229992745784,0.42748229992745784,0.42748229992745784,0.42748229992745784,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F1,predicted_hard_conflict_count,count,15,2,2,0,2,2,2,2,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F1,controller_near_limit_fraction,continuous,15,0.016458333333333335,0.013125,0.011191980015469411,0.0081250000000000003,0.025000000000000001,0,0.033750000000000002,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F1,any_realized_hard_risk,binary,15,,,,,,,,15,15,1,0.79611669896415138,0.99999999999999989,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F1,mission_success,binary,15,,,,,,,,15,15,1,0.79611669896415138,0.99999999999999989,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P0_F1,failsafe_seen,binary,15,,,,,,,,0,15,0,0,0.20388330103584854,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F0,j_hard_pair_s,continuous,15,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F0,realized_min_separation_m,continuous,15,1.9509155625079082,1.9526087279935114,0.0080520881387644572,1.9455387192088585,1.9578581063641618,1.9305132908808049,1.9595634589218218,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F0,hard_risk_event_count,count,15,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F0,predicted_min_separation_m,continuous,15,2,2,0,2,2,2,2,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F0,predicted_hard_conflict_count,count,15,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F0,controller_near_limit_fraction,continuous,15,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F0,any_realized_hard_risk,binary,15,,,,,,,,0,15,0,0,0.20388330103584854,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F0,mission_success,binary,15,,,,,,,,15,15,1,0.79611669896415138,0.99999999999999989,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F0,failsafe_seen,binary,15,,,,,,,,0,15,0,0,0.20388330103584854,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F1,j_hard_pair_s,continuous,15,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F1,realized_min_separation_m,continuous,15,1.9513258397976154,1.9514025430463457,0.006789039271762159,1.9491342884295677,1.9569398503325266,1.9365990528525929,1.959562221944811,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F1,hard_risk_event_count,count,15,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F1,predicted_min_separation_m,continuous,15,2,2,0,2,2,2,2,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F1,predicted_hard_conflict_count,count,15,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F1,controller_near_limit_fraction,continuous,15,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F1,any_realized_hard_risk,binary,15,,,,,,,,0,15,0,0,0.20388330103584854,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F1,mission_success,binary,15,,,,,,,,15,15,1,0.79611669896415138,0.99999999999999989,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-01,P1_F1,failsafe_seen,binary,15,,,,,,,,0,15,0,0,0.20388330103584854,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F0,j_hard_pair_s,continuous,11,2.5366959355094214,2.0600428581237793,1.9465598938967075,1.887342095375061,2.1086887121200562,1.3510751724243164,8.3079719543457031,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F0,realized_min_separation_m,continuous,11,0.069087620615216463,0.060572294224406076,0.033052068784241086,0.056768718275629584,0.095067836604218692,0.015696554262081101,0.1243325342357217,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F0,hard_risk_event_count,count,11,2.4545454545454546,2,1.5075567228888178,2,2,2,7,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F0,predicted_min_separation_m,continuous,11,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F0,predicted_hard_conflict_count,count,11,2,2,0,2,2,2,2,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F0,controller_near_limit_fraction,continuous,11,0.067293267912684224,0.044782608695652176,0.06138764809721621,0.038482538737154577,0.06152173913043478,0,0.19608695652173913,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F0,any_realized_hard_risk,binary,11,,,,,,,,11,11,1,0.7411670330319684,1,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F0,mission_success,binary,11,,,,,,,,11,11,1,0.7411670330319684,1,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F0,failsafe_seen,binary,11,,,,,,,,0,11,0,0,0.25883296696803165,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F1,j_hard_pair_s,continuous,14,2.7247718913214549,2.3406823873519897,1.3959544203386773,2.143751859664917,2.9491427540779114,1.479123592376709,7.0858626365661621,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F1,realized_min_separation_m,continuous,14,0.11411162369774631,0.12173874629630206,0.04794481461209895,0.080860957723281709,0.1432922716571339,0.035204225206576817,0.18872974849604859,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F1,hard_risk_event_count,count,14,2.2142857142857144,2,0.80178372573727319,2,2,2,5,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F1,predicted_min_separation_m,continuous,14,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F1,predicted_hard_conflict_count,count,14,2,2,0,2,2,2,2,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F1,controller_near_limit_fraction,continuous,14,0.053602484472049683,0.043043478260869565,0.040998579039357358,0.031358695652173911,0.059945652173913039,0,0.15456521739130435,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F1,any_realized_hard_risk,binary,14,,,,,,,,14,14,1,0.7846891972623643,1,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F1,mission_success,binary,14,,,,,,,,14,14,1,0.7846891972623643,1,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P0_F1,failsafe_seen,binary,14,,,,,,,,0,14,0,0,0.21531080273763575,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F0,j_hard_pair_s,continuous,15,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F0,realized_min_separation_m,continuous,15,2.2492214692403034,2.2462451812523261,0.010119920683820323,2.2415475784747381,2.2540788146378978,2.2319032666108081,2.2674839631186119,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F0,hard_risk_event_count,count,15,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F0,predicted_min_separation_m,continuous,15,2.2483866045465772,2.2483866045465772,0,2.2483866045465772,2.2483866045465772,2.2483866045465772,2.2483866045465772,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F0,predicted_hard_conflict_count,count,15,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F0,controller_near_limit_fraction,continuous,15,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F0,any_realized_hard_risk,binary,15,,,,,,,,0,15,0,0,0.20388330103584854,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F0,mission_success,binary,15,,,,,,,,15,15,1,0.79611669896415138,0.99999999999999989,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F0,failsafe_seen,binary,15,,,,,,,,0,15,0,0,0.20388330103584854,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F1,j_hard_pair_s,continuous,13,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F1,realized_min_separation_m,continuous,13,2.2531204511766156,2.2460345079547457,0.024449739223139876,2.2438670934997162,2.2511388296792738,2.2320787052713236,2.3290640005746237,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F1,hard_risk_event_count,count,13,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F1,predicted_min_separation_m,continuous,13,2.2483866045465777,2.2483866045465772,4.6222270443732785e-16,2.2483866045465772,2.2483866045465772,2.2483866045465772,2.2483866045465772,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F1,predicted_hard_conflict_count,count,13,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F1,controller_near_limit_fraction,continuous,13,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F1,any_realized_hard_risk,binary,13,,,,,,,,0,13,0,0,0.2280953723541983,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F1,mission_success,binary,13,,,,,,,,13,13,1,0.77190462764580159,0.99999999999999989,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,A,E3-A-02,P1_F1,failsafe_seen,binary,13,,,,,,,,0,13,0,0,0.2280953723541983,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,B,E3-B-01,P0_F0,j_hard_pair_s,continuous,15,2.2088768959045408,2.3913319110870361,0.70104227275604747,2.2706196308135986,2.5836899280548096,0.025281667709350586,2.711939811706543,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,B,E3-B-01,P0_F0,realized_min_separation_m,continuous,15,1.4113623380356515,1.4015842438318098,0.031606258956981652,1.3938876135838074,1.4114679269708512,1.3746700626164112,1.4965379848779337,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,B,E3-B-01,P0_F0,hard_risk_event_count,count,15,3.6666666666666665,3,1.5886502207249789,3,4.5,1,7,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,B,E3-B-01,P0_F0,predicted_min_separation_m,continuous,15,1.9999999999999998,1.9999999999999998,0,1.9999999999999998,1.9999999999999998,1.9999999999999998,1.9999999999999998,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,B,E3-B-01,P0_F0,predicted_hard_conflict_count,count,15,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,B,E3-B-01,P0_F0,controller_near_limit_fraction,continuous,15,0,0,0,0,0,0,0,,,,,,
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,B,E3-B-01,P0_F0,any_realized_hard_risk,binary,15,,,,,,,,15,15,1,0.79611669896415138,0.99999999999999989,Wilson two-sided 95% CI
AVAILABLE_SUCCESSFUL_CELLS_SENSITIVITY_ONLY,family_scenario_condition,B,E3-B-01,P0_F0,mission_success,binary,15,,,,,,,,15,15,1,0.79611669896415138,0.99999999999999989,Wilson two-sided 95% CI
