result_type,family,endpoint,comparison,N,numerator,denominator,estimate,ci_low,ci_high,ci_method,discordant_0_to_1,discordant_1_to_0,mcnemar_exact_p_raw,mcnemar_exact_p_holm,bootstrap_resamples,bootstrap_seed_uint64
factorial_binary_contrast,A,any_realized_hard_risk,Delta_P,23,,,-1,-1,-1,scenario-stratified paired-block percentile bootstrap,,,,,10000,13712762029518336602
factorial_binary_contrast,A,any_realized_hard_risk,Delta_F,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,5046135178380909085
factorial_binary_contrast,A,any_realized_hard_risk,Delta_PF,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,17320620506392369915
factorial_binary_contrast,A,mission_success,Delta_P,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,5180866650290649120
factorial_binary_contrast,A,mission_success,Delta_F,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,15649626609419246887
factorial_binary_contrast,A,mission_success,Delta_PF,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,15060286467987590041
factorial_binary_contrast,A,failsafe_seen,Delta_P,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,11439262578362329860
factorial_binary_contrast,A,failsafe_seen,Delta_F,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,8156318252528414677
factorial_binary_contrast,A,failsafe_seen,Delta_PF,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,9145989444188628524
paired_binary_comparison,A,any_realized_hard_risk,P1_vs_P0_at_F0,23,,,-1,-1,-1,scenario-stratified paired-block percentile bootstrap,0,23,2.384185791015625e-07,2.86102294921875e-06,10000,2356735021181321566
paired_binary_comparison,A,any_realized_hard_risk,P1_vs_P0_at_F1,23,,,-1,-1,-1,scenario-stratified paired-block percentile bootstrap,0,23,2.384185791015625e-07,2.86102294921875e-06,10000,1184213410947299663
paired_binary_comparison,A,any_realized_hard_risk,F1_vs_F0_at_P0,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,7131006616872772313
paired_binary_comparison,A,any_realized_hard_risk,F1_vs_F0_at_P1,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,1540982007259949431
paired_binary_comparison,A,mission_success,P1_vs_P0_at_F0,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,18438137902109938792
paired_binary_comparison,A,mission_success,P1_vs_P0_at_F1,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,11427696423978276385
