campaign_position,trial_id,family,scenario_id,seed,condition,attempt_status,infrastructure_failure_reason,raw_storage_disposition,block_id,block_is_primary_complete
1,E3-C-01__P1_F1__S934882,C,E3-C-01,934882,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S934882,true
2,E3-C-02__P0_F1__S934882,C,E3-C-02,934882,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S934882,true
3,E3-C-01__P0_F1__S709169,C,E3-C-01,709169,P0_F1,infrastructure_failure,formal metric/delivery verification failed,RAW_ARCHIVE_VERIFIED,E3-C-01__S709169,false
4,E3-C-01__P1_F1__S730940,C,E3-C-01,730940,P1_F1,infrastructure_failure,formal metric/delivery verification failed,RAW_ARCHIVE_VERIFIED,E3-C-01__S730940,false
5,E3-C-02__P0_F0__S881128,C,E3-C-02,881128,P0_F0,infrastructure_failure,formal metric/delivery verification failed,RAW_ARCHIVE_VERIFIED,E3-C-02__S881128,false
6,E3-B-02__P0_F1__S959517,B,E3-B-02,959517,P0_F1,infrastructure_failure,formal metric/delivery verification failed,RAW_ARCHIVE_VERIFIED,E3-B-02__S959517,false
7,E3-B-02__P1_F0__S591774,B,E3-B-02,591774,P1_F0,infrastructure_failure,formal metric/delivery verification failed,RAW_ARCHIVE_VERIFIED,E3-B-02__S591774,false
8,E3-B-01__P1_F1__S876320,B,E3-B-01,876320,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S876320,true
9,E3-C-01__P0_F1__S658212,C,E3-C-01,658212,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S658212,true
10,E3-B-01__P1_F0__S899696,B,E3-B-01,899696,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S899696,true
11,E3-B-02__P0_F1__S876320,B,E3-B-02,876320,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S876320,true
12,E3-A-02__P0_F1__S861723,A,E3-A-02,861723,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S861723,true
13,E3-B-01__P1_F0__S881128,B,E3-B-01,881128,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S881128,true
14,E3-B-02__P1_F1__S861723,B,E3-B-02,861723,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S861723,true
15,E3-C-01__P1_F1__S279520,C,E3-C-01,279520,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S279520,true
16,E3-C-01__P0_F0__S261093,C,E3-C-01,261093,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S261093,false
17,E3-C-02__P0_F1__S279520,C,E3-C-02,279520,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S279520,true
18,E3-C-02__P0_F1__S658212,C,E3-C-02,658212,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S658212,true
19,E3-A-01__P1_F1__S279520,A,E3-A-01,279520,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S279520,true
20,E3-C-02__P1_F0__S702055,C,E3-C-02,702055,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S702055,true
21,E3-A-02__P0_F1__S135275,A,E3-A-02,135275,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S135275,false
22,E3-C-01__P0_F0__S702055,C,E3-C-01,702055,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S702055,true
23,E3-C-02__P1_F0__S959517,C,E3-C-02,959517,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S959517,true
24,E3-A-02__P0_F1__S899696,A,E3-A-02,899696,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S899696,true
25,E3-A-02__P1_F1__S876320,A,E3-A-02,876320,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S876320,true
26,E3-B-01__P0_F1__S934882,B,E3-B-01,934882,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S934882,true
27,E3-C-01__P1_F0__S702055,C,E3-C-01,702055,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S702055,true
28,E3-A-02__P0_F1__S709169,A,E3-A-02,709169,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S709169,true
