stdin is not a terminal device. Keyboard handling disabled.[INFO] [1788257493.263776799] [rosbag2_recorder]: Press SPACE for pausing/resuming
[INFO] [1788257493.265938876] [rosbag2_storage]: Opened database '/home/yihuang/learning/LLM_swarm_ws/e3_v4_redesign_worktree/experiments_v2/Formal Evaluation Experiments/E3/results/formal_v4/attempts/000066__E3-C-02__P0_F1__S702055/raw/rosbag/rosbag_0.db3' for READ_WRITE.
[INFO] [1788257493.266850759] [rosbag2_recorder]: Listening for topics...
[INFO] [1788257493.266871017] [rosbag2_recorder]: Event publisher thread: Starting
[INFO] [1788257493.268972411] [rosbag2_recorder]: Subscribed to topic '/uav8/status'
[INFO] [1788257493.269898891] [rosbag2_recorder]: Subscribed to topic '/uav8/startup_event'
[INFO] [1788257493.270728881] [rosbag2_recorder]: Subscribed to topic '/uav6/status'
[INFO] [1788257493.271531290] [rosbag2_recorder]: Subscribed to topic '/uav6/startup_event'
[INFO] [1788257493.271611760] [rosbag2_recorder]: Recording...
[INFO] [1788257493.273861081] [rosbag2_recorder]: Subscribed to topic '/uav4/status'
[INFO] [1788257493.275654379] [rosbag2_recorder]: Subscribed to topic '/uav6/control_tracking_debug'
[INFO] [1788257493.277415558] [rosbag2_recorder]: Subscribed to topic '/uav6/iapf_debug'
[INFO] [1788257493.278510102] [rosbag2_recorder]: Subscribed to topic '/uav6/trajectory_metrics'
[INFO] [1788257493.280482145] [rosbag2_recorder]: Subscribed to topic '/uav6/swarm_state'
[INFO] [1788257493.385675446] [rosbag2_recorder]: Subscribed to topic '/uav5/iapf_debug'
[INFO] [1788257493.386199475] [rosbag2_recorder]: Subscribed to topic '/uav2/trajectory_metrics'
[INFO] [1788257493.386669883] [rosbag2_recorder]: Subscribed to topic '/uav2/swarm_state'
[INFO] [1788257493.387098283] [rosbag2_recorder]: Subscribed to topic '/uav5/control_tracking_debug'
[INFO] [1788257493.387668358] [rosbag2_recorder]: Subscribed to topic '/uav2/iapf_debug'
[INFO] [1788257493.388324753] [rosbag2_recorder]: Subscribed to topic '/uav7/trajectory_metrics'
[INFO] [1788257493.388811462] [rosbag2_recorder]: Subscribed to topic '/uav2/control_tracking_debug'
[INFO] [1788257493.389283584] [rosbag2_recorder]: Subscribed to topic '/uav2/startup_event'
[INFO] [1788257493.389763290] [rosbag2_recorder]: Subscribed to topic '/uav1/swarm_state'
[INFO] [1788257493.390223539] [rosbag2_recorder]: Subscribed to topic '/uav5/status'
[INFO] [1788257493.391840669] [rosbag2_recorder]: Subscribed to topic '/px4_4/fmu/out/vehicle_status'
[INFO] [1788257493.392380217] [rosbag2_recorder]: Subscribed to topic '/px4_6/fmu/out/vehicle_status'
[INFO] [1788257493.392921067] [rosbag2_recorder]: Subscribed to topic '/uav7/startup_event'
[INFO] [1788257493.393450926] [rosbag2_recorder]: Subscribed to topic '/uav5/trajectory_metrics'
[INFO] [1788257493.393955448] [rosbag2_recorder]: Subscribed to topic '/uav1/control_tracking_debug'
[INFO] [1788257493.394435274] [rosbag2_recorder]: Subscribed to topic '/uav7/control_tracking_debug'
[INFO] [1788257493.394953051] [rosbag2_recorder]: Subscribed to topic '/uav7/status'
[INFO] [1788257493.395523897] [rosbag2_recorder]: Subscribed to topic '/uav1/trajectory_metrics'
