stdin is not a terminal device. Keyboard handling disabled.[INFO] [1788260230.920894188] [rosbag2_recorder]: Press SPACE for pausing/resuming
[INFO] [1788260230.922037608] [rosbag2_storage]: Opened database '/home/yihuang/learning/LLM_swarm_ws/e3_v4_redesign_worktree/experiments_v2/Formal Evaluation Experiments/E3/results/formal_v4/attempts/000094__E3-B-02__P0_F0__S591774/raw/rosbag/rosbag_0.db3' for READ_WRITE.
[INFO] [1788260230.922465719] [rosbag2_recorder]: Listening for topics...
[INFO] [1788260230.922498811] [rosbag2_recorder]: Event publisher thread: Starting
[INFO] [1788260230.922585032] [rosbag2_recorder]: Recording...
[INFO] [1788260231.325073654] [rosbag2_recorder]: Subscribed to topic '/px4_5/fmu/out/vehicle_odometry'
[INFO] [1788260231.325555466] [rosbag2_recorder]: Subscribed to topic '/px4_5/fmu/out/vehicle_status'
[INFO] [1788260231.928452024] [rosbag2_recorder]: Subscribed to topic '/px4_6/fmu/out/vehicle_odometry'
[INFO] [1788260231.928746165] [rosbag2_recorder]: Subscribed to topic '/px4_6/fmu/out/vehicle_status'
[INFO] [1788260232.130429317] [rosbag2_recorder]: Subscribed to topic '/px4_1/fmu/out/vehicle_odometry'
[INFO] [1788260232.130757912] [rosbag2_recorder]: Subscribed to topic '/px4_1/fmu/out/vehicle_status'
[INFO] [1788260232.433834258] [rosbag2_recorder]: Subscribed to topic '/clock'
[INFO] [1788260232.535532232] [rosbag2_recorder]: Subscribed to topic '/px4_2/fmu/out/vehicle_odometry'
[INFO] [1788260232.535913225] [rosbag2_recorder]: Subscribed to topic '/px4_2/fmu/out/vehicle_status'
[INFO] [1788260233.245573978] [rosbag2_recorder]: Subscribed to topic '/px4_3/fmu/out/vehicle_odometry'
[INFO] [1788260233.245964058] [rosbag2_recorder]: Subscribed to topic '/px4_3/fmu/out/vehicle_status'
[INFO] [1788260233.553838743] [rosbag2_recorder]: Subscribed to topic '/uav3/trajectory_metrics'
[INFO] [1788260233.554622990] [rosbag2_recorder]: Subscribed to topic '/uav3/startup_event'
[INFO] [1788260233.555288636] [rosbag2_recorder]: Subscribed to topic '/uav3/iapf_debug'
[INFO] [1788260233.555874743] [rosbag2_recorder]: Subscribed to topic '/uav3/control_tracking_debug'
[INFO] [1788260233.556332910] [rosbag2_recorder]: Subscribed to topic '/uav2/trajectory_metrics'
[INFO] [1788260233.556781770] [rosbag2_recorder]: Subscribed to topic '/uav2/iapf_debug'
[INFO] [1788260233.557213077] [rosbag2_recorder]: Subscribed to topic '/uav2/control_tracking_debug'
[INFO] [1788260233.557654593] [rosbag2_recorder]: Subscribed to topic '/uav4/control_tracking_debug'
[INFO] [1788260233.558091901] [rosbag2_recorder]: Subscribed to topic '/uav4/iapf_debug'
[INFO] [1788260233.558648092] [rosbag2_recorder]: Subscribed to topic '/uav4/status'
[INFO] [1788260233.559145733] [rosbag2_recorder]: Subscribed to topic '/uav5/trajectory_metrics'
[INFO] [1788260233.559745215] [rosbag2_recorder]: Subscribed to topic '/uav5/iapf_debug'
[INFO] [1788260233.560734256] [rosbag2_recorder]: Subscribed to topic '/uav4/swarm_state'
[INFO] [1788260233.561193726] [rosbag2_recorder]: Subscribed to topic '/uav3/swarm_state'
[INFO] [1788260233.561677130] [rosbag2_recorder]: Subscribed to topic '/uav1/control_tracking_debug'
[INFO] [1788260233.562126060] [rosbag2_recorder]: Subscribed to topic '/uav6/trajectory_metrics'
[INFO] [1788260233.562643599] [rosbag2_recorder]: Subscribed to topic '/uav4/startup_event'
[INFO] [1788260233.563092860] [rosbag2_recorder]: Subscribed to topic '/uav6/control_tracking_debug'
[INFO] [1788260233.563544314] [rosbag2_recorder]: Subscribed to topic '/uav2/status'
[INFO] [1788260233.563989107] [rosbag2_recorder]: Subscribed to topic '/uav6/iapf_debug'
[INFO] [1788260233.564463254] [rosbag2_recorder]: Subscribed to topic '/uav6/status'
[INFO] [1788260233.564921872] [rosbag2_recorder]: Subscribed to topic '/uav5/control_tracking_debug'
[INFO] [1788260233.565412190] [rosbag2_recorder]: Subscribed to topic '/uav6/swarm_state'
[INFO] [1788260233.565871629] [rosbag2_recorder]: Subscribed to topic '/uav3/status'
[INFO] [1788260233.566386192] [rosbag2_recorder]: Subscribed to topic '/uav2/swarm_state'
[INFO] [1788260233.566861872] [rosbag2_recorder]: Subscribed to topic '/uav6/startup_event'
[INFO] [1788260233.567341350] [rosbag2_recorder]: Subscribed to topic '/uav5/startup_event'
[INFO] [1788260233.567797844] [rosbag2_recorder]: Subscribed to topic '/uav1/startup_event'
[INFO] [1788260233.568254308] [rosbag2_recorder]: Subscribed to topic '/uav1/iapf_debug'
[INFO] [1788260233.568703108] [rosbag2_recorder]: Subscribed to topic '/uav1/status'
