stdin is not a terminal device. Keyboard handling disabled.[INFO] [1788260673.188942268] [rosbag2_recorder]: Press SPACE for pausing/resuming
[INFO] [1788260673.190922655] [rosbag2_storage]: Opened database '/home/yihuang/learning/LLM_swarm_ws/e3_v4_redesign_worktree/experiments_v2/Formal Evaluation Experiments/E3/results/formal_v4/attempts/000099__E3-A-02__P0_F1__S959517/raw/rosbag/rosbag_0.db3' for READ_WRITE.
[INFO] [1788260673.192103445] [rosbag2_recorder]: Listening for topics...
[INFO] [1788260673.192123021] [rosbag2_recorder]: Event publisher thread: Starting
[INFO] [1788260673.195727807] [rosbag2_recorder]: Subscribed to topic '/uav7/trajectory_metrics'
[INFO] [1788260673.196514490] [rosbag2_recorder]: Subscribed to topic '/uav7/status'
[INFO] [1788260673.197464017] [rosbag2_recorder]: Subscribed to topic '/uav1/startup_event'
[INFO] [1788260673.198431517] [rosbag2_recorder]: Subscribed to topic '/uav6/status'
[INFO] [1788260673.199235933] [rosbag2_recorder]: Subscribed to topic '/uav1/status'
[INFO] [1788260673.200832651] [rosbag2_recorder]: Subscribed to topic '/uav6/swarm_state'
[INFO] [1788260673.201546747] [rosbag2_recorder]: Subscribed to topic '/uav1/swarm_state'
[INFO] [1788260673.202280851] [rosbag2_recorder]: Subscribed to topic '/uav1/trajectory_metrics'
[INFO] [1788260673.203290821] [rosbag2_recorder]: Subscribed to topic '/uav6/control_tracking_debug'
[INFO] [1788260673.204139710] [rosbag2_recorder]: Subscribed to topic '/uav6/iapf_debug'
[INFO] [1788260673.204793944] [rosbag2_recorder]: Subscribed to topic '/uav6/startup_event'
[INFO] [1788260673.205564847] [rosbag2_recorder]: Subscribed to topic '/uav6/trajectory_metrics'
[INFO] [1788260673.206317937] [rosbag2_recorder]: Subscribed to topic '/uav7/control_tracking_debug'
[INFO] [1788260673.207114948] [rosbag2_recorder]: Subscribed to topic '/uav7/swarm_state'
[INFO] [1788260673.208006427] [rosbag2_recorder]: Subscribed to topic '/uav7/iapf_debug'
[INFO] [1788260673.208956475] [rosbag2_recorder]: Subscribed to topic '/uav7/startup_event'
[INFO] [1788260673.209041343] [rosbag2_recorder]: Recording...
[INFO] [1788260673.212220543] [rosbag2_recorder]: Subscribed to topic '/uav4/status'
[INFO] [1788260673.212839672] [rosbag2_recorder]: Subscribed to topic '/uav4/startup_event'
[INFO] [1788260673.213496271] [rosbag2_recorder]: Subscribed to topic '/uav4/iapf_debug'
[INFO] [1788260673.214215547] [rosbag2_recorder]: Subscribed to topic '/uav3/swarm_state'
[INFO] [1788260673.215155215] [rosbag2_recorder]: Subscribed to topic '/uav4/swarm_state'
[INFO] [1788260673.215959851] [rosbag2_recorder]: Subscribed to topic '/uav3/status'
[INFO] [1788260673.216657577] [rosbag2_recorder]: Subscribed to topic '/uav1/control_tracking_debug'
[INFO] [1788260673.217225690] [rosbag2_recorder]: Subscribed to topic '/uav3/startup_event'
[INFO] [1788260673.219213801] [rosbag2_recorder]: Subscribed to topic '/px4_4/fmu/out/vehicle_odometry'
[INFO] [1788260673.219989312] [rosbag2_recorder]: Subscribed to topic '/px4_4/fmu/out/vehicle_status'
