stratum_type,stratum_value,endpoint,kind,unit,registered_n,available_n,numerator,denominator,proportion,wilson_95_low,wilson_95_high,mean,median,sample_sd,iqr,min,max
B_N,8,scientific_completeness,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_N,8,infrastructure_failure,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_N,8,candidate_correctness,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_N,8,resolver_success,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_N,8,mission_completion,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_N,8,mission_success,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_N,8,failsafe,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_N,8,hard_failure,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_N,8,actual_d_min,continuous,m,15,15,,,,,,2.152898638435489,2.045680028340641,0.1868732946315757,0.3917821914238111,1.9828832453962075,2.420401543892897
B_N,8,tracking_rmse,continuous,m,15,15,,,,,,0.0640512700685372,0.03801583076053134,0.04906019062926122,0.10516334077305271,0.023299715225842708,0.13256156897404306
B_N,8,final_error,continuous,m,15,15,,,,,,0.03944119032691189,0.035578775131690325,0.015419594289753496,0.025722274976691547,0.018969160507634215,0.06351325088273478
B_N,8,completion_time,continuous,s,15,15,,,,,,11.97850906054179,15.026698112487793,4.470430945966621,9.156216621398926,5.860374927520752,15.04026746749878
B_N,8,T_LLM,continuous,s,15,15,,,,,,17.646201062066666,13.14542807,10.581357377556925,8.825450368,9.390604063,47.592290562
B_N,8,T_mission_execution,continuous,s,15,15,,,,,,12.048422548733333,15.07923474,4.447351890377869,9.096135090499999,5.949068423,15.103149434
B_N,12,scientific_completeness,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_N,12,infrastructure_failure,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_N,12,candidate_correctness,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_N,12,resolver_success,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_N,12,mission_completion,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_N,12,mission_success,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_N,12,failsafe,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_N,12,hard_failure,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_N,12,actual_d_min,continuous,m,15,15,,,,,,1.821290041320069,1.840476687185901,0.04944846065418054,0.06020726166730439,1.7172935629922965,1.872275229301016
B_N,12,tracking_rmse,continuous,m,15,15,,,,,,0.07455611757644685,0.053982103429227594,0.05020983342438914,0.10823153234361677,0.02753075532477359,0.14877491159806722
B_N,12,final_error,continuous,m,15,15,,,,,,0.08241746256348007,0.07256927996846438,0.048737229231681695,0.09767594806421091,0.02725212509732297,0.15524062886205803
B_N,12,completion_time,continuous,s,15,15,,,,,,12.525624386469524,15.03568172454834,3.674886366664501,7.526082515716553,7.491356611251831,15.0400869846344
B_N,12,T_LLM,continuous,s,15,15,,,,,,17.2122292336,14.6003309,7.777888123008213,12.6481736175,8.089872474,30.783790262
B_N,12,T_mission_execution,continuous,s,15,15,,,,,,13.119951915333333,15.160399044,3.3959366026227857,6.946138360999999,8.301849808,15.811159022
B_N,16,scientific_completeness,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_N,16,infrastructure_failure,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_N,16,candidate_correctness,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_N,16,resolver_success,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_N,16,mission_completion,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_N,16,mission_success,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_N,16,failsafe,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_N,16,hard_failure,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_N,16,actual_d_min,continuous,m,15,15,,,,,,1.872961327451533,1.8013469980132522,0.1637863439426963,0.32328009790165857,1.685346493168869,2.0940160101958933
B_N,16,tracking_rmse,continuous,m,15,15,,,,,,0.08088449962466313,0.08219936032250016,0.03236114837544501,0.07373207002913579,0.041338897357498294,0.12003850970760062
B_N,16,final_error,continuous,m,15,15,,,,,,0.1027272143432302,0.10866647987286307,0.04668072712518976,0.0989701724560054,0.035806620452240846,0.1625295290568624
B_N,16,completion_time,continuous,s,15,15,,,,,,13.436605389912923,15.034648180007935,2.343616815280004,4.799838423728943,10.22754192352295,15.040632009506226
B_N,16,T_LLM,continuous,s,15,15,,,,,,21.6737987674,17.234744537,18.10536726704525,7.531960883500002,10.624485582,84.644409658
B_N,16,T_mission_execution,continuous,s,15,15,,,,,,15.918359385933334,16.450934507,2.091862934905615,4.328825984500003,13.031415064,18.615073944
